REGION,EMISSION,YEAR,VALUE
SIN,EMIC02,2015,99999999
SIN,EMIC02,2016,99999999
SIN,EMIC02,2017,99999999
SIN,EMIC02,2018,99999999
SIN,EMIC02,2019,99999999
SIN,EMIC02,2020,99999999
SIN,EMIC02,2021,99999999
SIN,EMIC02,2022,99999999
SIN,EMIC02,2023,99999999
SIN,EMIC02,2024,99999999
SIN,EMIC02,2025,99999999
SIN,EMIC02,2026,99999999
SIN,EMIC02,2027,99999999
SIN,EMIC02,2028,99999999
SIN,EMIC02,2029,99999999
SIN,EMIC02,2030,99999999
SIN,EMIC02,2031,99999999
SIN,EMIC02,2032,99999999
SIN,EMIC02,2033,99999999
SIN,EMIC02,2034,99999999
SIN,EMIC02,2035,99999999
SIN,EMIC02,2036,99999999
SIN,EMIC02,2037,99999999
SIN,EMIC02,2038,99999999
SIN,EMIC02,2039,99999999
SIN,EMIC02,2040,99999999
SIN,EMIC02,2041,99999999
SIN,EMIC02,2042,99999999
SIN,EMIC02,2043,99999999
SIN,EMIC02,2044,99999999
SIN,EMIC02,2045,99999999
SIN,EMIC02,2046,99999999
SIN,EMIC02,2047,99999999
SIN,EMIC02,2048,99999999
SIN,EMIC02,2049,99999999
SIN,EMIC02,2050,99999999
