hours,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
1,0.0228,0.3761,0.0222,0.1073,0.1846,0.2185,0,0.1117,0.0386,0.0278,0.029,0.0198,0.0121,0.0157,0.4704,0.3302,0.0524,0.0973,0.0628,0.6147,0.0172,0.111,0.4098,0.1416,0.3969,0.1058,0.0038
2,0.032,0.3274,0.0228,0.11,0.1677,0.2185,0,0.0988,0.0333,0.0308,0.0283,0.0269,0.0137,0.0158,0.4637,0.2951,0.0533,0.1188,0.06,0.5579,0.0263,0.1271,0.3882,0.193,0.3626,0.0985,0.0032
3,0.0389,0.2798,0.0198,0.0946,0.1426,0.1738,0,0.0937,0.0267,0.0263,0.0312,0.0335,0.0159,0.0147,0.4293,0.2404,0.0434,0.133,0.0584,0.4748,0.0281,0.1372,0.322,0.2092,0.3314,0.0928,0.0026
4,0.0397,0.2173,0.0174,0.076,0.1262,0.1387,0,0.0851,0.0299,0.0239,0.0297,0.032,0.0163,0.0142,0.3711,0.2089,0.0361,0.1313,0.0631,0.4058,0.0252,0.1336,0.2748,0.1907,0.2629,0.0969,0.0023
5,0.0314,0.1501,0.0165,0.0574,0.1178,0.1123,0,0.0745,0.0306,0.02,0.0238,0.0268,0.0188,0.013,0.2962,0.1815,0.0387,0.1132,0.0675,0.3318,0.0231,0.1296,0.2626,0.1624,0.1862,0.0986,0.0017
6,0.0272,0.1026,0.0158,0.0453,0.1193,0.0938,0,0.062,0.0322,0.0171,0.0211,0.0253,0.0181,0.013,0.2544,0.1751,0.0387,0.0928,0.0682,0.2991,0.0204,0.1302,0.2555,0.1459,0.1283,0.0858,0.0024
7,0.0238,0.0739,0.015,0.0391,0.1174,0.076,0,0.0527,0.0352,0.0157,0.0233,0.0275,0.0182,0.0128,0.2205,0.1694,0.0392,0.0871,0.0636,0.2814,0.0201,0.1314,0.2505,0.1388,0.1076,0.0547,0.0024
8,0.0233,0.0558,0.014,0.0327,0.1194,0.0666,0,0.0513,0.0401,0.0141,0.0281,0.0276,0.0185,0.0127,0.2056,0.1639,0.0412,0.0927,0.0591,0.2724,0.0195,0.133,0.2458,0.1405,0.0971,0.0395,0.0037
9,0.027,0.0519,0.0135,0.0316,0.1193,0.0571,0,0.0488,0.0447,0.0109,0.0333,0.0263,0.0177,0.0147,0.1982,0.1633,0.0414,0.0943,0.0583,0.2522,0.0185,0.1415,0.2382,0.1292,0.0994,0.0348,0.006
10,0.0321,0.0987,0.0146,0.0241,0.1465,0.0818,0,0.0568,0.0436,0.0068,0.0417,0.0265,0.0165,0.0176,0.282,0.2147,0.0459,0.1036,0.0669,0.3337,0.0191,0.1484,0.2417,0.1267,0.1707,0.0386,0.0081
