hours,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0.0296,0,0,0.0131,0.0103,0.0006,0.0269,0.0006,0.0003,0.0104,0,0,0,0.0263,0.0218,0.004,0.0026,0.0337,0.0271,0,0,0.0032,0.0065,0.0238,0.0052,0.0002
11,0,0.1572,0.0001,0.0058,0.1211,0.1244,0.0646,0.1437,0.0482,0.0476,0.1027,0.0424,0.0109,0.0209,0.1712,0.1654,0.0943,0.0929,0.1873,0.1798,0.0002,0,0.0626,0.1035,0.1248,0.1093,0.0398
12,0.0087,0.3282,0.036,0.0609,0.2878,0.3137,0.2495,0.3029,0.1777,0.1703,0.2517,0.1779,0.0763,0.1199,0.3694,0.3517,0.243,0.2688,0.3658,0.3659,0.0277,0.0389,0.1895,0.2803,0.2949,0.2792,0.132
13,0.0691,0.4567,0.1607,0.1677,0.445,0.4545,0.379,0.4316,0.2997,0.3018,0.387,0.3198,0.1634,0.2509,0.5292,0.5167,0.3899,0.4241,0.4947,0.5231,0.093,0.1977,0.3279,0.4565,0.4615,0.4045,0.256
14,0.1439,0.5597,0.3037,0.3221,0.5785,0.5783,0.4454,0.585,0.4318,0.4046,0.5341,0.4497,0.2438,0.3542,0.6661,0.6251,0.4701,0.5539,0.5986,0.6415,0.169,0.3777,0.4488,0.5838,0.5984,0.5062,0.3842
15,0.2312,0.6745,0.4153,0.4217,0.6609,0.6874,0.4953,0.6248,0.4853,0.4943,0.6177,0.5444,0.2889,0.4244,0.7271,0.6941,0.5414,0.6455,0.6767,0.6899,0.214,0.498,0.5329,0.6636,0.6942,0.5961,0.461
16,0.3492,0.6836,0.4997,0.562,0.6684,0.6711,0.443,0.6545,0.5247,0.5309,0.6454,0.5368,0.3426,0.4715,0.7298,0.6761,0.5898,0.6857,0.6859,0.6767,0.3033,0.5745,0.5817,0.7072,0.7152,0.599,0.5175
