REGION,TECHNOLOGY,YEAR,VALUE
SIN,biomass,2015,1905
SIN,biomass,2016,1905
SIN,biomass,2017,1905
SIN,biomass,2018,1905
SIN,biomass,2019,1905
SIN,biomass,2020,1905
SIN,biomass,2021,1905
SIN,biomass,2022,1905
SIN,biomass,2023,1905
SIN,biomass,2024,1905
SIN,biomass,2025,1905
SIN,biomass,2026,1905
SIN,biomass,2027,1905
SIN,biomass,2028,1905
SIN,biomass,2029,1905
SIN,biomass,2030,1905
SIN,biomass,2031,1905
SIN,biomass,2032,1905
SIN,biomass,2033,1905
SIN,biomass,2034,1905
SIN,biomass,2035,1905
SIN,biomass,2036,1905
SIN,biomass,2037,1905
SIN,biomass,2038,1905
SIN,biomass,2039,1905
SIN,biomass,2040,1905
SIN,biomass,2041,1905
SIN,biomass,2042,1905
SIN,biomass,2043,1905
SIN,biomass,2044,1905
SIN,biomass,2045,1905
SIN,biomass,2046,1905
SIN,biomass,2047,1905
SIN,biomass,2048,1905
SIN,biomass,2049,1905
SIN,biomass,2050,1905
SIN,coal,2015,2500
SIN,coal,2016,2500
SIN,coal,2017,2500
SIN,coal,2018,2500
SIN,coal,2019,2500
SIN,coal,2020,2500
SIN,coal,2021,2500
SIN,coal,2022,2500
SIN,coal,2023,2500
SIN,coal,2024,2500
SIN,coal,2025,2500
SIN,coal,2026,2500
SIN,coal,2027,2500
SIN,coal,2028,2500
SIN,coal,2029,2500
SIN,coal,2030,2500
SIN,coal,2031,2500
SIN,coal,2032,2500
SIN,coal,2033,2500
SIN,coal,2034,2500
SIN,coal,2035,2500
SIN,coal,2036,2500
SIN,coal,2037,2500
SIN,coal,2038,2500
SIN,coal,2039,2500
SIN,coal,2040,2500
SIN,coal,2041,2500
SIN,coal,2042,2500
SIN,coal,2043,2500
SIN,coal,2044,2500
SIN,coal,2045,2500
SIN,coal,2046,2500
SIN,coal,2047,2500
SIN,coal,2048,2500
SIN,coal,2049,2500
SIN,coal,2050,2500
SIN,oil,2015,1200
SIN,oil,2016,1200
SIN,oil,2017,1200
SIN,oil,2018,1200
SIN,oil,2019,1200
SIN,oil,2020,1200
SIN,oil,2021,1200
SIN,oil,2022,1200
SIN,oil,2023,1200
SIN,oil,2024,1200
SIN,oil,2025,1200
SIN,oil,2026,1200
SIN,oil,2027,1200
SIN,oil,2028,1200
SIN,oil,2029,1200
SIN,oil,2030,1200
SIN,oil,2031,1200
SIN,oil,2032,1200
SIN,oil,2033,1200
SIN,oil,2034,1200
SIN,oil,2035,1200
SIN,oil,2036,1200
SIN,oil,2037,1200
SIN,oil,2038,1200
SIN,oil,2039,1200
SIN,oil,2040,1200
SIN,oil,2041,1200
SIN,oil,2042,1200
SIN,oil,2043,1200
SIN,oil,2044,1200
SIN,oil,2045,1200
SIN,oil,2046,1200
SIN,oil,2047,1200
SIN,oil,2048,1200
SIN,oil,2049,1200
SIN,oil,2050,1200
SIN,gas,2015,1260
SIN,gas,2016,1260
SIN,gas,2017,1260
SIN,gas,2018,1260
SIN,gas,2019,1260
SIN,gas,2020,1260
SIN,gas,2021,1260
SIN,gas,2022,1260
SIN,gas,2023,1260
SIN,gas,2024,1260
SIN,gas,2025,1260
SIN,gas,2026,1260
SIN,gas,2027,1260
SIN,gas,2028,1260
SIN,gas,2029,1260
SIN,gas,2030,1260
SIN,gas,2031,1260
SIN,gas,2032,1260
SIN,gas,2033,1260
SIN,gas,2034,1260
SIN,gas,2035,1260
SIN,gas,2036,1260
SIN,gas,2037,1260
SIN,gas,2038,1260
SIN,gas,2039,1260
SIN,gas,2040,1260
SIN,gas,2041,1260
SIN,gas,2042,1260
SIN,gas,2043,1260
SIN,gas,2044,1260
SIN,gas,2045,1260
SIN,gas,2046,1260
SIN,gas,2047,1260
SIN,gas,2048,1260
SIN,gas,2049,1260
SIN,gas,2050,1260
SIN,solar_pv,2015,1898.790698
SIN,solar_pv,2016,1823.937984
SIN,solar_pv,2017,1749.085271
SIN,solar_pv,2018,1674.232558
SIN,solar_pv,2019,1599.379845
SIN,solar_pv,2020,1524.527132
SIN,solar_pv,2021,1449.674419
SIN,solar_pv,2022,1374.821705
SIN,solar_pv,2023,1299.968992
SIN,solar_pv,2024,1225.116279
SIN,solar_pv,2025,1150.263566
SIN,solar_pv,2026,1075.410853
SIN,solar_pv,2027,1000.55814
SIN,solar_pv,2028,925.7054264
SIN,solar_pv,2029,850.8527132
SIN,solar_pv,2030,776
SIN,solar_pv,2031,770.35
SIN,solar_pv,2032,764.7
SIN,solar_pv,2033,759.05
