REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
SIN,IMPOIL,EMIC02,1,2015,73.3
SIN,IMPOIL,EMIC02,1,2016,73.3
SIN,IMPOIL,EMIC02,1,2017,73.3
SIN,IMPOIL,EMIC02,1,2018,73.3
SIN,IMPOIL,EMIC02,1,2019,73.3
SIN,IMPOIL,EMIC02,1,2020,73.3
SIN,IMPOIL,EMIC02,1,2021,73.3
SIN,IMPOIL,EMIC02,1,2022,73.3
SIN,IMPOIL,EMIC02,1,2023,73.3
SIN,IMPOIL,EMIC02,1,2024,73.3
SIN,IMPOIL,EMIC02,1,2025,73.3
SIN,IMPOIL,EMIC02,1,2026,73.3
SIN,IMPOIL,EMIC02,1,2027,73.3
SIN,IMPOIL,EMIC02,1,2028,73.3
SIN,IMPOIL,EMIC02,1,2029,73.3
SIN,IMPOIL,EMIC02,1,2030,73.3
SIN,IMPOIL,EMIC02,1,2031,73.3
SIN,IMPOIL,EMIC02,1,2032,73.3
SIN,IMPOIL,EMIC02,1,2033,73.3
SIN,IMPOIL,EMIC02,1,2034,73.3
SIN,IMPOIL,EMIC02,1,2035,73.3
SIN,IMPOIL,EMIC02,1,2036,73.3
SIN,IMPOIL,EMIC02,1,2037,73.3
SIN,IMPOIL,EMIC02,1,2038,73.3
SIN,IMPOIL,EMIC02,1,2039,73.3
SIN,IMPOIL,EMIC02,1,2040,73.3
SIN,IMPOIL,EMIC02,1,2041,73.3
SIN,IMPOIL,EMIC02,1,2042,73.3
SIN,IMPOIL,EMIC02,1,2043,73.3
SIN,IMPOIL,EMIC02,1,2044,73.3
SIN,IMPOIL,EMIC02,1,2045,73.3
SIN,IMPOIL,EMIC02,1,2046,73.3
SIN,IMPOIL,EMIC02,1,2047,73.3
SIN,IMPOIL,EMIC02,1,2048,73.3
SIN,IMPOIL,EMIC02,1,2049,73.3
SIN,IMPOIL,EMIC02,1,2050,73.3
SIN,MINOIL,EMIC02,1,2015,73.3
SIN,MINOIL,EMIC02,1,2016,73.3
