REGION,TECHNOLOGY,YEAR,VALUE
SIN,biomass,2015,13
SIN,biomass,2016,13
SIN,biomass,2017,13
SIN,biomass,2018,13
SIN,biomass,2019,13
SIN,biomass,2020,13
SIN,biomass,2021,13
SIN,biomass,2022,13
SIN,biomass,2023,13
SIN,biomass,2024,13
SIN,biomass,2025,13
SIN,biomass,2026,13
SIN,biomass,2027,13
SIN,biomass,2028,13
SIN,biomass,2029,13
SIN,biomass,2030,13
SIN,biomass,2031,13
SIN,biomass,2032,13
SIN,biomass,2033,13
SIN,biomass,2034,13
SIN,biomass,2035,13
SIN,biomass,2036,13
SIN,biomass,2037,13
SIN,biomass,2038,13
SIN,biomass,2039,13
SIN,biomass,2040,13
SIN,biomass,2041,13
SIN,biomass,2042,13
SIN,biomass,2043,13
SIN,biomass,2044,13
SIN,biomass,2045,13
SIN,biomass,2046,13
SIN,biomass,2047,13
SIN,biomass,2048,13
SIN,biomass,2049,13
SIN,biomass,2050,13
SIN,coal,2015,40
SIN,coal,2016,40
SIN,coal,2017,40
SIN,coal,2018,40
SIN,coal,2019,40
SIN,coal,2020,40
SIN,coal,2021,40
SIN,coal,2022,40
SIN,coal,2023,40
SIN,coal,2024,40
SIN,coal,2025,40
SIN,coal,2026,40
SIN,coal,2027,40
SIN,coal,2028,40
SIN,coal,2029,40
SIN,coal,2030,40
SIN,coal,2031,40
SIN,coal,2032,40
SIN,coal,2033,40
SIN,coal,2034,40
SIN,coal,2035,40
SIN,coal,2036,40
SIN,coal,2037,40
SIN,coal,2038,40
SIN,coal,2039,40
SIN,coal,2040,40
SIN,coal,2041,40
SIN,coal,2042,40
SIN,coal,2043,40
SIN,coal,2044,40
SIN,coal,2045,40
SIN,coal,2046,40
SIN,coal,2047,40
SIN,coal,2048,40
SIN,coal,2049,40
SIN,coal,2050,40
SIN,oil,2015,15
SIN,oil,2016,15
SIN,oil,2017,15
SIN,oil,2018,15
SIN,oil,2019,15
SIN,oil,2020,15
SIN,oil,2021,15
SIN,oil,2022,15
SIN,oil,2023,15
SIN,oil,2024,15
SIN,oil,2025,15
SIN,oil,2026,15
SIN,oil,2027,15
SIN,oil,2028,15
SIN,oil,2029,15
SIN,oil,2030,15
SIN,oil,2031,15
SIN,oil,2032,15
SIN,oil,2033,15
SIN,oil,2034,15
SIN,oil,2035,15
SIN,oil,2036,15
SIN,oil,2037,15
SIN,oil,2038,15
SIN,oil,2039,15
SIN,oil,2040,15
SIN,oil,2041,15
SIN,oil,2042,15
SIN,oil,2043,15
SIN,oil,2044,15
SIN,oil,2045,15
SIN,oil,2046,15
SIN,oil,2047,15
SIN,oil,2048,15
SIN,oil,2049,15
SIN,oil,2050,15
SIN,gas,2015,20
SIN,gas,2016,20
SIN,gas,2017,20
SIN,gas,2018,20
SIN,gas,2019,20
SIN,gas,2020,20
SIN,gas,2021,20
SIN,gas,2022,20
SIN,gas,2023,20
SIN,gas,2024,20
SIN,gas,2025,20
SIN,gas,2026,20
SIN,gas,2027,20
SIN,gas,2028,20
SIN,gas,2029,20
SIN,gas,2030,20
SIN,gas,2031,20
SIN,gas,2032,20
SIN,gas,2033,20
SIN,gas,2034,20
SIN,gas,2035,20
SIN,gas,2036,20
SIN,gas,2037,20
SIN,gas,2038,20
SIN,gas,2039,20
SIN,gas,2040,20
SIN,gas,2041,20
SIN,gas,2042,20
SIN,gas,2043,20
SIN,gas,2044,20
SIN,gas,2045,20
SIN,gas,2046,20
SIN,gas,2047,20
SIN,gas,2048,20
SIN,gas,2049,20
SIN,gas,2050,20
SIN,solar_pv,2015,24.68427907
SIN,solar_pv,2016,23.7111938
SIN,solar_pv,2017,22.73810853
SIN,solar_pv,2018,21.76502326
SIN,solar_pv,2019,20.79193798
SIN,solar_pv,2020,19.81885271
SIN,solar_pv,2021,18.84576744
