REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
SIN,biomass,BIO,1,2015,2.857142857
SIN,biomass,BIO,1,2016,2.857142857
SIN,biomass,BIO,1,2017,2.857142857
SIN,biomass,BIO,1,2018,2.857142857
SIN,biomass,BIO,1,2019,2.857142857
SIN,biomass,BIO,1,2020,2.857142857
SIN,biomass,BIO,1,2021,2.857142857
SIN,biomass,BIO,1,2022,2.857142857
SIN,biomass,BIO,1,2023,2.857142857
SIN,biomass,BIO,1,2024,2.857142857
SIN,biomass,BIO,1,2025,2.857142857
SIN,biomass,BIO,1,2026,2.857142857
SIN,biomass,BIO,1,2027,2.857142857
SIN,biomass,BIO,1,2028,2.857142857
SIN,biomass,BIO,1,2029,2.857142857
SIN,biomass,BIO,1,2030,2.857142857
SIN,biomass,BIO,1,2031,2.857142857
SIN,biomass,BIO,1,2032,2.857142857
SIN,biomass,BIO,1,2033,2.857142857
SIN,biomass,BIO,1,2034,2.857142857
SIN,biomass,BIO,1,2035,2.857142857
SIN,biomass,BIO,1,2036,2.857142857
SIN,biomass,BIO,1,2037,2.857142857
SIN,biomass,BIO,1,2038,2.857142857
SIN,biomass,BIO,1,2039,2.857142857
SIN,biomass,BIO,1,2040,2.857142857
SIN,biomass,BIO,1,2041,2.857142857
SIN,biomass,BIO,1,2042,2.857142857
SIN,biomass,BIO,1,2043,2.857142857
SIN,biomass,BIO,1,2044,2.857142857
SIN,biomass,BIO,1,2045,2.857142857
SIN,biomass,BIO,1,2046,2.857142857
SIN,biomass,BIO,1,2047,2.857142857
SIN,biomass,BIO,1,2048,2.857142857
SIN,biomass,BIO,1,2049,2.857142857
SIN,biomass,BIO,1,2050,2.857142857
SIN,coal,COA,1,2015,2.325581395
SIN,coal,COA,1,2016,2.325581395
SIN,coal,COA,1,2017,2.325581395
SIN,coal,COA,1,2018,2.325581395
SIN,coal,COA,1,2019,2.325581395
SIN,coal,COA,1,2020,2.325581395
SIN,coal,COA,1,2021,2.325581395
SIN,coal,COA,1,2022,2.325581395
SIN,coal,COA,1,2023,2.325581395
SIN,coal,COA,1,2024,2.325581395
SIN,coal,COA,1,2025,2.325581395
SIN,coal,COA,1,2026,2.325581395
SIN,coal,COA,1,2027,2.325581395
SIN,coal,COA,1,2028,2.325581395
SIN,coal,COA,1,2029,2.325581395
SIN,coal,COA,1,2030,2.325581395
SIN,coal,COA,1,2031,2.325581395
SIN,coal,COA,1,2032,2.325581395
SIN,coal,COA,1,2033,2.325581395
SIN,coal,COA,1,2034,2.325581395
SIN,coal,COA,1,2035,2.325581395
SIN,coal,COA,1,2036,2.325581395
SIN,coal,COA,1,2037,2.325581395
SIN,coal,COA,1,2038,2.325581395
SIN,coal,COA,1,2039,2.325581395
SIN,coal,COA,1,2040,2.325581395
SIN,coal,COA,1,2041,2.325581395
SIN,coal,COA,1,2042,2.325581395
SIN,coal,COA,1,2043,2.325581395
SIN,coal,COA,1,2044,2.325581395
SIN,coal,COA,1,2045,2.325581395
SIN,coal,COA,1,2046,2.325581395
SIN,coal,COA,1,2047,2.325581395
SIN,coal,COA,1,2048,2.325581395
SIN,coal,COA,1,2049,2.325581395
SIN,coal,COA,1,2050,2.325581395
SIN,oil,LFO,1,2015,2.857142857
SIN,oil,LFO,1,2016,2.857142857
SIN,oil,LFO,1,2017,2.857142857
SIN,oil,LFO,1,2018,2.857142857
SIN,oil,LFO,1,2019,2.857142857
SIN,oil,LFO,1,2020,2.857142857
SIN,oil,LFO,1,2021,2.857142857
SIN,oil,LFO,1,2022,2.857142857
SIN,oil,LFO,1,2023,2.857142857
SIN,oil,LFO,1,2024,2.857142857
SIN,oil,LFO,1,2025,2.857142857
SIN,oil,LFO,1,2026,2.857142857
SIN,oil,LFO,1,2027,2.857142857
SIN,oil,LFO,1,2028,2.857142857
SIN,oil,LFO,1,2029,2.857142857
SIN,oil,LFO,1,2030,2.857142857
SIN,oil,LFO,1,2031,2.857142857
SIN,oil,LFO,1,2032,2.857142857
SIN,oil,LFO,1,2033,2.857142857
SIN,oil,LFO,1,2034,2.857142857
SIN,oil,LFO,1,2035,2.857142857
SIN,oil,LFO,1,2036,2.857142857
SIN,oil,LFO,1,2037,2.857142857
SIN,oil,LFO,1,2038,2.857142857
SIN,oil,LFO,1,2039,2.857142857
SIN,oil,LFO,1,2040,2.857142857
SIN,oil,LFO,1,2041,2.857142857
SIN,oil,LFO,1,2042,2.86
SIN,oil,LFO,1,2043,2.857142857
SIN,oil,LFO,1,2044,2.857142857
SIN,oil,LFO,1,2045,2.857142857
SIN,oil,LFO,1,2046,2.857142857
SIN,oil,LFO,1,2047,2.857142857
SIN,oil,LFO,1,2048,2.857142857
SIN,oil,LFO,1,2049,2.857142857
SIN,oil,LFO,1,2050,2.857142857
SIN,gas,NGS,1,2015,1.754385965
SIN,gas,NGS,1,2016,1.754385965
SIN,gas,NGS,1,2017,1.754385965
SIN,gas,NGS,1,2018,1.754385965
SIN,gas,NGS,1,2019,1.754385965
SIN,gas,NGS,1,2020,1.754385965
SIN,gas,NGS,1,2021,1.754385965
SIN,gas,NGS,1,2022,1.754385965
SIN,gas,NGS,1,2023,1.754385965
SIN,gas,NGS,1,2024,1.754385965
SIN,gas,NGS,1,2025,1.754385965
SIN,gas,NGS,1,2026,1.754385965
SIN,gas,NGS,1,2027,1.754385965
SIN,gas,NGS,1,2028,1.754385965
SIN,gas,NGS,1,2029,1.754385965
SIN,gas,NGS,1,2030,1.754385965
SIN,gas,NGS,1,2031,1.754385965
SIN,gas,NGS,1,2032,1.754385965
SIN,gas,NGS,1,2033,1.754385965
SIN,gas,NGS,1,2034,1.754385965
SIN,gas,NGS,1,2035,1.754385965
SIN,gas,NGS,1,2036,1.754385965
SIN,gas,NGS,1,2037,1.754385965
SIN,gas,NGS,1,2038,1.754385965
SIN,gas,NGS,1,2039,1.754385965
SIN,gas,NGS,1,2040,1.754385965
SIN,gas,NGS,1,2041,1.754385965
SIN,gas,NGS,1,2042,1.754385965
SIN,gas,NGS,1,2043,1.754385965
SIN,gas,NGS,1,2044,1.754385965
SIN,gas,NGS,1,2045,1.754385965
SIN,gas,NGS,1,2046,1.754385965
SIN,gas,NGS,1,2047,1.754385965
SIN,gas,NGS,1,2048,1.754385965
SIN,gas,NGS,1,2049,1.754385965
SIN,gas,NGS,1,2050,1.754385965
SIN,solar_pv,SOL,1,2015,1
SIN,solar_pv,SOL,1,2016,1
SIN,solar_pv,SOL,1,2017,1
SIN,solar_pv,SOL,1,2018,1
SIN,solar_pv,SOL,1,2019,1
SIN,solar_pv,SOL,1,2020,1
SIN,solar_pv,SOL,1,2021,1
SIN,solar_pv,SOL,1,2022,1
SIN,solar_pv,SOL,1,2023,1
SIN,solar_pv,SOL,1,2024,1
SIN,solar_pv,SOL,1,2025,1
SIN,solar_pv,SOL,1,2026,1
SIN,solar_pv,SOL,1,2027,1
SIN,solar_pv,SOL,1,2028,1
SIN,solar_pv,SOL,1,2029,1
SIN,solar_pv,SOL,1,2030,1
SIN,solar_pv,SOL,1,2031,1
SIN,solar_pv,SOL,1,2032,1
SIN,solar_pv,SOL,1,2033,1
SIN,solar_pv,SOL,1,2034,1
SIN,solar_pv,SOL,1,2035,1
SIN,solar_pv,SOL,1,2036,1
SIN,solar_pv,SOL,1,2037,1
SIN,solar_pv,SOL,1,2038,1
SIN,solar_pv,SOL,1,2039,1
SIN,solar_pv,SOL,1,2040,1
SIN,solar_pv,SOL,1,2041,1
SIN,solar_pv,SOL,1,2042,1
SIN,solar_pv,SOL,1,2043,1
SIN,solar_pv,SOL,1,2044,1
SIN,solar_pv,SOL,1,2045,1
SIN,solar_pv,SOL,1,2046,1
SIN,solar_pv,SOL,1,2047,1
SIN,solar_pv,SOL,1,2048,1
SIN,solar_pv,SOL,1,2049,1
SIN,solar_pv,SOL,1,2050,1
SIN,hydro,HYD,1,2015,1
SIN,hydro,HYD,1,2016,1
SIN,hydro,HYD,1,2017,1
SIN,hydro,HYD,1,2018,1
SIN,hydro,HYD,1,2019,1
SIN,hydro,HYD,1,2020,1
SIN,hydro,HYD,1,2021,1
SIN,hydro,HYD,1,2022,1
SIN,hydro,HYD,1,2023,1
SIN,hydro,HYD,1,2024,1
SIN,hydro,HYD,1,2025,1
SIN,hydro,HYD,1,2026,1
SIN,hydro,HYD,1,2027,1
SIN,hydro,HYD,1,2028,1
SIN,hydro,HYD,1,2029,1
SIN,hydro,HYD,1,2030,1
SIN,hydro,HYD,1,2031,1
SIN,hydro,HYD,1,2032,1
SIN,hydro,HYD,1,2033,1
SIN,hydro,HYD,1,2034,1
SIN,hydro,HYD,1,2035,1
SIN,hydro,HYD,1,2036,1
SIN,hydro,HYD,1,2037,1
SIN,hydro,HYD,1,2038,1
SIN,hydro,HYD,1,2039,1
SIN,hydro,HYD,1,2040,1
SIN,hydro,HYD,1,2041,1
SIN,hydro,HYD,1,2042,1
SIN,hydro,HYD,1,2043,1
SIN,hydro,HYD,1,2044,1
SIN,hydro,HYD,1,2045,1
SIN,hydro,HYD,1,2046,1
SIN,hydro,HYD,1,2047,1
SIN,hydro,HYD,1,2048,1
SIN,hydro,HYD,1,2049,1
SIN,hydro,HYD,1,2050,1
SIN,mini_hydro,HYD,1,2015,1
SIN,mini_hydro,HYD,1,2016,1
SIN,mini_hydro,HYD,1,2017,1
SIN,mini_hydro,HYD,1,2018,1
SIN,mini_hydro,HYD,1,2019,1
SIN,mini_hydro,HYD,1,2020,1
SIN,mini_hydro,HYD,1,2021,1
SIN,mini_hydro,HYD,1,2022,1
SIN,mini_hydro,HYD,1,2023,1
SIN,mini_hydro,HYD,1,2024,1
SIN,mini_hydro,HYD,1,2025,1
SIN,mini_hydro,HYD,1,2026,1
SIN,mini_hydro,HYD,1,2027,1
SIN,mini_hydro,HYD,1,2028,1
SIN,mini_hydro,HYD,1,2029,1
SIN,mini_hydro,HYD,1,2030,1
SIN,mini_hydro,HYD,1,2031,1
SIN,mini_hydro,HYD,1,2032,1
SIN,mini_hydro,HYD,1,2033,1
SIN,mini_hydro,HYD,1,2034,1
SIN,mini_hydro,HYD,1,2035,1
SIN,mini_hydro,HYD,1,2036,1
SIN,mini_hydro,HYD,1,2037,1
SIN,mini_hydro,HYD,1,2038,1
SIN,mini_hydro,HYD,1,2039,1
SIN,mini_hydro,HYD,1,2040,1
SIN,mini_hydro,HYD,1,2041,1
SIN,mini_hydro,HYD,1,2042,1
SIN,mini_hydro,HYD,1,2043,1
SIN,mini_hydro,HYD,1,2044,1
SIN,mini_hydro,HYD,1,2045,1
SIN,mini_hydro,HYD,1,2046,1
SIN,mini_hydro,HYD,1,2047,1
SIN,mini_hydro,HYD,1,2048,1
SIN,mini_hydro,HYD,1,2049,1
SIN,mini_hydro,HYD,1,2050,1
SIN,on_wind,WND,1,2015,1
SIN,on_wind,WND,1,2016,1
SIN,on_wind,WND,1,2017,1
SIN,on_wind,WND,1,2018,1
SIN,on_wind,WND,1,2019,1
SIN,on_wind,WND,1,2020,1
SIN,on_wind,WND,1,2021,1
SIN,on_wind,WND,1,2022,1
SIN,on_wind,WND,1,2023,1
SIN,on_wind,WND,1,2024,1
SIN,on_wind,WND,1,2025,1
SIN,on_wind,WND,1,2026,1
SIN,on_wind,WND,1,2027,1
SIN,on_wind,WND,1,2028,1
