REGION,FUEL,YEAR,VALUE
SIN,INDELC,2015,1
SIN,INDELC,2016,1
SIN,INDELC,2017,1
SIN,INDELC,2018,1
SIN,INDELC,2019,1
SIN,INDELC,2020,1
SIN,INDELC,2021,1
SIN,INDELC,2022,1
SIN,INDELC,2023,1
SIN,INDELC,2024,1
SIN,INDELC,2025,1
SIN,INDELC,2026,1
SIN,INDELC,2027,1
SIN,INDELC,2028,1
SIN,INDELC,2029,1
SIN,INDELC,2030,1
SIN,INDELC,2031,1
SIN,INDELC,2032,1
SIN,INDELC,2033,1
SIN,INDELC,2034,1
SIN,INDELC,2035,1
SIN,INDELC,2036,1
SIN,INDELC,2037,1
SIN,INDELC,2038,1
SIN,INDELC,2039,1
SIN,INDELC,2040,1
SIN,INDELC,2041,1
SIN,INDELC,2042,1
SIN,INDELC,2043,1
SIN,INDELC,2044,1
SIN,INDELC,2045,1
SIN,INDELC,2046,1
SIN,INDELC,2047,1
SIN,INDELC,2048,1
SIN,INDELC,2049,1
SIN,INDELC,2050,1
SIN,RESELC,2015,1
SIN,RESELC,2016,1
SIN,RESELC,2017,1
SIN,RESELC,2018,1
SIN,RESELC,2019,1
SIN,RESELC,2020,1
SIN,RESELC,2021,1
SIN,RESELC,2022,1
SIN,RESELC,2023,1
SIN,RESELC,2024,1
SIN,RESELC,2025,1
SIN,RESELC,2026,1
SIN,RESELC,2027,1
SIN,RESELC,2028,1
SIN,RESELC,2029,1
SIN,RESELC,2030,1
SIN,RESELC,2031,1
SIN,RESELC,2032,1
SIN,RESELC,2033,1
SIN,RESELC,2034,1
SIN,RESELC,2035,1
SIN,RESELC,2036,1
SIN,RESELC,2037,1
SIN,RESELC,2038,1
SIN,RESELC,2039,1
SIN,RESELC,2040,1
SIN,RESELC,2041,1
SIN,RESELC,2042,1
SIN,RESELC,2043,1
SIN,RESELC,2044,1
SIN,RESELC,2045,1
SIN,RESELC,2046,1
SIN,RESELC,2047,1
SIN,RESELC,2048,1
SIN,RESELC,2049,1
SIN,RESELC,2050,1
SIN,COMELC,2015,1
SIN,COMELC,2016,1
SIN,COMELC,2017,1
SIN,COMELC,2018,1
SIN,COMELC,2019,1
SIN,COMELC,2020,1
SIN,COMELC,2021,1
SIN,COMELC,2022,1
SIN,COMELC,2023,1
SIN,COMELC,2024,1
SIN,COMELC,2025,1
SIN,COMELC,2026,1
SIN,COMELC,2027,1
SIN,COMELC,2028,1
SIN,COMELC,2029,1
SIN,COMELC,2030,1
SIN,COMELC,2031,1
SIN,COMELC,2032,1
SIN,COMELC,2033,1
SIN,COMELC,2034,1
SIN,COMELC,2035,1
SIN,COMELC,2036,1
SIN,COMELC,2037,1
SIN,COMELC,2038,1
SIN,COMELC,2039,1
SIN,COMELC,2040,1
SIN,COMELC,2041,1
SIN,COMELC,2042,1
SIN,COMELC,2043,1
SIN,COMELC,2044,1
SIN,COMELC,2045,1
SIN,COMELC,2046,1
SIN,COMELC,2047,1
SIN,COMELC,2048,1
SIN,COMELC,2049,1
SIN,COMELC,2050,1
