state,type,phase,value,reference_year
AC,biomass,operation,1.5,2024
AL,biomass,operation,357.462,2024
AM,biomass,operation,17.027,2024
AP,biomass,operation,1.7,2024
BA,biomass,operation,537.8,2024
CE,biomass,operation,0,2024
DF,biomass,operation,2.85,2024
ES,biomass,operation,310.7,2024
GO,biomass,operation,1457.068,2024
MA,biomass,operation,281.795,2024
MG,biomass,operation,2108.50485,2024
MS,biomass,operation,1963.713,2024
MT,biomass,operation,555.143,2024
PA,biomass,operation,111.2514,2024
PB,biomass,operation,107.204,2024
PE,biomass,operation,317.575,2024
PI,biomass,operation,23.5,2024
PR,biomass,operation,1249.3996,2024
RJ,biomass,operation,75.93,2024
RN,biomass,operation,61,2024
RO,biomass,operation,27.568,2024
RR,biomass,operation,80.286,2024
RS,biomass,operation,395.8014,2024
SC,biomass,operation,307.3656,2024
SE,biomass,operation,59.7,2024
SP,biomass,operation,6886.6412,2024
TO,biomass,operation,91.5,2024
AC,coal,operation,0,2024
AL,coal,operation,0,2024
AM,coal,operation,0,2024
AP,coal,operation,0,2024
BA,coal,operation,0,2024
CE,coal,operation,1303.274,2024
DF,coal,operation,0,2024
ES,coal,operation,0,2024
GO,coal,operation,0,2024
MA,coal,operation,435.337,2024
MG,coal,operation,113.065,2024
MS,coal,operation,0,2024
MT,coal,operation,0,2024
PA,coal,operation,103.854,2024
PB,coal,operation,0,2024
PE,coal,operation,0,2024
PI,coal,operation,0,2024
PR,coal,operation,20,2024
RJ,coal,operation,21,2024
RN,coal,operation,0,2024
RO,coal,operation,0,2024
RR,coal,operation,0,2024
RS,coal,operation,695,2024
SC,coal,operation,745,2024
SE,coal,operation,0,2024
SP,coal,operation,24.4,2024
TO,coal,operation,0,2024
AC,gas,operation,0,2024
AL,gas,operation,6.8775,2024
AM,gas,operation,1069.519,2024
AP,gas,operation,0,2024
BA,gas,operation,469.078,2024
CE,gas,operation,238.374,2024
DF,gas,operation,0,2024
ES,gas,operation,706.006,2024
GO,gas,operation,0,2024
MA,gas,operation,1210.864,2024
MG,gas,operation,506.6182,2024
MS,gas,operation,568.89,2024
MT,gas,operation,529.2,2024
PA,gas,operation,0,2024
PB,gas,operation,0,2024
PE,gas,operation,608.325,2024
PI,gas,operation,0,2024
PR,gas,operation,515.008,2024
RJ,gas,operation,7358.05594,2024
RN,gas,operation,328.66715,2024
RO,gas,operation,349,2024
RR,gas,operation,140.834,2024
RS,gas,operation,903.259,2024
SC,gas,operation,340.6052,2024
SE,gas,operation,1601.599,2024
SP,gas,operation,1113.7264,2024
TO,gas,operation,0,2024
AC,hydro,operation,0,2024
AL,hydro,operation,3562,2024
AM,hydro,operation,274.71,2024
AP,hydro,operation,549,2024
BA,hydro,operation,5672.569,2024
CE,hydro,operation,0,2024
DF,hydro,operation,30,2024
ES,hydro,operation,313.337,2024
GO,hydro,operation,4781.127,2024
MA,hydro,operation,0,2024
MG,hydro,operation,14177.041,2024
MS,hydro,operation,6612.7,2024
MT,hydro,operation,4397.45,2024
PA,hydro,operation,20203.85,2024
PB,hydro,operation,0,2024
PE,hydro,operation,1479.6,2024
PI,hydro,operation,237.3,2024
PR,hydro,operation,15930.271,2024
RJ,hydro,operation,1015.087,2024
RN,hydro,operation,0,2024
RO,hydro,operation,7608.25,2024
RR,hydro,operation,10,2024
RS,hydro,operation,2510.02,2024
SC,hydro,operation,5063.892,2024
SE,hydro,operation,0,2024
SP,hydro,operation,6015.869,2024
TO,hydro,operation,2731.45,2024
AC,mini_hydro,operation,0,2024
AL,mini_hydro,operation,3.0543,2024
AM,mini_hydro,operation,0,2024
AP,mini_hydro,operation,0,2024
BA,mini_hydro,operation,10.1551,2024
CE,mini_hydro,operation,0,2024
DF,mini_hydro,operation,0,2024
ES,mini_hydro,operation,3.3715,2024
GO,mini_hydro,operation,11.75094,2024
MA,mini_hydro,operation,0.072,2024
MG,mini_hydro,operation,162.42913,2024
MS,mini_hydro,operation,17.31201,2024
MT,mini_hydro,operation,74.2362,2024
PA,mini_hydro,operation,3.05,2024
PB,mini_hydro,operation,0,2024
PE,mini_hydro,operation,12.19234,2024
PI,mini_hydro,operation,0,2024
PR,mini_hydro,operation,97.70447,2024
RJ,mini_hydro,operation,16.79554,2024
RN,mini_hydro,operation,0,2024
RO,mini_hydro,operation,30.09462,2024
RR,mini_hydro,operation,0,2024
RS,mini_hydro,operation,69.22195,2024
SC,mini_hydro,operation,260.04689,2024
SE,mini_hydro,operation,0.55,2024
SP,mini_hydro,operation,72.18332,2024
TO,mini_hydro,operation,19.419,2024
AC,nuclear,operation,0,2024
AL,nuclear,operation,0,2024
AM,nuclear,operation,0,2024
AP,nuclear,operation,0,2024
BA,nuclear,operation,0,2024
CE,nuclear,operation,0,2024
DF,nuclear,operation,0,2024
ES,nuclear,operation,0,2024
GO,nuclear,operation,0,2024
MA,nuclear,operation,0,2024
MG,nuclear,operation,0,2024
MS,nuclear,operation,0,2024
MT,nuclear,operation,0,2024
PA,nuclear,operation,0,2024
PB,nuclear,operation,0,2024
PE,nuclear,operation,0,2024
PI,nuclear,operation,0,2024
PR,nuclear,operation,0,2024
RJ,nuclear,operation,1990,2024
RN,nuclear,operation,0,2024
RO,nuclear,operation,0,2024
RR,nuclear,operation,0,2024
RS,nuclear,operation,0,2024
SC,nuclear,operation,0,2024
SE,nuclear,operation,0,2024
SP,nuclear,operation,0,2024
TO,nuclear,operation,0,2024
AC,oil,operation,140.67,2024
AL,oil,operation,10.2636,2024
AM,oil,operation,730.4878,2024
AP,oil,operation,26.016,2024
BA,oil,operation,455.1919,2024
CE,oil,operation,195.4391,2024
DF,oil,operation,16.3584,2024
ES,oil,operation,569.5664,2024
GO,oil,operation,395.88759,2024
MA,oil,operation,339.8066,2024
MG,oil,operation,323.43908,2024
MS,oil,operation,7.926,2024
MT,oil,operation,44.229,2024
PA,oil,operation,239.58675,2024
PB,oil,operation,521.4428,2024
PE,oil,operation,870.948,2024
PI,oil,operation,17.006,2024
PR,oil,operation,123.85475,2024
RJ,oil,operation,632.8854,2024
RN,oil,operation,134.8918,2024
RO,oil,operation,133.322,2024
RR,oil,operation,381.9106,2024
RS,oil,operation,233.3712,2024
SC,oil,operation,68.44456,2024
SE,oil,operation,32.4274,2024
SP,oil,operation,1558.57774,2024
TO,oil,operation,18.529,2024
AC,on_wind,operation,0,2024
AL,on_wind,operation,0,2024
AM,on_wind,operation,0,2024
AP,on_wind,operation,0,2024
BA,on_wind,operation,9347.67064,2024
CE,on_wind,operation,2577.84,2024
DF,on_wind,operation,0,2024
ES,on_wind,operation,0,2024
GO,on_wind,operation,0,2024
MA,on_wind,operation,426.0225,2024
MG,on_wind,operation,0.156,2024
MS,on_wind,operation,0,2024
MT,on_wind,operation,0,2024
PA,on_wind,operation,0,2024
PB,on_wind,operation,992.24,2024
PE,on_wind,operation,1088.365,2024
PI,on_wind,operation,4016.25,2024
PR,on_wind,operation,2.5,2024
RJ,on_wind,operation,28.05,2024
