REGION,TECHNOLOGY,YEAR,VALUE
SIN,export,2015,1
SIN,export,2016,2
SIN,export,2017,1
SIN,export,2018,1
SIN,export,2019,1
SIN,export,2020,2
SIN,export,2021,1
SIN,export,2022,20
SIN,export,2023,20
SIN,export,2024,20
SIN,export,2025,20
SIN,export,2026,20
SIN,export,2027,20
SIN,export,2028,20
SIN,export,2029,20
SIN,export,2030,20
SIN,export,2031,20
SIN,export,2032,20
SIN,export,2033,20
SIN,export,2034,20
SIN,export,2035,20
SIN,export,2036,20
SIN,export,2037,20
SIN,export,2038,20
SIN,export,2039,20
SIN,export,2040,20
SIN,export,2041,20
SIN,export,2042,20
SIN,export,2043,20
SIN,export,2044,20
SIN,export,2045,20
SIN,export,2046,20
SIN,export,2047,20
SIN,export,2048,20
SIN,export,2049,20
SIN,export,2050,20
SIN,import,2015,125
SIN,import,2016,150
SIN,import,2017,132
SIN,import,2018,126
SIN,import,2019,91
SIN,import,2020,91
SIN,import,2021,84
SIN,import,2022,65
SIN,import,2023,126
SIN,import,2024,126
SIN,import,2025,126
SIN,import,2026,126
SIN,import,2027,126
SIN,import,2028,126
SIN,import,2029,126
SIN,import,2030,126
SIN,import,2031,126
SIN,import,2032,126
SIN,import,2033,126
SIN,import,2034,126
SIN,import,2035,126
SIN,import,2036,126
SIN,import,2037,126
SIN,import,2038,126
SIN,import,2039,126
SIN,import,2040,126
SIN,import,2041,126
SIN,import,2042,126
SIN,import,2043,126
SIN,import,2044,126
SIN,import,2045,126
SIN,import,2046,126
SIN,import,2047,126
SIN,import,2048,126
SIN,import,2049,126
SIN,import,2050,126
SIN,nuclear,2015,54
SIN,nuclear,2016,58
SIN,nuclear,2017,57
SIN,nuclear,2018,57
SIN,nuclear,2019,59
SIN,nuclear,2020,51
SIN,nuclear,2021,53
SIN,nuclear,2022,53
SIN,nuclear,2023,60
SIN,nuclear,2024,60
SIN,nuclear,2025,60
SIN,nuclear,2026,60
SIN,nuclear,2027,60
SIN,nuclear,2028,60
SIN,nuclear,2029,60
SIN,nuclear,2030,60
SIN,nuclear,2031,60
SIN,nuclear,2032,60
SIN,nuclear,2033,60
SIN,nuclear,2034,60
SIN,nuclear,2035,60
SIN,nuclear,2036,60
SIN,nuclear,2037,60
SIN,nuclear,2038,60
SIN,nuclear,2039,60
SIN,nuclear,2040,60
SIN,nuclear,2041,60
SIN,nuclear,2042,60
SIN,nuclear,2043,60
SIN,nuclear,2044,60
SIN,nuclear,2045,60
SIN,nuclear,2046,60
SIN,nuclear,2047,60
SIN,nuclear,2048,60
SIN,nuclear,2049,60
SIN,nuclear,2050,60
SIN,oil,2015,367
SIN,oil,2016,280
SIN,oil,2017,313
SIN,oil,2018,265
SIN,oil,2019,292
SIN,oil,2020,258
SIN,oil,2021,377
SIN,oil,2022,181
SIN,oil,2023,99999
SIN,oil,2024,99999
SIN,oil,2025,99999
SIN,oil,2026,99999
SIN,oil,2027,99999
SIN,oil,2028,99999
SIN,oil,2029,99999
SIN,oil,2030,99999
SIN,oil,2031,99999
SIN,oil,2032,99999
SIN,oil,2033,99999
SIN,oil,2034,99999
SIN,oil,2035,99999
SIN,oil,2036,99999
SIN,oil,2037,99999
SIN,oil,2038,99999
SIN,oil,2039,99999
SIN,oil,2040,99999
SIN,oil,2041,99999
SIN,oil,2042,99999
SIN,oil,2043,99999
SIN,oil,2044,99999
SIN,oil,2045,99999
SIN,oil,2046,99999
SIN,oil,2047,99999
SIN,oil,2048,99999
SIN,oil,2049,99999
SIN,oil,2050,99999
SIN,biomass,2015,173
SIN,biomass,2016,179
SIN,biomass,2017,184
SIN,biomass,2018,189
SIN,biomass,2019,190
SIN,biomass,2020,203
SIN,biomass,2021,189
SIN,biomass,2022,189
SIN,biomass,2023,99999
SIN,biomass,2024,99999
SIN,biomass,2025,99999
SIN,biomass,2026,99999
SIN,biomass,2027,99999
SIN,biomass,2028,99999
SIN,biomass,2029,99999
SIN,biomass,2030,99999
SIN,biomass,2031,99999
SIN,biomass,2032,99999
SIN,biomass,2033,99999
SIN,biomass,2034,99999
SIN,biomass,2035,99999
SIN,biomass,2036,99999
SIN,biomass,2037,99999
SIN,biomass,2038,99999
SIN,biomass,2039,99999
SIN,biomass,2040,99999
SIN,biomass,2041,99999
SIN,biomass,2042,99999
SIN,biomass,2043,99999
SIN,biomass,2044,99999
SIN,biomass,2045,99999
SIN,biomass,2046,99999
SIN,biomass,2047,99999
SIN,biomass,2048,99999
SIN,biomass,2049,99999
SIN,biomass,2050,99999
SIN,gas,2015,298
SIN,gas,2016,219
SIN,gas,2017,254
SIN,gas,2018,214
SIN,gas,2019,237
SIN,gas,2020,215
SIN,gas,2021,314
SIN,gas,2022,152
SIN,gas,2023,99999
SIN,gas,2024,99999
SIN,gas,2025,99999
SIN,gas,2026,99999
SIN,gas,2027,99999
SIN,gas,2028,99999
SIN,gas,2029,99999
SIN,gas,2030,99999
SIN,gas,2031,99999
SIN,gas,2032,99999
SIN,gas,2033,99999
SIN,gas,2034,99999
SIN,gas,2035,99999
SIN,gas,2036,99999
SIN,gas,2037,99999
SIN,gas,2038,99999
SIN,gas,2039,99999
SIN,gas,2040,99999
SIN,gas,2041,99999
SIN,gas,2042,99999
SIN,gas,2043,99999
SIN,gas,2044,99999
SIN,gas,2045,99999
SIN,gas,2046,99999
SIN,gas,2047,99999
SIN,gas,2048,99999
SIN,gas,2049,99999
SIN,gas,2050,99999
SIN,coal,2015,69
SIN,coal,2016,62
SIN,coal,2017,59
SIN,coal,2018,52
SIN,coal,2019,56
SIN,coal,2020,44
SIN,coal,2021,64
SIN,coal,2022,29
SIN,coal,2023,99999
SIN,coal,2024,99999
SIN,coal,2025,99999
SIN,coal,2026,99999
SIN,coal,2027,99999
SIN,coal,2028,99999
SIN,coal,2029,99999
SIN,coal,2030,99999
SIN,coal,2031,99999
SIN,coal,2032,99999
SIN,coal,2033,99999
SIN,coal,2034,99999
SIN,coal,2035,99999
SIN,coal,2036,99999
SIN,coal,2037,99999
SIN,coal,2038,99999
SIN,coal,2039,99999
SIN,coal,2040,99999
SIN,coal,2041,99999
SIN,coal,2042,99999
SIN,coal,2043,99999
SIN,coal,2044,99999
SIN,coal,2045,99999
SIN,coal,2046,99999
SIN,coal,2047,99999
SIN,coal,2048,99999
SIN,coal,2049,99999
SIN,coal,2050,99999
SIN,solar_pv,2015,0.5
SIN,solar_pv,2016,0.5
SIN,solar_pv,2017,3
SIN,solar_pv,2018,13
SIN,solar_pv,2019,24
SIN,solar_pv,2020,39
SIN,solar_pv,2021,61
SIN,solar_pv,2022,109
