REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
SIN,IMPOIL,1,2015,13.145
SIN,IMPOIL,1,2016,10.329
SIN,IMPOIL,1,2017,8.448
SIN,IMPOIL,1,2018,10.703
SIN,IMPOIL,1,2019,12.76
SIN,IMPOIL,1,2020,12.199
SIN,IMPOIL,1,2021,12.3112
SIN,IMPOIL,1,2022,12.4234
SIN,IMPOIL,1,2023,12.5356
SIN,IMPOIL,1,2024,12.6478
SIN,IMPOIL,1,2025,12.76
SIN,IMPOIL,1,2026,13.0614
SIN,IMPOIL,1,2027,13.3628
SIN,IMPOIL,1,2028,13.6642
SIN,IMPOIL,1,2029,13.9656
SIN,IMPOIL,1,2030,14.267
SIN,IMPOIL,1,2031,14.531
SIN,IMPOIL,1,2032,14.795
SIN,IMPOIL,1,2033,15.059
SIN,IMPOIL,1,2034,15.323
SIN,IMPOIL,1,2035,15.576
SIN,IMPOIL,1,2036,15.84
SIN,IMPOIL,1,2037,16.104
SIN,IMPOIL,1,2038,16.368
SIN,IMPOIL,1,2039,16.632
SIN,IMPOIL,1,2040,16.896
SIN,IMPOIL,1,2041,17.16
SIN,IMPOIL,1,2042,17.424
SIN,IMPOIL,1,2043,17.688
SIN,IMPOIL,1,2044,17.952
SIN,IMPOIL,1,2045,18.205
SIN,IMPOIL,1,2046,18.469
SIN,IMPOIL,1,2047,18.733
SIN,IMPOIL,1,2048,18.997
SIN,IMPOIL,1,2049,19.261
SIN,IMPOIL,1,2050,19.525
SIN,MINOIL,1,2015,11.95
SIN,MINOIL,1,2016,9.39
SIN,MINOIL,1,2017,7.68
SIN,MINOIL,1,2018,9.73
SIN,MINOIL,1,2019,11.6
SIN,MINOIL,1,2020,11.09
SIN,MINOIL,1,2021,11.192
SIN,MINOIL,1,2022,11.294
SIN,MINOIL,1,2023,11.396
SIN,MINOIL,1,2024,11.498
SIN,MINOIL,1,2025,11.6
SIN,MINOIL,1,2026,11.874
SIN,MINOIL,1,2027,12.148
SIN,MINOIL,1,2028,12.422
SIN,MINOIL,1,2029,12.696
SIN,MINOIL,1,2030,12.97
SIN,MINOIL,1,2031,13.21
SIN,MINOIL,1,2032,13.45
SIN,MINOIL,1,2033,13.69
SIN,MINOIL,1,2034,13.93
SIN,MINOIL,1,2035,14.16
SIN,MINOIL,1,2036,14.4
SIN,MINOIL,1,2037,14.64
SIN,MINOIL,1,2038,14.88
SIN,MINOIL,1,2039,15.12
SIN,MINOIL,1,2040,15.36
SIN,MINOIL,1,2041,15.6
SIN,MINOIL,1,2042,15.84
