TIMESLICE,YEAR,VALUE
S101,2015,0.041666667
S101,2016,0.041666667
S101,2017,0.041666667
S101,2018,0.041666667
S101,2019,0.041666667
S101,2020,0.041666667
S101,2021,0.041666667
S101,2022,0.041666667
S101,2023,0.041666667
S101,2024,0.041666667
S101,2025,0.041666667
S101,2026,0.041666667
S101,2027,0.041666667
S101,2028,0.041666667
S101,2029,0.041666667
S101,2030,0.041666667
S101,2031,0.041666667
S101,2032,0.041666667
S101,2033,0.041666667
S101,2034,0.041666667
S101,2035,0.041666667
S101,2036,0.041666667
S101,2037,0.041666667
S101,2038,0.041666667
S101,2039,0.041666667
S101,2040,0.041666667
S101,2041,0.041666667
S101,2042,0.041666667
S101,2043,0.041666667
S101,2044,0.041666667
S101,2045,0.041666667
S101,2046,0.041666667
S101,2047,0.041666667
S101,2048,0.041666667
S101,2049,0.041666667
S101,2050,0.041666667
S102,2015,0.041666667
S102,2016,0.041666667
S102,2017,0.041666667
S102,2018,0.041666667
S102,2019,0.041666667
S102,2020,0.041666667
S102,2021,0.041666667
S102,2022,0.041666667
S102,2023,0.041666667
S102,2024,0.041666667
S102,2025,0.041666667
S102,2026,0.041666667
S102,2027,0.041666667
S102,2028,0.041666667
S102,2029,0.041666667
S102,2030,0.041666667
S102,2031,0.041666667
S102,2032,0.041666667
S102,2033,0.041666667
S102,2034,0.041666667
S102,2035,0.041666667
S102,2036,0.041666667
S102,2037,0.041666667
S102,2038,0.041666667
S102,2039,0.041666667
S102,2040,0.041666667
S102,2041,0.041666667
S102,2042,0.041666667
S102,2043,0.041666667
S102,2044,0.041666667
S102,2045,0.041666667
S102,2046,0.041666667
S102,2047,0.041666667
S102,2048,0.041666667
S102,2049,0.041666667
S102,2050,0.041666667
S103,2015,0.041666667
S103,2016,0.041666667
S103,2017,0.041666667
S103,2018,0.041666667
S103,2019,0.041666667
S103,2020,0.041666667
S103,2021,0.041666667
S103,2022,0.041666667
S103,2023,0.041666667
S103,2024,0.041666667
S103,2025,0.041666667
S103,2026,0.041666667
S103,2027,0.041666667
S103,2028,0.041666667
S103,2029,0.041666667
S103,2030,0.041666667
S103,2031,0.041666667
S103,2032,0.041666667
S103,2033,0.041666667
S103,2034,0.041666667
S103,2035,0.041666667
S103,2036,0.041666667
S103,2037,0.041666667
S103,2038,0.041666667
S103,2039,0.041666667
S103,2040,0.041666667
S103,2041,0.041666667
S103,2042,0.041666667
S103,2043,0.041666667
S103,2044,0.041666667
S103,2045,0.041666667
S103,2046,0.041666667
S103,2047,0.041666667
S103,2048,0.041666667
S103,2049,0.041666667
S103,2050,0.041666667
S104,2015,0.041666667
S104,2016,0.041666667
S104,2017,0.041666667
S104,2018,0.041666667
S104,2019,0.041666667
S104,2020,0.041666667
S104,2021,0.041666667
S104,2022,0.041666667
S104,2023,0.041666667
S104,2024,0.041666667
S104,2025,0.041666667
S104,2026,0.041666667
S104,2027,0.041666667
