REGION,TECHNOLOGY,VALUE
NORDESTE,IMPBIO,1.0
NORDESTE,MINBIO,1.0
NORDESTE,IMPURN,1.0
NORDESTE,MINURN,1.0
NORDESTE,IMPCOA,1.0
NORDESTE,MINCOA,1.0
NORDESTE,IMPNGS,1.0
NORDESTE,MINNGS,1.0
NORDESTE,IMPOIL,1.0
NORDESTE,MINOIL,1.0
NORDESTE,IMPLFO,1.0
NORDESTE,IMPHFO,1.0
NORDESTE,UPSREF001,1.0
NORDESTE,UPSREF002,1.0
NORDESTE,MINGEO,1.0
NORDESTE,MINSOL,1.0
NORDESTE,MINWND,1.0
NORDESTE,MINHYD,1.0
NORDESTE,biomass,31.536
NORDESTE,nuclear,31.536
NORDESTE,coal,31.536
NORDESTE,gas,31.536
NORDESTE,oil,31.536
NORDESTE,solar_pv,31.536
NORDESTE,on_wind,31.536
NORDESTE,off_wind,31.536
NORDESTE,hydro,31.536
NORDESTE,mini_hydro,31.536
NORDESTE,small_hydro,31.536
SUL,IMPBIO,1.0
SUL,MINBIO,1.0
SUL,IMPURN,1.0
SUL,MINURN,1.0
SUL,IMPCOA,1.0
SUL,MINCOA,1.0
SUL,IMPNGS,1.0
SUL,MINNGS,1.0
SUL,IMPOIL,1.0
SUL,MINOIL,1.0
SUL,IMPLFO,1.0
SUL,IMPHFO,1.0
SUL,UPSREF001,1.0
SUL,UPSREF002,1.0
SUL,MINGEO,1.0
SUL,MINSOL,1.0
SUL,MINWND,1.0
SUL,MINHYD,1.0
SUL,biomass,31.536
SUL,nuclear,31.536
SUL,coal,31.536
SUL,gas,31.536
SUL,oil,31.536
SUL,solar_pv,31.536
SUL,on_wind,31.536
SUL,off_wind,31.536
SUL,hydro,31.536
SUL,mini_hydro,31.536
SUL,small_hydro,31.536
NORTE,IMPBIO,1.0
NORTE,MINBIO,1.0
NORTE,IMPURN,1.0
NORTE,MINURN,1.0
NORTE,IMPCOA,1.0
NORTE,MINCOA,1.0
NORTE,IMPNGS,1.0
NORTE,MINNGS,1.0
NORTE,IMPOIL,1.0
NORTE,MINOIL,1.0
NORTE,IMPLFO,1.0
NORTE,IMPHFO,1.0
NORTE,UPSREF001,1.0
NORTE,UPSREF002,1.0
NORTE,MINGEO,1.0
NORTE,MINSOL,1.0
NORTE,MINWND,1.0
NORTE,MINHYD,1.0
NORTE,biomass,31.536
NORTE,nuclear,31.536
NORTE,coal,31.536
NORTE,gas,31.536
NORTE,oil,31.536
NORTE,solar_pv,31.536
NORTE,on_wind,31.536
NORTE,off_wind,31.536
NORTE,hydro,31.536
NORTE,mini_hydro,31.536
NORTE,small_hydro,31.536
SUDESTE,IMPBIO,1.0
SUDESTE,MINBIO,1.0
SUDESTE,IMPURN,1.0
SUDESTE,MINURN,1.0
SUDESTE,IMPCOA,1.0
SUDESTE,MINCOA,1.0
SUDESTE,IMPNGS,1.0
SUDESTE,MINNGS,1.0
SUDESTE,IMPOIL,1.0
SUDESTE,MINOIL,1.0
SUDESTE,IMPLFO,1.0
SUDESTE,IMPHFO,1.0
SUDESTE,UPSREF001,1.0
SUDESTE,UPSREF002,1.0
SUDESTE,MINGEO,1.0
SUDESTE,MINSOL,1.0
SUDESTE,MINWND,1.0
SUDESTE,MINHYD,1.0
SUDESTE,biomass,31.536
SUDESTE,nuclear,31.536
SUDESTE,coal,31.536
SUDESTE,gas,31.536
SUDESTE,oil,31.536
SUDESTE,solar_pv,31.536
SUDESTE,on_wind,31.536
SUDESTE,off_wind,31.536
SUDESTE,hydro,31.536
SUDESTE,mini_hydro,31.536
SUDESTE,small_hydro,31.536
