REGION,TECHNOLOGY,YEAR,VALUE
NORDESTE,biomass,2024,1905.0
NORDESTE,biomass,2025,1905.0
NORDESTE,biomass,2026,1905.0
NORDESTE,biomass,2027,1905.0
NORDESTE,biomass,2028,1905.0
NORDESTE,biomass,2029,1905.0
NORDESTE,biomass,2030,1905.0
NORDESTE,coal,2024,2500.0
NORDESTE,coal,2025,2500.0
NORDESTE,coal,2026,2500.0
NORDESTE,coal,2027,2500.0
NORDESTE,coal,2028,2500.0
NORDESTE,coal,2029,2500.0
NORDESTE,coal,2030,2500.0
NORDESTE,oil,2024,1200.0
NORDESTE,oil,2025,1200.0
NORDESTE,oil,2026,1200.0
NORDESTE,oil,2027,1200.0
NORDESTE,oil,2028,1200.0
NORDESTE,oil,2029,1200.0
NORDESTE,oil,2030,1200.0
NORDESTE,gas,2024,1260.0
NORDESTE,gas,2025,1260.0
NORDESTE,gas,2026,1260.0
NORDESTE,gas,2027,1260.0
NORDESTE,gas,2028,1260.0
NORDESTE,gas,2029,1260.0
NORDESTE,gas,2030,1260.0
NORDESTE,solar_pv,2024,1225.116279
NORDESTE,solar_pv,2025,1150.263566
NORDESTE,solar_pv,2026,1075.410853
NORDESTE,solar_pv,2027,1000.55814
NORDESTE,solar_pv,2028,925.7054264
NORDESTE,solar_pv,2029,850.8527132
NORDESTE,solar_pv,2030,776.0
NORDESTE,hydro,2024,2939.0
NORDESTE,hydro,2025,2939.0
NORDESTE,hydro,2026,2939.0
NORDESTE,hydro,2027,2939.0
NORDESTE,hydro,2028,2939.0
NORDESTE,hydro,2029,2939.0
NORDESTE,hydro,2030,2939.0
NORDESTE,mini_hydro,2024,3499.0
NORDESTE,mini_hydro,2025,3499.0
NORDESTE,mini_hydro,2026,3499.0
NORDESTE,mini_hydro,2027,3499.0
NORDESTE,mini_hydro,2028,3499.0
NORDESTE,mini_hydro,2029,3499.0
NORDESTE,mini_hydro,2030,3499.0
NORDESTE,on_wind,2024,1180.2
NORDESTE,on_wind,2025,1131.333333
NORDESTE,on_wind,2026,1082.466667
NORDESTE,on_wind,2027,1033.6
NORDESTE,on_wind,2028,984.7333333
NORDESTE,on_wind,2029,935.8666667
NORDESTE,on_wind,2030,887.0
NORDESTE,off_wind,2024,2848.2
NORDESTE,off_wind,2025,2708.666667
NORDESTE,off_wind,2026,2569.133333
NORDESTE,off_wind,2027,2429.6
NORDESTE,off_wind,2028,2290.066667
NORDESTE,off_wind,2029,2150.533333
NORDESTE,off_wind,2030,2011.0
NORDESTE,nuclear,2024,6318.0
NORDESTE,nuclear,2025,6318.0
NORDESTE,nuclear,2026,6318.0
NORDESTE,nuclear,2027,6318.0
NORDESTE,nuclear,2028,6318.0
NORDESTE,nuclear,2029,6318.0
NORDESTE,nuclear,2030,6318.0
NORDESTE,small_hydro,2024,2500.0
NORDESTE,small_hydro,2025,2500.0
NORDESTE,small_hydro,2026,2500.0
NORDESTE,small_hydro,2027,2500.0
NORDESTE,small_hydro,2028,2500.0
NORDESTE,small_hydro,2029,2500.0
NORDESTE,small_hydro,2030,2500.0
SUL,biomass,2024,1905.0
SUL,biomass,2025,1905.0
SUL,biomass,2026,1905.0
SUL,biomass,2027,1905.0
SUL,biomass,2028,1905.0
SUL,biomass,2029,1905.0
SUL,biomass,2030,1905.0
SUL,coal,2024,2500.0
SUL,coal,2025,2500.0
SUL,coal,2026,2500.0
SUL,coal,2027,2500.0
SUL,coal,2028,2500.0
SUL,coal,2029,2500.0
SUL,coal,2030,2500.0
