REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
NORDESTE,IMPOIL,EMIC02,1,2024,73.3
NORDESTE,IMPOIL,EMIC02,1,2025,73.3
NORDESTE,IMPOIL,EMIC02,1,2026,73.3
NORDESTE,IMPOIL,EMIC02,1,2027,73.3
NORDESTE,IMPOIL,EMIC02,1,2028,73.3
NORDESTE,IMPOIL,EMIC02,1,2029,73.3
NORDESTE,IMPOIL,EMIC02,1,2030,73.3
NORDESTE,MINOIL,EMIC02,1,2024,73.3
NORDESTE,MINOIL,EMIC02,1,2025,73.3
NORDESTE,MINOIL,EMIC02,1,2026,73.3
NORDESTE,MINOIL,EMIC02,1,2027,73.3
NORDESTE,MINOIL,EMIC02,1,2028,73.3
NORDESTE,MINOIL,EMIC02,1,2029,73.3
NORDESTE,MINOIL,EMIC02,1,2030,73.3
NORDESTE,IMPBIO,EMIC02,1,2024,100.0
NORDESTE,IMPBIO,EMIC02,1,2025,100.0
NORDESTE,IMPBIO,EMIC02,1,2026,100.0
NORDESTE,IMPBIO,EMIC02,1,2027,100.0
NORDESTE,IMPBIO,EMIC02,1,2028,100.0
NORDESTE,IMPBIO,EMIC02,1,2029,100.0
NORDESTE,IMPBIO,EMIC02,1,2030,100.0
NORDESTE,MINBIO,EMIC02,1,2024,100.0
NORDESTE,MINBIO,EMIC02,1,2025,100.0
NORDESTE,MINBIO,EMIC02,1,2026,100.0
NORDESTE,MINBIO,EMIC02,1,2027,100.0
NORDESTE,MINBIO,EMIC02,1,2028,100.0
NORDESTE,MINBIO,EMIC02,1,2029,100.0
NORDESTE,MINBIO,EMIC02,1,2030,100.0
NORDESTE,IMPCOA,EMIC02,1,2024,94.6
NORDESTE,IMPCOA,EMIC02,1,2025,94.6
NORDESTE,IMPCOA,EMIC02,1,2026,94.6
NORDESTE,IMPCOA,EMIC02,1,2027,94.6
NORDESTE,IMPCOA,EMIC02,1,2028,94.6
NORDESTE,IMPCOA,EMIC02,1,2029,94.6
NORDESTE,IMPCOA,EMIC02,1,2030,94.6
NORDESTE,MINCOA,EMIC02,1,2024,94.6
NORDESTE,MINCOA,EMIC02,1,2025,94.6
NORDESTE,MINCOA,EMIC02,1,2026,94.6
NORDESTE,MINCOA,EMIC02,1,2027,94.6
NORDESTE,MINCOA,EMIC02,1,2028,94.6
NORDESTE,MINCOA,EMIC02,1,2029,94.6
NORDESTE,MINCOA,EMIC02,1,2030,94.6
NORDESTE,IMPLFO,EMIC02,1,2024,69.3
NORDESTE,IMPLFO,EMIC02,1,2025,69.3
NORDESTE,IMPLFO,EMIC02,1,2026,69.3
NORDESTE,IMPLFO,EMIC02,1,2027,69.3
NORDESTE,IMPLFO,EMIC02,1,2028,69.3
NORDESTE,IMPLFO,EMIC02,1,2029,69.3
NORDESTE,IMPLFO,EMIC02,1,2030,69.3
NORDESTE,IMPHFO,EMIC02,1,2024,77.4
NORDESTE,IMPHFO,EMIC02,1,2025,77.4
NORDESTE,IMPHFO,EMIC02,1,2026,77.4
NORDESTE,IMPHFO,EMIC02,1,2027,77.4
NORDESTE,IMPHFO,EMIC02,1,2028,77.4
NORDESTE,IMPHFO,EMIC02,1,2029,77.4
NORDESTE,IMPHFO,EMIC02,1,2030,77.4
NORDESTE,IMPNGS,EMIC02,1,2024,56.1
NORDESTE,IMPNGS,EMIC02,1,2025,56.1
NORDESTE,IMPNGS,EMIC02,1,2026,56.1
NORDESTE,IMPNGS,EMIC02,1,2027,56.1
NORDESTE,IMPNGS,EMIC02,1,2028,56.1
NORDESTE,IMPNGS,EMIC02,1,2029,56.1
NORDESTE,IMPNGS,EMIC02,1,2030,56.1
NORDESTE,MINNGS,EMIC02,1,2024,56.1
NORDESTE,MINNGS,EMIC02,1,2025,56.1
NORDESTE,MINNGS,EMIC02,1,2026,56.1
NORDESTE,MINNGS,EMIC02,1,2027,56.1
NORDESTE,MINNGS,EMIC02,1,2028,56.1
NORDESTE,MINNGS,EMIC02,1,2029,56.1
NORDESTE,MINNGS,EMIC02,1,2030,56.1
SUL,IMPOIL,EMIC02,1,2024,73.3
SUL,IMPOIL,EMIC02,1,2025,73.3
SUL,IMPOIL,EMIC02,1,2026,73.3
SUL,IMPOIL,EMIC02,1,2027,73.3
SUL,IMPOIL,EMIC02,1,2028,73.3
SUL,IMPOIL,EMIC02,1,2029,73.3
SUL,IMPOIL,EMIC02,1,2030,73.3
SUL,MINOIL,EMIC02,1,2024,73.3
