REGION,TECHNOLOGY,YEAR,VALUE
NORDESTE,biomass,2024,13.0
NORDESTE,biomass,2025,13.0
NORDESTE,biomass,2026,13.0
NORDESTE,biomass,2027,13.0
NORDESTE,biomass,2028,13.0
NORDESTE,biomass,2029,13.0
NORDESTE,biomass,2030,13.0
NORDESTE,coal,2024,40.0
NORDESTE,coal,2025,40.0
NORDESTE,coal,2026,40.0
NORDESTE,coal,2027,40.0
NORDESTE,coal,2028,40.0
NORDESTE,coal,2029,40.0
NORDESTE,coal,2030,40.0
NORDESTE,oil,2024,15.0
NORDESTE,oil,2025,15.0
NORDESTE,oil,2026,15.0
NORDESTE,oil,2027,15.0
NORDESTE,oil,2028,15.0
NORDESTE,oil,2029,15.0
NORDESTE,oil,2030,15.0
NORDESTE,gas,2024,20.0
NORDESTE,gas,2025,20.0
NORDESTE,gas,2026,20.0
NORDESTE,gas,2027,20.0
NORDESTE,gas,2028,20.0
NORDESTE,gas,2029,20.0
NORDESTE,gas,2030,20.0
NORDESTE,solar_pv,2024,15.92651163
NORDESTE,solar_pv,2025,14.95342636
NORDESTE,solar_pv,2026,13.98034109
NORDESTE,solar_pv,2027,13.00725581
NORDESTE,solar_pv,2028,12.03417054
NORDESTE,solar_pv,2029,11.06108527
NORDESTE,solar_pv,2030,10.088
NORDESTE,hydro,2024,88.17
NORDESTE,hydro,2025,88.17
NORDESTE,hydro,2026,88.17
NORDESTE,hydro,2027,88.17
NORDESTE,hydro,2028,88.17
NORDESTE,hydro,2029,88.17
NORDESTE,hydro,2030,88.17
NORDESTE,mini_hydro,2024,104.97
NORDESTE,mini_hydro,2025,104.97
NORDESTE,mini_hydro,2026,104.97
NORDESTE,mini_hydro,2027,104.97
NORDESTE,mini_hydro,2028,104.97
NORDESTE,mini_hydro,2029,104.97
NORDESTE,mini_hydro,2030,104.97
NORDESTE,on_wind,2024,47.208
NORDESTE,on_wind,2025,45.25333333
NORDESTE,on_wind,2026,43.29866667
NORDESTE,on_wind,2027,41.344
NORDESTE,on_wind,2028,39.38933333
NORDESTE,on_wind,2029,37.43466667
NORDESTE,on_wind,2030,35.48
NORDESTE,off_wind,2024,113.928
NORDESTE,off_wind,2025,108.3466667
NORDESTE,off_wind,2026,102.7653333
