REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
NORDESTE,biomass,BIO,1,2024,2.857142857
NORDESTE,biomass,BIO,1,2025,2.857142857
NORDESTE,biomass,BIO,1,2026,2.857142857
NORDESTE,biomass,BIO,1,2027,2.857142857
NORDESTE,biomass,BIO,1,2028,2.857142857
NORDESTE,biomass,BIO,1,2029,2.857142857
NORDESTE,biomass,BIO,1,2030,2.857142857
NORDESTE,coal,COA,1,2024,2.325581395
NORDESTE,coal,COA,1,2025,2.325581395
NORDESTE,coal,COA,1,2026,2.325581395
NORDESTE,coal,COA,1,2027,2.325581395
NORDESTE,coal,COA,1,2028,2.325581395
NORDESTE,coal,COA,1,2029,2.325581395
NORDESTE,coal,COA,1,2030,2.325581395
NORDESTE,oil,LFO,1,2024,2.857142857
NORDESTE,oil,LFO,1,2025,2.857142857
NORDESTE,oil,LFO,1,2026,2.857142857
NORDESTE,oil,LFO,1,2027,2.857142857
NORDESTE,oil,LFO,1,2028,2.857142857
NORDESTE,oil,LFO,1,2029,2.857142857
NORDESTE,oil,LFO,1,2030,2.857142857
NORDESTE,gas,NGS,1,2024,1.754385965
NORDESTE,gas,NGS,1,2025,1.754385965
NORDESTE,gas,NGS,1,2026,1.754385965
NORDESTE,gas,NGS,1,2027,1.754385965
NORDESTE,gas,NGS,1,2028,1.754385965
NORDESTE,gas,NGS,1,2029,1.754385965
NORDESTE,gas,NGS,1,2030,1.754385965
NORDESTE,solar_pv,SOL,1,2024,1.0
NORDESTE,solar_pv,SOL,1,2025,1.0
NORDESTE,solar_pv,SOL,1,2026,1.0
NORDESTE,solar_pv,SOL,1,2027,1.0
NORDESTE,solar_pv,SOL,1,2028,1.0
NORDESTE,solar_pv,SOL,1,2029,1.0
NORDESTE,solar_pv,SOL,1,2030,1.0
NORDESTE,hydro,HYD,1,2024,1.0
NORDESTE,hydro,HYD,1,2025,1.0
NORDESTE,hydro,HYD,1,2026,1.0
NORDESTE,hydro,HYD,1,2027,1.0
NORDESTE,hydro,HYD,1,2028,1.0
NORDESTE,hydro,HYD,1,2029,1.0
NORDESTE,hydro,HYD,1,2030,1.0
NORDESTE,mini_hydro,HYD,1,2024,1.0
NORDESTE,mini_hydro,HYD,1,2025,1.0
NORDESTE,mini_hydro,HYD,1,2026,1.0
NORDESTE,mini_hydro,HYD,1,2027,1.0
NORDESTE,mini_hydro,HYD,1,2028,1.0
NORDESTE,mini_hydro,HYD,1,2029,1.0
NORDESTE,mini_hydro,HYD,1,2030,1.0
NORDESTE,on_wind,WND,1,2024,1.0
NORDESTE,on_wind,WND,1,2025,1.0
NORDESTE,on_wind,WND,1,2026,1.0
NORDESTE,on_wind,WND,1,2027,1.0
NORDESTE,on_wind,WND,1,2028,1.0
NORDESTE,on_wind,WND,1,2029,1.0
NORDESTE,on_wind,WND,1,2030,1.0
NORDESTE,off_wind,WND,1,2024,1.0
NORDESTE,off_wind,WND,1,2025,1.0
NORDESTE,off_wind,WND,1,2026,1.0
NORDESTE,off_wind,WND,1,2027,1.0
NORDESTE,off_wind,WND,1,2028,1.0
NORDESTE,off_wind,WND,1,2029,1.0
NORDESTE,off_wind,WND,1,2030,1.0
NORDESTE,nuclear,URN,1,2024,2.857142857
NORDESTE,nuclear,URN,1,2025,2.857142857
NORDESTE,nuclear,URN,1,2026,2.857142857
NORDESTE,nuclear,URN,1,2027,2.857142857
NORDESTE,nuclear,URN,1,2028,2.857142857
NORDESTE,nuclear,URN,1,2029,2.857142857
NORDESTE,nuclear,URN,1,2030,2.857142857
NORDESTE,small_hydro,HYD,1,2024,1.0
NORDESTE,small_hydro,HYD,1,2025,1.0
NORDESTE,small_hydro,HYD,1,2026,1.0
NORDESTE,small_hydro,HYD,1,2027,1.0
NORDESTE,small_hydro,HYD,1,2028,1.0
NORDESTE,small_hydro,HYD,1,2029,1.0
NORDESTE,small_hydro,HYD,1,2030,1.0
SUL,biomass,BIO,1,2024,2.857142857
SUL,biomass,BIO,1,2025,2.857142857
SUL,biomass,BIO,1,2026,2.857142857
SUL,biomass,BIO,1,2027,2.857142857
SUL,biomass,BIO,1,2028,2.857142857
SUL,biomass,BIO,1,2029,2.857142857
SUL,biomass,BIO,1,2030,2.857142857
SUL,coal,COA,1,2024,2.325581395
SUL,coal,COA,1,2025,2.325581395
SUL,coal,COA,1,2026,2.325581395
SUL,coal,COA,1,2027,2.325581395
SUL,coal,COA,1,2028,2.325581395
SUL,coal,COA,1,2029,2.325581395
SUL,coal,COA,1,2030,2.325581395
SUL,oil,LFO,1,2024,2.857142857
SUL,oil,LFO,1,2025,2.857142857
SUL,oil,LFO,1,2026,2.857142857
SUL,oil,LFO,1,2027,2.857142857
SUL,oil,LFO,1,2028,2.857142857
SUL,oil,LFO,1,2029,2.857142857
SUL,oil,LFO,1,2030,2.857142857
SUL,gas,NGS,1,2024,1.754385965
SUL,gas,NGS,1,2025,1.754385965
SUL,gas,NGS,1,2026,1.754385965
SUL,gas,NGS,1,2027,1.754385965
SUL,gas,NGS,1,2028,1.754385965
SUL,gas,NGS,1,2029,1.754385965
SUL,gas,NGS,1,2030,1.754385965
SUL,solar_pv,SOL,1,2024,1.0
SUL,solar_pv,SOL,1,2025,1.0
SUL,solar_pv,SOL,1,2026,1.0
SUL,solar_pv,SOL,1,2027,1.0
SUL,solar_pv,SOL,1,2028,1.0
SUL,solar_pv,SOL,1,2029,1.0
SUL,solar_pv,SOL,1,2030,1.0
SUL,hydro,HYD,1,2024,1.0
SUL,hydro,HYD,1,2025,1.0
SUL,hydro,HYD,1,2026,1.0
SUL,hydro,HYD,1,2027,1.0
SUL,hydro,HYD,1,2028,1.0
SUL,hydro,HYD,1,2029,1.0
SUL,hydro,HYD,1,2030,1.0
SUL,mini_hydro,HYD,1,2024,1.0
SUL,mini_hydro,HYD,1,2025,1.0
SUL,mini_hydro,HYD,1,2026,1.0
SUL,mini_hydro,HYD,1,2027,1.0
SUL,mini_hydro,HYD,1,2028,1.0
SUL,mini_hydro,HYD,1,2029,1.0
SUL,mini_hydro,HYD,1,2030,1.0
SUL,on_wind,WND,1,2024,1.0
SUL,on_wind,WND,1,2025,1.0
SUL,on_wind,WND,1,2026,1.0
SUL,on_wind,WND,1,2027,1.0
SUL,on_wind,WND,1,2028,1.0
SUL,on_wind,WND,1,2029,1.0
SUL,on_wind,WND,1,2030,1.0
SUL,off_wind,WND,1,2024,1.0
SUL,off_wind,WND,1,2025,1.0
SUL,off_wind,WND,1,2026,1.0
SUL,off_wind,WND,1,2027,1.0
SUL,off_wind,WND,1,2028,1.0
SUL,off_wind,WND,1,2029,1.0
SUL,off_wind,WND,1,2030,1.0
SUL,nuclear,URN,1,2024,2.857142857
SUL,nuclear,URN,1,2025,2.857142857
SUL,nuclear,URN,1,2026,2.857142857
SUL,nuclear,URN,1,2027,2.857142857
SUL,nuclear,URN,1,2028,2.857142857
SUL,nuclear,URN,1,2029,2.857142857
SUL,nuclear,URN,1,2030,2.857142857
SUL,small_hydro,HYD,1,2024,1.0
SUL,small_hydro,HYD,1,2025,1.0
SUL,small_hydro,HYD,1,2026,1.0
SUL,small_hydro,HYD,1,2027,1.0
SUL,small_hydro,HYD,1,2028,1.0
SUL,small_hydro,HYD,1,2029,1.0
SUL,small_hydro,HYD,1,2030,1.0
NORTE,biomass,BIO,1,2024,2.857142857
NORTE,biomass,BIO,1,2025,2.857142857
NORTE,biomass,BIO,1,2026,2.857142857
NORTE,biomass,BIO,1,2027,2.857142857
NORTE,biomass,BIO,1,2028,2.857142857
NORTE,biomass,BIO,1,2029,2.857142857
NORTE,biomass,BIO,1,2030,2.857142857
NORTE,coal,COA,1,2024,2.325581395
NORTE,coal,COA,1,2025,2.325581395
NORTE,coal,COA,1,2026,2.325581395
NORTE,coal,COA,1,2027,2.325581395
NORTE,coal,COA,1,2028,2.325581395
NORTE,coal,COA,1,2029,2.325581395
NORTE,coal,COA,1,2030,2.325581395
NORTE,oil,LFO,1,2024,2.857142857
NORTE,oil,LFO,1,2025,2.857142857
NORTE,oil,LFO,1,2026,2.857142857
NORTE,oil,LFO,1,2027,2.857142857
NORTE,oil,LFO,1,2028,2.857142857
NORTE,oil,LFO,1,2029,2.857142857
NORTE,oil,LFO,1,2030,2.857142857
NORTE,gas,NGS,1,2024,1.754385965
NORTE,gas,NGS,1,2025,1.754385965
NORTE,gas,NGS,1,2026,1.754385965
NORTE,gas,NGS,1,2027,1.754385965
NORTE,gas,NGS,1,2028,1.754385965
NORTE,gas,NGS,1,2029,1.754385965
NORTE,gas,NGS,1,2030,1.754385965
NORTE,solar_pv,SOL,1,2024,1.0
NORTE,solar_pv,SOL,1,2025,1.0
NORTE,solar_pv,SOL,1,2026,1.0
NORTE,solar_pv,SOL,1,2027,1.0
NORTE,solar_pv,SOL,1,2028,1.0
NORTE,solar_pv,SOL,1,2029,1.0
NORTE,solar_pv,SOL,1,2030,1.0
NORTE,hydro,HYD,1,2024,1.0
NORTE,hydro,HYD,1,2025,1.0
NORTE,hydro,HYD,1,2026,1.0
NORTE,hydro,HYD,1,2027,1.0
NORTE,hydro,HYD,1,2028,1.0
NORTE,hydro,HYD,1,2029,1.0
NORTE,hydro,HYD,1,2030,1.0
NORTE,mini_hydro,HYD,1,2024,1.0
NORTE,mini_hydro,HYD,1,2025,1.0
NORTE,mini_hydro,HYD,1,2026,1.0
NORTE,mini_hydro,HYD,1,2027,1.0
NORTE,mini_hydro,HYD,1,2028,1.0
NORTE,mini_hydro,HYD,1,2029,1.0
NORTE,mini_hydro,HYD,1,2030,1.0
NORTE,on_wind,WND,1,2024,1.0
NORTE,on_wind,WND,1,2025,1.0
NORTE,on_wind,WND,1,2026,1.0
NORTE,on_wind,WND,1,2027,1.0
NORTE,on_wind,WND,1,2028,1.0
NORTE,on_wind,WND,1,2029,1.0
NORTE,on_wind,WND,1,2030,1.0
NORTE,off_wind,WND,1,2024,1.0
NORTE,off_wind,WND,1,2025,1.0
NORTE,off_wind,WND,1,2026,1.0
NORTE,off_wind,WND,1,2027,1.0
NORTE,off_wind,WND,1,2028,1.0
NORTE,off_wind,WND,1,2029,1.0
NORTE,off_wind,WND,1,2030,1.0
NORTE,nuclear,URN,1,2024,2.857142857
NORTE,nuclear,URN,1,2025,2.857142857
NORTE,nuclear,URN,1,2026,2.857142857
NORTE,nuclear,URN,1,2027,2.857142857
NORTE,nuclear,URN,1,2028,2.857142857
NORTE,nuclear,URN,1,2029,2.857142857
NORTE,nuclear,URN,1,2030,2.857142857
NORTE,small_hydro,HYD,1,2024,1.0
NORTE,small_hydro,HYD,1,2025,1.0
NORTE,small_hydro,HYD,1,2026,1.0
NORTE,small_hydro,HYD,1,2027,1.0
NORTE,small_hydro,HYD,1,2028,1.0
NORTE,small_hydro,HYD,1,2029,1.0
NORTE,small_hydro,HYD,1,2030,1.0
SUDESTE,biomass,BIO,1,2024,2.857142857
SUDESTE,biomass,BIO,1,2025,2.857142857
SUDESTE,biomass,BIO,1,2026,2.857142857
SUDESTE,biomass,BIO,1,2027,2.857142857
SUDESTE,biomass,BIO,1,2028,2.857142857
SUDESTE,biomass,BIO,1,2029,2.857142857
SUDESTE,biomass,BIO,1,2030,2.857142857
SUDESTE,coal,COA,1,2024,2.325581395
SUDESTE,coal,COA,1,2025,2.325581395
SUDESTE,coal,COA,1,2026,2.325581395
SUDESTE,coal,COA,1,2027,2.325581395
SUDESTE,coal,COA,1,2028,2.325581395
SUDESTE,coal,COA,1,2029,2.325581395
SUDESTE,coal,COA,1,2030,2.325581395
SUDESTE,oil,LFO,1,2024,2.857142857
SUDESTE,oil,LFO,1,2025,2.857142857
SUDESTE,oil,LFO,1,2026,2.857142857
SUDESTE,oil,LFO,1,2027,2.857142857
SUDESTE,oil,LFO,1,2028,2.857142857
SUDESTE,oil,LFO,1,2029,2.857142857
SUDESTE,oil,LFO,1,2030,2.857142857
SUDESTE,gas,NGS,1,2024,1.754385965
SUDESTE,gas,NGS,1,2025,1.754385965
SUDESTE,gas,NGS,1,2026,1.754385965
SUDESTE,gas,NGS,1,2027,1.754385965
SUDESTE,gas,NGS,1,2028,1.754385965
SUDESTE,gas,NGS,1,2029,1.754385965
SUDESTE,gas,NGS,1,2030,1.754385965
SUDESTE,solar_pv,SOL,1,2024,1.0
SUDESTE,solar_pv,SOL,1,2025,1.0
SUDESTE,solar_pv,SOL,1,2026,1.0
SUDESTE,solar_pv,SOL,1,2027,1.0
SUDESTE,solar_pv,SOL,1,2028,1.0
SUDESTE,solar_pv,SOL,1,2029,1.0
SUDESTE,solar_pv,SOL,1,2030,1.0
SUDESTE,hydro,HYD,1,2024,1.0
SUDESTE,hydro,HYD,1,2025,1.0
SUDESTE,hydro,HYD,1,2026,1.0
SUDESTE,hydro,HYD,1,2027,1.0
SUDESTE,hydro,HYD,1,2028,1.0
SUDESTE,hydro,HYD,1,2029,1.0
SUDESTE,hydro,HYD,1,2030,1.0
SUDESTE,mini_hydro,HYD,1,2024,1.0
SUDESTE,mini_hydro,HYD,1,2025,1.0
SUDESTE,mini_hydro,HYD,1,2026,1.0
SUDESTE,mini_hydro,HYD,1,2027,1.0
SUDESTE,mini_hydro,HYD,1,2028,1.0
SUDESTE,mini_hydro,HYD,1,2029,1.0
SUDESTE,mini_hydro,HYD,1,2030,1.0
SUDESTE,on_wind,WND,1,2024,1.0
SUDESTE,on_wind,WND,1,2025,1.0
SUDESTE,on_wind,WND,1,2026,1.0
SUDESTE,on_wind,WND,1,2027,1.0
SUDESTE,on_wind,WND,1,2028,1.0
SUDESTE,on_wind,WND,1,2029,1.0
SUDESTE,on_wind,WND,1,2030,1.0
SUDESTE,off_wind,WND,1,2024,1.0
SUDESTE,off_wind,WND,1,2025,1.0
SUDESTE,off_wind,WND,1,2026,1.0
SUDESTE,off_wind,WND,1,2027,1.0
SUDESTE,off_wind,WND,1,2028,1.0
SUDESTE,off_wind,WND,1,2029,1.0
SUDESTE,off_wind,WND,1,2030,1.0
SUDESTE,nuclear,URN,1,2024,2.857142857
SUDESTE,nuclear,URN,1,2025,2.857142857
SUDESTE,nuclear,URN,1,2026,2.857142857
SUDESTE,nuclear,URN,1,2027,2.857142857
SUDESTE,nuclear,URN,1,2028,2.857142857
SUDESTE,nuclear,URN,1,2029,2.857142857
SUDESTE,nuclear,URN,1,2030,2.857142857
SUDESTE,small_hydro,HYD,1,2024,1.0
SUDESTE,small_hydro,HYD,1,2025,1.0
SUDESTE,small_hydro,HYD,1,2026,1.0
SUDESTE,small_hydro,HYD,1,2027,1.0
SUDESTE,small_hydro,HYD,1,2028,1.0
SUDESTE,small_hydro,HYD,1,2029,1.0
SUDESTE,small_hydro,HYD,1,2030,1.0
