REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
NORDESTE,IMPOIL,OIL,1,2024,1.0
NORDESTE,IMPOIL,OIL,1,2025,1.0
NORDESTE,IMPOIL,OIL,1,2026,1.0
NORDESTE,IMPOIL,OIL,1,2027,1.0
NORDESTE,IMPOIL,OIL,1,2028,1.0
NORDESTE,IMPOIL,OIL,1,2029,1.0
NORDESTE,IMPOIL,OIL,1,2030,1.0
NORDESTE,MINOIL,OIL,1,2024,1.0
NORDESTE,MINOIL,OIL,1,2025,1.0
NORDESTE,MINOIL,OIL,1,2026,1.0
NORDESTE,MINOIL,OIL,1,2027,1.0
NORDESTE,MINOIL,OIL,1,2028,1.0
NORDESTE,MINOIL,OIL,1,2029,1.0
NORDESTE,MINOIL,OIL,1,2030,1.0
NORDESTE,IMPBIO,BIO,1,2024,1.0
NORDESTE,IMPBIO,BIO,1,2025,1.0
NORDESTE,IMPBIO,BIO,1,2026,1.0
NORDESTE,IMPBIO,BIO,1,2027,1.0
NORDESTE,IMPBIO,BIO,1,2028,1.0
NORDESTE,IMPBIO,BIO,1,2029,1.0
NORDESTE,IMPBIO,BIO,1,2030,1.0
NORDESTE,MINBIO,BIO,1,2024,1.0
NORDESTE,MINBIO,BIO,1,2025,1.0
NORDESTE,MINBIO,BIO,1,2026,1.0
NORDESTE,MINBIO,BIO,1,2027,1.0
NORDESTE,MINBIO,BIO,1,2028,1.0
NORDESTE,MINBIO,BIO,1,2029,1.0
NORDESTE,MINBIO,BIO,1,2030,1.0
NORDESTE,IMPCOA,COA,1,2024,1.0
NORDESTE,IMPCOA,COA,1,2025,1.0
NORDESTE,IMPCOA,COA,1,2026,1.0
NORDESTE,IMPCOA,COA,1,2027,1.0
NORDESTE,IMPCOA,COA,1,2028,1.0
NORDESTE,IMPCOA,COA,1,2029,1.0
NORDESTE,IMPCOA,COA,1,2030,1.0
NORDESTE,MINCOA,COA,1,2024,1.0
NORDESTE,MINCOA,COA,1,2025,1.0
NORDESTE,MINCOA,COA,1,2026,1.0
NORDESTE,MINCOA,COA,1,2027,1.0
NORDESTE,MINCOA,COA,1,2028,1.0
NORDESTE,MINCOA,COA,1,2029,1.0
NORDESTE,MINCOA,COA,1,2030,1.0
NORDESTE,IMPLFO,LFO,1,2024,1.0
NORDESTE,IMPLFO,LFO,1,2025,1.0
NORDESTE,IMPLFO,LFO,1,2026,1.0
NORDESTE,IMPLFO,LFO,1,2027,1.0
NORDESTE,IMPLFO,LFO,1,2028,1.0
NORDESTE,IMPLFO,LFO,1,2029,1.0
NORDESTE,IMPLFO,LFO,1,2030,1.0
NORDESTE,IMPHFO,HFO,1,2024,1.0
NORDESTE,IMPHFO,HFO,1,2025,1.0
NORDESTE,IMPHFO,HFO,1,2026,1.0
NORDESTE,IMPHFO,HFO,1,2027,1.0
NORDESTE,IMPHFO,HFO,1,2028,1.0
NORDESTE,IMPHFO,HFO,1,2029,1.0
NORDESTE,IMPHFO,HFO,1,2030,1.0
NORDESTE,UPSREF001,LFO,1,2024,0.9
NORDESTE,UPSREF001,LFO,1,2025,0.9
NORDESTE,UPSREF001,LFO,1,2026,0.9
NORDESTE,UPSREF001,LFO,1,2027,0.9
NORDESTE,UPSREF001,LFO,1,2028,0.9
NORDESTE,UPSREF001,LFO,1,2029,0.9
NORDESTE,UPSREF001,LFO,1,2030,0.9
NORDESTE,UPSREF001,HFO,1,2024,0.1
NORDESTE,UPSREF001,HFO,1,2025,0.1
NORDESTE,UPSREF001,HFO,1,2026,0.1
NORDESTE,UPSREF001,HFO,1,2027,0.1
NORDESTE,UPSREF001,HFO,1,2028,0.1
NORDESTE,UPSREF001,HFO,1,2029,0.1
NORDESTE,UPSREF001,HFO,1,2030,0.1
NORDESTE,UPSREF002,LFO,1,2024,0.8
NORDESTE,UPSREF002,LFO,1,2025,0.8
NORDESTE,UPSREF002,LFO,1,2026,0.8
NORDESTE,UPSREF002,LFO,1,2027,0.8
NORDESTE,UPSREF002,LFO,1,2028,0.8
NORDESTE,UPSREF002,LFO,1,2029,0.8
NORDESTE,UPSREF002,LFO,1,2030,0.8
NORDESTE,UPSREF002,HFO,1,2024,0.2
NORDESTE,UPSREF002,HFO,1,2025,0.2
NORDESTE,UPSREF002,HFO,1,2026,0.2
NORDESTE,UPSREF002,HFO,1,2027,0.2
NORDESTE,UPSREF002,HFO,1,2028,0.2
NORDESTE,UPSREF002,HFO,1,2029,0.2
NORDESTE,UPSREF002,HFO,1,2030,0.2
NORDESTE,IMPNGS,NGS,1,2024,1.0
NORDESTE,IMPNGS,NGS,1,2025,1.0
NORDESTE,IMPNGS,NGS,1,2026,1.0
NORDESTE,IMPNGS,NGS,1,2027,1.0
NORDESTE,IMPNGS,NGS,1,2028,1.0
NORDESTE,IMPNGS,NGS,1,2029,1.0
NORDESTE,IMPNGS,NGS,1,2030,1.0
NORDESTE,MINNGS,NGS,1,2024,1.0
NORDESTE,MINNGS,NGS,1,2025,1.0
NORDESTE,MINNGS,NGS,1,2026,1.0
NORDESTE,MINNGS,NGS,1,2027,1.0
NORDESTE,MINNGS,NGS,1,2028,1.0
NORDESTE,MINNGS,NGS,1,2029,1.0
NORDESTE,MINNGS,NGS,1,2030,1.0
NORDESTE,MINSOL,SOL,1,2024,1.0
NORDESTE,MINSOL,SOL,1,2025,1.0
NORDESTE,MINSOL,SOL,1,2026,1.0
NORDESTE,MINSOL,SOL,1,2027,1.0
NORDESTE,MINSOL,SOL,1,2028,1.0
NORDESTE,MINSOL,SOL,1,2029,1.0
NORDESTE,MINSOL,SOL,1,2030,1.0
NORDESTE,MINWND,WND,1,2024,1.0
NORDESTE,MINWND,WND,1,2025,1.0
NORDESTE,MINWND,WND,1,2026,1.0
NORDESTE,MINWND,WND,1,2027,1.0
NORDESTE,MINWND,WND,1,2028,1.0
NORDESTE,MINWND,WND,1,2029,1.0
NORDESTE,MINWND,WND,1,2030,1.0
NORDESTE,IMPURN,URN,1,2024,1.0
NORDESTE,IMPURN,URN,1,2025,1.0
NORDESTE,IMPURN,URN,1,2026,1.0
NORDESTE,IMPURN,URN,1,2027,1.0
NORDESTE,IMPURN,URN,1,2028,1.0
NORDESTE,IMPURN,URN,1,2029,1.0
NORDESTE,IMPURN,URN,1,2030,1.0
NORDESTE,MINURN,URN,1,2024,1.0
NORDESTE,MINURN,URN,1,2025,1.0
NORDESTE,MINURN,URN,1,2026,1.0
NORDESTE,MINURN,URN,1,2027,1.0
NORDESTE,MINURN,URN,1,2028,1.0
NORDESTE,MINURN,URN,1,2029,1.0
NORDESTE,MINURN,URN,1,2030,1.0
NORDESTE,MINGEO,GEO,1,2024,1.0
NORDESTE,MINGEO,GEO,1,2025,1.0
NORDESTE,MINGEO,GEO,1,2026,1.0
NORDESTE,MINGEO,GEO,1,2027,1.0
NORDESTE,MINGEO,GEO,1,2028,1.0
NORDESTE,MINGEO,GEO,1,2029,1.0
NORDESTE,MINGEO,GEO,1,2030,1.0
NORDESTE,MINHYD,HYD,1,2024,1.0
NORDESTE,MINHYD,HYD,1,2025,1.0
NORDESTE,MINHYD,HYD,1,2026,1.0
NORDESTE,MINHYD,HYD,1,2027,1.0
NORDESTE,MINHYD,HYD,1,2028,1.0
NORDESTE,MINHYD,HYD,1,2029,1.0
NORDESTE,MINHYD,HYD,1,2030,1.0
SUL,IMPOIL,OIL,1,2024,1.0
SUL,IMPOIL,OIL,1,2025,1.0
SUL,IMPOIL,OIL,1,2026,1.0
SUL,IMPOIL,OIL,1,2027,1.0
SUL,IMPOIL,OIL,1,2028,1.0
SUL,IMPOIL,OIL,1,2029,1.0
SUL,IMPOIL,OIL,1,2030,1.0
SUL,MINOIL,OIL,1,2024,1.0
SUL,MINOIL,OIL,1,2025,1.0
SUL,MINOIL,OIL,1,2026,1.0
SUL,MINOIL,OIL,1,2027,1.0
SUL,MINOIL,OIL,1,2028,1.0
SUL,MINOIL,OIL,1,2029,1.0
SUL,MINOIL,OIL,1,2030,1.0
SUL,IMPBIO,BIO,1,2024,1.0
SUL,IMPBIO,BIO,1,2025,1.0
SUL,IMPBIO,BIO,1,2026,1.0
