REGION,TECHNOLOGY,YEAR,VALUE
NORDESTE,biomass,2024,1464.241
NORDESTE,biomass,2025,1464.241
NORDESTE,biomass,2026,1464.241
NORDESTE,biomass,2027,1464.241
NORDESTE,biomass,2028,1464.241
NORDESTE,biomass,2029,1464.241
NORDESTE,biomass,2030,1464.241
NORDESTE,coal,2024,1303.274
NORDESTE,coal,2025,1303.274
NORDESTE,coal,2026,1303.274
NORDESTE,coal,2027,1303.274
NORDESTE,coal,2028,1303.274
NORDESTE,coal,2029,1303.274
NORDESTE,coal,2030,1303.274
NORDESTE,gas,2024,3252.92065
NORDESTE,gas,2025,3252.92065
NORDESTE,gas,2026,3252.92065
NORDESTE,gas,2027,3252.92065
NORDESTE,gas,2028,3252.92065
NORDESTE,gas,2029,3252.92065
NORDESTE,gas,2030,3252.92065
NORDESTE,hydro,2024,10951.469000000001
NORDESTE,hydro,2025,10951.469000000001
NORDESTE,hydro,2026,10951.469000000001
NORDESTE,hydro,2027,10951.469000000001
NORDESTE,hydro,2028,10951.469000000001
NORDESTE,hydro,2029,10951.469000000001
NORDESTE,hydro,2030,10951.469000000001
NORDESTE,mini_hydro,2024,25.951739999999997
NORDESTE,mini_hydro,2025,25.951739999999997
NORDESTE,mini_hydro,2026,25.951739999999997
NORDESTE,mini_hydro,2027,25.951739999999997
NORDESTE,mini_hydro,2028,25.951739999999997
NORDESTE,mini_hydro,2029,25.951739999999997
NORDESTE,mini_hydro,2030,25.951739999999997
NORDESTE,nuclear,2024,0.0
NORDESTE,nuclear,2025,0.0
NORDESTE,nuclear,2026,0.0
NORDESTE,nuclear,2027,0.0
NORDESTE,nuclear,2028,0.0
NORDESTE,nuclear,2029,0.0
NORDESTE,nuclear,2030,0.0
NORDESTE,oil,2024,2237.6106
NORDESTE,oil,2025,2237.6106
NORDESTE,oil,2026,2237.6106
NORDESTE,oil,2027,2237.6106
NORDESTE,oil,2028,2237.6106
NORDESTE,oil,2029,2237.6106
NORDESTE,oil,2030,2237.6106
NORDESTE,on_wind,2024,27656.801639999998
NORDESTE,on_wind,2025,27656.801639999998
NORDESTE,on_wind,2026,27656.801639999998
NORDESTE,on_wind,2027,27656.801639999998
NORDESTE,on_wind,2028,27656.801639999998
NORDESTE,on_wind,2029,27656.801639999998
NORDESTE,on_wind,2030,27656.801639999998
NORDESTE,small_hydro,2024,111.445
NORDESTE,small_hydro,2025,111.445
NORDESTE,small_hydro,2026,111.445
NORDESTE,small_hydro,2027,111.445
NORDESTE,small_hydro,2028,111.445
NORDESTE,small_hydro,2029,111.445
NORDESTE,small_hydro,2030,111.445
NORDESTE,solar_pv,2024,7483.96078
NORDESTE,solar_pv,2025,7483.96078
NORDESTE,solar_pv,2026,7483.96078
NORDESTE,solar_pv,2027,7483.96078
NORDESTE,solar_pv,2028,7483.96078
NORDESTE,solar_pv,2029,7483.96078
NORDESTE,solar_pv,2030,7483.96078
NORTE,biomass,2024,583.5594
NORTE,biomass,2025,583.5594
NORTE,biomass,2026,583.5594
NORTE,biomass,2027,583.5594
NORTE,biomass,2028,583.5594
NORTE,biomass,2029,583.5594
NORTE,biomass,2030,583.5594
NORTE,coal,2024,539.191
NORTE,coal,2025,539.191
NORTE,coal,2026,539.191
NORTE,coal,2027,539.191
NORTE,coal,2028,539.191
NORTE,coal,2029,539.191
NORTE,coal,2030,539.191
NORTE,gas,2024,2421.217
NORTE,gas,2025,2421.217
NORTE,gas,2026,2421.217
NORTE,gas,2027,2421.217
NORTE,gas,2028,2421.217
NORTE,gas,2029,2421.217
NORTE,gas,2030,2421.217
NORTE,hydro,2024,23769.01
NORTE,hydro,2025,23769.01
NORTE,hydro,2026,23769.01
NORTE,hydro,2027,23769.01
NORTE,hydro,2028,23769.01
NORTE,hydro,2029,23769.01
NORTE,hydro,2030,23769.01
NORTE,mini_hydro,2024,22.541
NORTE,mini_hydro,2025,22.541
NORTE,mini_hydro,2026,22.541
NORTE,mini_hydro,2027,22.541
NORTE,mini_hydro,2028,22.541
NORTE,mini_hydro,2029,22.541
NORTE,mini_hydro,2030,22.541
NORTE,nuclear,2024,0.0
NORTE,nuclear,2025,0.0
NORTE,nuclear,2026,0.0
NORTE,nuclear,2027,0.0
NORTE,nuclear,2028,0.0
NORTE,nuclear,2029,0.0
NORTE,nuclear,2030,0.0
NORTE,oil,2024,1736.33675
NORTE,oil,2025,1736.33675
NORTE,oil,2026,1736.33675
NORTE,oil,2027,1736.33675
NORTE,oil,2028,1736.33675
NORTE,oil,2029,1736.33675
NORTE,oil,2030,1736.33675
NORTE,on_wind,2024,426.0225
NORTE,on_wind,2025,426.0225
NORTE,on_wind,2026,426.0225
NORTE,on_wind,2027,426.0225
NORTE,on_wind,2028,426.0225
NORTE,on_wind,2029,426.0225
NORTE,on_wind,2030,426.0225
NORTE,small_hydro,2024,248.764
NORTE,small_hydro,2025,248.764
NORTE,small_hydro,2026,248.764
NORTE,small_hydro,2027,248.764
NORTE,small_hydro,2028,248.764
NORTE,small_hydro,2029,248.764
NORTE,small_hydro,2030,248.764
NORTE,solar_pv,2024,33.06549
NORTE,solar_pv,2025,33.06549
NORTE,solar_pv,2026,33.06549
NORTE,solar_pv,2027,33.06549
NORTE,solar_pv,2028,33.06549
NORTE,solar_pv,2029,33.06549
NORTE,solar_pv,2030,33.06549
SUDESTE,biomass,2024,13389.618050000001
SUDESTE,biomass,2025,13389.618050000001
SUDESTE,biomass,2026,13389.618050000001
SUDESTE,biomass,2027,13389.618050000001
SUDESTE,biomass,2028,13389.618050000001
SUDESTE,biomass,2029,13389.618050000001
SUDESTE,biomass,2030,13389.618050000001
SUDESTE,coal,2024,158.465
SUDESTE,coal,2025,158.465
SUDESTE,coal,2026,158.465
SUDESTE,coal,2027,158.465
SUDESTE,coal,2028,158.465
SUDESTE,coal,2029,158.465
SUDESTE,coal,2030,158.465
SUDESTE,gas,2024,11131.49654
SUDESTE,gas,2025,11131.49654
SUDESTE,gas,2026,11131.49654
SUDESTE,gas,2027,11131.49654
SUDESTE,gas,2028,11131.49654
SUDESTE,gas,2029,11131.49654
SUDESTE,gas,2030,11131.49654
SUDESTE,hydro,2024,44950.861
SUDESTE,hydro,2025,44950.861
SUDESTE,hydro,2026,44950.861
SUDESTE,hydro,2027,44950.861
SUDESTE,hydro,2028,44950.861
SUDESTE,hydro,2029,44950.861
SUDESTE,hydro,2030,44950.861
SUDESTE,mini_hydro,2024,388.17325999999997
SUDESTE,mini_hydro,2025,388.17325999999997
SUDESTE,mini_hydro,2026,388.17325999999997
SUDESTE,mini_hydro,2027,388.17325999999997
SUDESTE,mini_hydro,2028,388.17325999999997
SUDESTE,mini_hydro,2029,388.17325999999997
SUDESTE,mini_hydro,2030,388.17325999999997
SUDESTE,nuclear,2024,1990.0
SUDESTE,nuclear,2025,1990.0
SUDESTE,nuclear,2026,1990.0
SUDESTE,nuclear,2027,1990.0
SUDESTE,nuclear,2028,1990.0
SUDESTE,nuclear,2029,1990.0
SUDESTE,nuclear,2030,1990.0
SUDESTE,oil,2024,3822.86161
SUDESTE,oil,2025,3822.86161
SUDESTE,oil,2026,3822.86161
SUDESTE,oil,2027,3822.86161
SUDESTE,oil,2028,3822.86161
SUDESTE,oil,2029,3822.86161
SUDESTE,oil,2030,3822.86161
SUDESTE,on_wind,2024,28.20824
SUDESTE,on_wind,2025,28.20824
SUDESTE,on_wind,2026,28.20824
SUDESTE,on_wind,2027,28.20824
SUDESTE,on_wind,2028,28.20824
SUDESTE,on_wind,2029,28.20824
SUDESTE,on_wind,2030,28.20824
SUDESTE,small_hydro,2024,3617.30617
SUDESTE,small_hydro,2025,3617.30617
SUDESTE,small_hydro,2026,3617.30617
SUDESTE,small_hydro,2027,3617.30617
SUDESTE,small_hydro,2028,3617.30617
SUDESTE,small_hydro,2029,3617.30617
SUDESTE,small_hydro,2030,3617.30617
SUDESTE,solar_pv,2024,5225.06562
SUDESTE,solar_pv,2025,5225.06562
SUDESTE,solar_pv,2026,5225.06562
SUDESTE,solar_pv,2027,5225.06562
SUDESTE,solar_pv,2028,5225.06562
SUDESTE,solar_pv,2029,5225.06562
SUDESTE,solar_pv,2030,5225.06562
SUL,biomass,2024,1952.5665999999999
SUL,biomass,2025,1952.5665999999999
SUL,biomass,2026,1952.5665999999999
SUL,biomass,2027,1952.5665999999999
SUL,biomass,2028,1952.5665999999999
SUL,biomass,2029,1952.5665999999999
SUL,biomass,2030,1952.5665999999999
SUL,coal,2024,1460.0
SUL,coal,2025,1460.0
SUL,coal,2026,1460.0
SUL,coal,2027,1460.0
SUL,coal,2028,1460.0
SUL,coal,2029,1460.0
SUL,coal,2030,1460.0
SUL,gas,2024,1758.8722
SUL,gas,2025,1758.8722
SUL,gas,2026,1758.8722
SUL,gas,2027,1758.8722
SUL,gas,2028,1758.8722
SUL,gas,2029,1758.8722
SUL,gas,2030,1758.8722
SUL,hydro,2024,23504.183
SUL,hydro,2025,23504.183
SUL,hydro,2026,23504.183
SUL,hydro,2027,23504.183
SUL,hydro,2028,23504.183
SUL,hydro,2029,23504.183
SUL,hydro,2030,23504.183
SUL,mini_hydro,2024,426.97331
SUL,mini_hydro,2025,426.97331
SUL,mini_hydro,2026,426.97331
SUL,mini_hydro,2027,426.97331
SUL,mini_hydro,2028,426.97331
SUL,mini_hydro,2029,426.97331
SUL,mini_hydro,2030,426.97331
SUL,nuclear,2024,0.0
SUL,nuclear,2025,0.0
SUL,nuclear,2026,0.0
SUL,nuclear,2027,0.0
SUL,nuclear,2028,0.0
SUL,nuclear,2029,0.0
SUL,nuclear,2030,0.0
SUL,oil,2024,425.67051
SUL,oil,2025,425.67051
SUL,oil,2026,425.67051
SUL,oil,2027,425.67051
SUL,oil,2028,425.67051
SUL,oil,2029,425.67051
SUL,oil,2030,425.67051
SUL,on_wind,2024,2088.99148
SUL,on_wind,2025,2088.99148
SUL,on_wind,2026,2088.99148
SUL,on_wind,2027,2088.99148
SUL,on_wind,2028,2088.99148
SUL,on_wind,2029,2088.99148
SUL,on_wind,2030,2088.99148
SUL,small_hydro,2024,1846.9974
SUL,small_hydro,2025,1846.9974
SUL,small_hydro,2026,1846.9974
SUL,small_hydro,2027,1846.9974
SUL,small_hydro,2028,1846.9974
SUL,small_hydro,2029,1846.9974
SUL,small_hydro,2030,1846.9974
SUL,solar_pv,2024,63.2701
SUL,solar_pv,2025,63.2701
SUL,solar_pv,2026,63.2701
SUL,solar_pv,2027,63.2701
SUL,solar_pv,2028,63.2701
SUL,solar_pv,2029,63.2701
SUL,solar_pv,2030,63.2701
