REGION,TECHNOLOGY,YEAR,VALUE
NORDESTE,export,2024,20.0
NORDESTE,export,2025,20.0
NORDESTE,export,2026,20.0
NORDESTE,export,2027,20.0
NORDESTE,export,2028,20.0
NORDESTE,export,2029,20.0
NORDESTE,export,2030,20.0
NORDESTE,import,2024,126.0
NORDESTE,import,2025,126.0
NORDESTE,import,2026,126.0
NORDESTE,import,2027,126.0
NORDESTE,import,2028,126.0
NORDESTE,import,2029,126.0
NORDESTE,import,2030,126.0
NORDESTE,nuclear,2024,60.0
NORDESTE,nuclear,2025,60.0
NORDESTE,nuclear,2026,60.0
NORDESTE,nuclear,2027,60.0
NORDESTE,nuclear,2028,60.0
NORDESTE,nuclear,2029,60.0
NORDESTE,nuclear,2030,60.0
NORDESTE,oil,2024,99999.0
NORDESTE,oil,2025,99999.0
NORDESTE,oil,2026,99999.0
NORDESTE,oil,2027,99999.0
NORDESTE,oil,2028,99999.0
NORDESTE,oil,2029,99999.0
NORDESTE,oil,2030,99999.0
NORDESTE,biomass,2024,99999.0
NORDESTE,biomass,2025,99999.0
NORDESTE,biomass,2026,99999.0
NORDESTE,biomass,2027,99999.0
NORDESTE,biomass,2028,99999.0
NORDESTE,biomass,2029,99999.0
NORDESTE,biomass,2030,99999.0
NORDESTE,gas,2024,99999.0
NORDESTE,gas,2025,99999.0
NORDESTE,gas,2026,99999.0
NORDESTE,gas,2027,99999.0
NORDESTE,gas,2028,99999.0
NORDESTE,gas,2029,99999.0
NORDESTE,gas,2030,99999.0
NORDESTE,coal,2024,99999.0
NORDESTE,coal,2025,99999.0
NORDESTE,coal,2026,99999.0
NORDESTE,coal,2027,99999.0
NORDESTE,coal,2028,99999.0
NORDESTE,coal,2029,99999.0
NORDESTE,coal,2030,99999.0
NORDESTE,solar_pv,2024,99999.0
NORDESTE,solar_pv,2025,99999.0
NORDESTE,solar_pv,2026,99999.0
NORDESTE,solar_pv,2027,99999.0
NORDESTE,solar_pv,2028,99999.0
NORDESTE,solar_pv,2029,99999.0
NORDESTE,solar_pv,2030,99999.0
NORDESTE,on_wind,2024,99999.0
NORDESTE,on_wind,2025,99999.0
NORDESTE,on_wind,2026,99999.0
NORDESTE,on_wind,2027,99999.0
NORDESTE,on_wind,2028,99999.0
NORDESTE,on_wind,2029,99999.0
NORDESTE,on_wind,2030,99999.0
NORDESTE,hydro,2024,99999.0
NORDESTE,hydro,2025,99999.0
NORDESTE,hydro,2026,99999.0
NORDESTE,hydro,2027,99999.0
NORDESTE,hydro,2028,99999.0
NORDESTE,hydro,2029,99999.0
NORDESTE,hydro,2030,99999.0
NORDESTE,small_hydro,2024,99999.0
NORDESTE,small_hydro,2025,99999.0
NORDESTE,small_hydro,2026,99999.0
NORDESTE,small_hydro,2027,99999.0
NORDESTE,small_hydro,2028,99999.0
NORDESTE,small_hydro,2029,99999.0
NORDESTE,small_hydro,2030,99999.0
NORDESTE,mini_hydro,2024,99999.0
NORDESTE,mini_hydro,2025,99999.0
NORDESTE,mini_hydro,2026,99999.0
NORDESTE,mini_hydro,2027,99999.0
NORDESTE,mini_hydro,2028,99999.0
NORDESTE,mini_hydro,2029,99999.0
NORDESTE,mini_hydro,2030,99999.0
SUL,export,2024,20.0
SUL,export,2025,20.0
SUL,export,2026,20.0
SUL,export,2027,20.0
SUL,export,2028,20.0
SUL,export,2029,20.0
SUL,export,2030,20.0
SUL,import,2024,126.0
SUL,import,2025,126.0
SUL,import,2026,126.0
SUL,import,2027,126.0
SUL,import,2028,126.0
SUL,import,2029,126.0
SUL,import,2030,126.0
SUL,nuclear,2024,60.0
SUL,nuclear,2025,60.0
SUL,nuclear,2026,60.0
SUL,nuclear,2027,60.0
SUL,nuclear,2028,60.0
SUL,nuclear,2029,60.0
SUL,nuclear,2030,60.0
SUL,oil,2024,99999.0
SUL,oil,2025,99999.0
SUL,oil,2026,99999.0
SUL,oil,2027,99999.0
SUL,oil,2028,99999.0
SUL,oil,2029,99999.0
SUL,oil,2030,99999.0
SUL,biomass,2024,99999.0
SUL,biomass,2025,99999.0
SUL,biomass,2026,99999.0
SUL,biomass,2027,99999.0
SUL,biomass,2028,99999.0
SUL,biomass,2029,99999.0
SUL,biomass,2030,99999.0
SUL,gas,2024,99999.0
SUL,gas,2025,99999.0
SUL,gas,2026,99999.0
SUL,gas,2027,99999.0
SUL,gas,2028,99999.0
SUL,gas,2029,99999.0
SUL,gas,2030,99999.0
SUL,coal,2024,99999.0
SUL,coal,2025,99999.0
SUL,coal,2026,99999.0
SUL,coal,2027,99999.0
SUL,coal,2028,99999.0
SUL,coal,2029,99999.0
SUL,coal,2030,99999.0
SUL,solar_pv,2024,99999.0
SUL,solar_pv,2025,99999.0
SUL,solar_pv,2026,99999.0
SUL,solar_pv,2027,99999.0
SUL,solar_pv,2028,99999.0
SUL,solar_pv,2029,99999.0
SUL,solar_pv,2030,99999.0
SUL,on_wind,2024,99999.0
SUL,on_wind,2025,99999.0
SUL,on_wind,2026,99999.0
SUL,on_wind,2027,99999.0
SUL,on_wind,2028,99999.0
SUL,on_wind,2029,99999.0
SUL,on_wind,2030,99999.0
SUL,hydro,2024,99999.0
SUL,hydro,2025,99999.0
SUL,hydro,2026,99999.0
SUL,hydro,2027,99999.0
SUL,hydro,2028,99999.0
SUL,hydro,2029,99999.0
SUL,hydro,2030,99999.0
SUL,small_hydro,2024,99999.0
SUL,small_hydro,2025,99999.0
SUL,small_hydro,2026,99999.0
SUL,small_hydro,2027,99999.0
SUL,small_hydro,2028,99999.0
SUL,small_hydro,2029,99999.0
SUL,small_hydro,2030,99999.0
SUL,mini_hydro,2024,99999.0
SUL,mini_hydro,2025,99999.0
SUL,mini_hydro,2026,99999.0
SUL,mini_hydro,2027,99999.0
SUL,mini_hydro,2028,99999.0
SUL,mini_hydro,2029,99999.0
SUL,mini_hydro,2030,99999.0
NORTE,export,2024,20.0
NORTE,export,2025,20.0
NORTE,export,2026,20.0
NORTE,export,2027,20.0
NORTE,export,2028,20.0
NORTE,export,2029,20.0
NORTE,export,2030,20.0
NORTE,import,2024,126.0
NORTE,import,2025,126.0
NORTE,import,2026,126.0
NORTE,import,2027,126.0
NORTE,import,2028,126.0
NORTE,import,2029,126.0
NORTE,import,2030,126.0
NORTE,nuclear,2024,60.0
NORTE,nuclear,2025,60.0
NORTE,nuclear,2026,60.0
NORTE,nuclear,2027,60.0
NORTE,nuclear,2028,60.0
NORTE,nuclear,2029,60.0
NORTE,nuclear,2030,60.0
NORTE,oil,2024,99999.0
NORTE,oil,2025,99999.0
NORTE,oil,2026,99999.0
NORTE,oil,2027,99999.0
NORTE,oil,2028,99999.0
NORTE,oil,2029,99999.0
NORTE,oil,2030,99999.0
NORTE,biomass,2024,99999.0
NORTE,biomass,2025,99999.0
NORTE,biomass,2026,99999.0
NORTE,biomass,2027,99999.0
NORTE,biomass,2028,99999.0
NORTE,biomass,2029,99999.0
NORTE,biomass,2030,99999.0
NORTE,gas,2024,99999.0
NORTE,gas,2025,99999.0
NORTE,gas,2026,99999.0
NORTE,gas,2027,99999.0
NORTE,gas,2028,99999.0
NORTE,gas,2029,99999.0
NORTE,gas,2030,99999.0
NORTE,coal,2024,99999.0
NORTE,coal,2025,99999.0
NORTE,coal,2026,99999.0
NORTE,coal,2027,99999.0
NORTE,coal,2028,99999.0
NORTE,coal,2029,99999.0
NORTE,coal,2030,99999.0
NORTE,solar_pv,2024,99999.0
NORTE,solar_pv,2025,99999.0
NORTE,solar_pv,2026,99999.0
NORTE,solar_pv,2027,99999.0
NORTE,solar_pv,2028,99999.0
NORTE,solar_pv,2029,99999.0
NORTE,solar_pv,2030,99999.0
NORTE,on_wind,2024,99999.0
NORTE,on_wind,2025,99999.0
