REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
NORDESTE,IMPOIL,1,2024,12.6478
NORDESTE,IMPOIL,1,2025,12.76
NORDESTE,IMPOIL,1,2026,13.0614
NORDESTE,IMPOIL,1,2027,13.3628
NORDESTE,IMPOIL,1,2028,13.6642
NORDESTE,IMPOIL,1,2029,13.9656
NORDESTE,IMPOIL,1,2030,14.267
NORDESTE,MINOIL,1,2024,11.498
NORDESTE,MINOIL,1,2025,11.6
NORDESTE,MINOIL,1,2026,11.874
NORDESTE,MINOIL,1,2027,12.148
NORDESTE,MINOIL,1,2028,12.422
NORDESTE,MINOIL,1,2029,12.696
NORDESTE,MINOIL,1,2030,12.97
NORDESTE,IMPBIO,1,2024,6.16
NORDESTE,IMPBIO,1,2025,6.16
NORDESTE,IMPBIO,1,2026,6.16
NORDESTE,IMPBIO,1,2027,6.16
NORDESTE,IMPBIO,1,2028,6.16
NORDESTE,IMPBIO,1,2029,6.16
NORDESTE,IMPBIO,1,2030,6.16
NORDESTE,MINBIO,1,2024,5.6
NORDESTE,MINBIO,1,2025,5.6
NORDESTE,MINBIO,1,2026,5.6
NORDESTE,MINBIO,1,2027,5.6
NORDESTE,MINBIO,1,2028,5.6
NORDESTE,MINBIO,1,2029,5.6
NORDESTE,MINBIO,1,2030,5.6
NORDESTE,IMPCOA,1,2024,3.619
NORDESTE,IMPCOA,1,2025,3.641
NORDESTE,IMPCOA,1,2026,3.652
NORDESTE,IMPCOA,1,2027,3.674
NORDESTE,IMPCOA,1,2028,3.696
NORDESTE,IMPCOA,1,2029,3.707
NORDESTE,IMPCOA,1,2030,3.729
NORDESTE,MINCOA,1,2024,3.29
NORDESTE,MINCOA,1,2025,3.31
NORDESTE,MINCOA,1,2026,3.32
NORDESTE,MINCOA,1,2027,3.34
NORDESTE,MINCOA,1,2028,3.36
NORDESTE,MINCOA,1,2029,3.37
NORDESTE,MINCOA,1,2030,3.39
NORDESTE,IMPLFO,1,2024,15.29234
NORDESTE,IMPLFO,1,2025,15.428
NORDESTE,IMPLFO,1,2026,15.79242
NORDESTE,IMPLFO,1,2027,16.15684
NORDESTE,IMPLFO,1,2028,16.52126
NORDESTE,IMPLFO,1,2029,16.88568
