state,value,reference_year,type,phase
AC,32.08655631659056,2012,biomass,potential
AL,403.7978637747336,2012,biomass,potential
AM,44.97358295281583,2012,biomass,potential
AP,2.0217218417047182,2012,biomass,potential
BA,737.7076407914764,2012,biomass,potential
CE,28.965863774733634,2012,biomass,potential
DF,0.0,2012,biomass,potential
ES,309.2014497716895,2012,biomass,potential
GO,1971.8697522831048,2012,biomass,potential
MA,371.96896118721463,2012,biomass,potential
MG,2006.7883115677323,2012,biomass,potential
MS,1870.0988919330289,2012,biomass,potential
MT,1565.4930749619484,2012,biomass,potential
PA,86.56626377473364,2012,biomass,potential
PB,155.9329604261796,2012,biomass,potential
PE,465.4953614916286,2012,biomass,potential
PI,38.69264079147641,2012,biomass,potential
PR,2695.0404204718416,2012,biomass,potential
RJ,126.29750494672754,2012,biomass,potential
RN,109.07489726027397,2012,biomass,potential
RO,45.39086529680365,2012,biomass,potential
RR,140.34455631659057,2012,biomass,potential
RS,1532.4391662861492,2012,biomass,potential
SC,631.9054642313547,2012,biomass,potential
SE,148.08002663622528,2012,biomass,potential
SP,7351.775367427702,2012,biomass,potential
TO,97.98703576864536,2012,biomass,potential
