id_subsistema;nom_subsistema;id_estado;nom_estado;nom_modalidadeoperacao;nom_agenteproprietario;nom_tipousina;nom_usina;ceg;nom_unidadegeradora;cod_equipamento;num_unidadegeradora;nom_combustivel;dat_entradateste;dat_entradaoperacao;dat_desativacao;val_potenciaefetiva
NE;NORDESTE;AL;ALAGOAS;TIPO I;CHESF;HIDROELÉTRICA;XINGÓ;UHE.PH.SE.027053-9.01;UG  527 MW USINA XINGO               1 AL;ALUXG-0UG1;1;HIDRÁULICA;1997-08-22;1997-08-22;;527.0
NE;NORDESTE;AL;ALAGOAS;TIPO I;CHESF;HIDROELÉTRICA;XINGÓ;UHE.PH.SE.027053-9.01;UG  527 MW USINA XINGO               2 AL;ALUXG-0UG2;2;HIDRÁULICA;1996-12-20;1996-12-20;;527.0
NE;NORDESTE;AL;ALAGOAS;TIPO I;CHESF;HIDROELÉTRICA;XINGÓ;UHE.PH.SE.027053-9.01;UG  527 MW USINA XINGO               3 AL;ALUXG-0UG3;3;HIDRÁULICA;1996-07-31;1996-07-31;;527.0
NE;NORDESTE;AL;ALAGOAS;TIPO I;CHESF;HIDROELÉTRICA;XINGÓ;UHE.PH.SE.027053-9.01;UG  527 MW USINA XINGO               4 AL;ALUXG-0UG4;4;HIDRÁULICA;1995-10-26;1995-10-26;;527.0
NE;NORDESTE;AL;ALAGOAS;TIPO I;CHESF;HIDROELÉTRICA;XINGÓ;UHE.PH.SE.027053-9.01;UG  527 MW USINA XINGO               5 AL;ALUXG-0UG5;5;HIDRÁULICA;1995-01-31;1995-01-31;;527.0
NE;NORDESTE;AL;ALAGOAS;TIPO I;CHESF;HIDROELÉTRICA;XINGÓ;UHE.PH.SE.027053-9.01;UG  527 MW USINA XINGO               6 AL;ALUXG-0UG6;6;HIDRÁULICA;1994-04-30;1994-04-30;;527.0
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO              G100 AL;ALBERL0G100;G100;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO              G101 AL;ALBERL0G101;G101;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO              G102 AL;ALBERL0G102;G102;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO              G103 AL;ALBERL0G103;G103;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO              G104 AL;ALBERL0G104;G104;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO              G105 AL;ALBERL0G105;G105;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO              G106 AL;ALBERL0G106;G106;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO              G107 AL;ALBERL0G107;G107;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO              G108 AL;ALBERL0G108;G108;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                 1 AL;ALBERL0UG1;1;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                10 AL;ALBERL0UG10;10;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                11 AL;ALBERL0UG11;11;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                12 AL;ALBERL0UG12;12;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                13 AL;ALBERL0UG13;13;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                14 AL;ALBERL0UG14;14;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                15 AL;ALBERL0UG15;15;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                16 AL;ALBERL0UG16;16;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                17 AL;ALBERL0UG17;17;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                18 AL;ALBERL0UG18;18;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                19 AL;ALBERL0UG19;19;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                 2 AL;ALBERL0UG2;2;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                20 AL;ALBERL0UG20;20;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                21 AL;ALBERL0UG21;21;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                22 AL;ALBERL0UG22;22;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                23 AL;ALBERL0UG23;23;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                24 AL;ALBERL0UG24;24;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                25 AL;ALBERL0UG25;25;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                26 AL;ALBERL0UG26;26;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                27 AL;ALBERL0UG27;27;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                28 AL;ALBERL0UG28;28;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                29 AL;ALBERL0UG29;29;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                 3 AL;ALBERL0UG3;3;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                30 AL;ALBERL0UG30;30;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                31 AL;ALBERL0UG31;31;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                32 AL;ALBERL0UG32;32;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                33 AL;ALBERL0UG33;33;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                34 AL;ALBERL0UG34;34;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                35 AL;ALBERL0UG35;35;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                36 AL;ALBERL0UG36;36;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                37 AL;ALBERL0UG37;37;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                38 AL;ALBERL0UG38;38;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                39 AL;ALBERL0UG39;39;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                 4 AL;ALBERL0UG4;4;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                40 AL;ALBERL0UG40;40;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                41 AL;ALBERL0UG41;41;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                42 AL;ALBERL0UG42;42;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                43 AL;ALBERL0UG43;43;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                44 AL;ALBERL0UG44;44;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                45 AL;ALBERL0UG45;45;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                46 AL;ALBERL0UG46;46;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                47 AL;ALBERL0UG47;47;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                48 AL;ALBERL0UG48;48;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                49 AL;ALBERL0UG49;49;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                 5 AL;ALBERL0UG5;5;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                50 AL;ALBERL0UG50;50;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                51 AL;ALBERL0UG51;51;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                52 AL;ALBERL0UG52;52;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                53 AL;ALBERL0UG53;53;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                54 AL;ALBERL0UG54;54;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                55 AL;ALBERL0UG55;55;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                56 AL;ALBERL0UG56;56;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                57 AL;ALBERL0UG57;57;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                58 AL;ALBERL0UG58;58;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                59 AL;ALBERL0UG59;59;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                 6 AL;ALBERL0UG6;6;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                60 AL;ALBERL0UG60;60;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                61 AL;ALBERL0UG61;61;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                62 AL;ALBERL0UG62;62;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                63 AL;ALBERL0UG63;63;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                64 AL;ALBERL0UG64;64;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                65 AL;ALBERL0UG65;65;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                66 AL;ALBERL0UG66;66;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                67 AL;ALBERL0UG67;67;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                68 AL;ALBERL0UG68;68;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                69 AL;ALBERL0UG69;69;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                 7 AL;ALBERL0UG7;7;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                70 AL;ALBERL0UG70;70;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                71 AL;ALBERL0UG71;71;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                72 AL;ALBERL0UG72;72;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO                73 AL;ALBERL0UG73;73;ÓLEO DIESEL;2002-07-30;2002-08-05;2006-01-01;1.64
