,plant_name,agent,basin,capacity,start_time,plant_id,phase,type,primary,auction,geometry
0,Bocaiúva,Cravari Geração de Energia S.A.,Rio Cravari,30.0,2010-06-24,PCH.PH.MT.029184-6,operation,small_hydro,,,POINT (-6443265.539084259 -1394861.3717823345)
1,Moinho,Cooperativa de Eletrificação e Desenvolvimento Econômico de Marechal Cândido Rondon ? CERCAR,Arroio Guaçu,3.7,2015-07-18,PCH.PH.PR.030836-6,operation,small_hydro,,,POINT (-6014415.327459958 -2718351.794151481)
2,Capão Preto,Chimay Empreendimentos e Participações Ltda,Rio Quilombo/Negro,4.3,1899-12-30,PCH.PH.SP.027107-1,operation,small_hydro,,,POINT (-5319370.942000155 -2436195.0384101616)
3,Lajes (Fontes Velha),Lajes Energia S.A.,Ribeirão das Lajes,17.0,2018-07-21,PCH.PH.RJ.001306-4,operation,small_hydro,,,POINT (-4884872.307945891 -2527313.5970576755)
4,Cotiporã,Cotiporã Energética S.A.,Rio Carreiro,19.5,2008-12-23,PCH.PH.RS.027877-7,operation,small_hydro,,,POINT (-5761644.649264762 -3224127.4601475513)
5,São José,AES Tietê S.A.,Rio Jaguari-mirim,4.0,2012-03-17,PCH.PH.SP.028823-3,operation,small_hydro,,,POINT (-5211522.193445291 -2442184.206016583)
6,Furquim,Maynart Energética Ltda.,Rio do Carmo,6.0,2003-11-05,PCH.PH.MG.028175-1,operation,small_hydro,,,POINT (-4810378.93409042 -2266743.300706292)
7,Rio São Marcos,Hidrelétrica Rio São Marcos Ltda.,Rio São Marcos,2.2,2004-12-31,PCH.PH.RS.029077-7,operation,small_hydro,,,POINT (-5687900.266895796 -3232352.149218982)
8,Derivação do Rio Jordão,Copel Geração e Transmissão S.A.,Rio Jordão,6.5,1997-12-02,PCH.PH.PR.002398-1,operation,small_hydro,,,POINT (-5798458.063201512 -2868236.0156272063)
9,Jui 117,PCH Juína S.A,Rio Juína,25.0,2019-12-17,PCH.PH.MT.034966-6,operation,small_hydro,,,POINT (-6611527.086641192 -1490080.9589497067)
10,Boa Fé,Boa Fé Energética S.A.,Rio Carreiro,24.0,2011-10-20,PCH.PH.RS.029063-7,operation,small_hydro,,,POINT (-5771236.053031695 -3200741.8744056905)
11,Rio Timbó,Companhia Bom Sucesso de Eletricidade,Rio Timbó,5.5,1959-08-15,PCH.PH.SC.028744-0,operation,small_hydro,,,POINT (-5653575.274941298 -2949326.4773924127)
12,Santa Gabriela,Santa Gabriela Energética S.A.,Rio Correntes,24.0,2009-09-18,PCH.PH.MT.028996-5,operation,small_hydro,,,POINT (-6059405.508317906 -1952293.2606216874)
13,Bonfante,Bonfante Energética S.a.,Rio Paraibuna,19.0,2008-08-02,PCH.PH.MG.000291-7,operation,small_hydro,,,POINT (-4816838.3081014985 -2450369.7013877435)
14,Varginha,SPE Varginha Energia S.A.,Rio José Pedro,9.0,2010-10-15,PCH.PH.MG.027729-0,operation,small_hydro,,,POINT (-4646846.610643438 -2231646.569572634)
15,Rio do Sapo,Rio do Sapo Energia S.A.,Ribeirão do Sapo,5.76,2016-02-27,PCH.PH.MT.030408-5,operation,small_hydro,,,POINT (-6428141.189827176 -1626520.104611281)
16,Queluz,Usina Paulista Queluz de Energia Ltda.,Rio Paraíba do Sul,30.0,2011-08-12,PCH.PH.SP.029115-3,operation,small_hydro,,,POINT (-4986665.290116543 -2509560.362550894)
17,Figueirópolis,Companhia Hidroelétrica Figueirópolis,Rio Jauru,19.41,2010-09-28,PCH.PH.MT.029145-5,operation,small_hydro,,,POINT (-6527526.044430317 -1713494.5515356474)
18,Faxinal II,Centrais Elétricas Salto dos Dardanelos S.A.,Rio Aripuanã,30.0,2005-11-22,PCH.PH.MT.028780-6,operation,small_hydro,,,POINT (-6618718.013272626 -1131531.9361356327)
19,São Luiz,Celulose Irani S.A.,Rio Irani,1.8,1899-12-30,PCH.PH.SC.026867-4,operation,small_hydro,,,POINT (-5783325.846439416 -2998947.081080231)
20,Areia,Areia Energia S.A.,Rio Palmeiras,11.4,2011-02-25,PCH.PH.TO.028446-7,operation,small_hydro,,,POINT (-5202706.837478412 -1302161.5961332752)
21,Braço Norte II,Eletricidade da Amazônia S/A,Rio Braço Norte,15.1,1899-12-30,PCH.PH.MT.002832-0,operation,small_hydro,,,POINT (-6121304.18830586 -1088550.0095419644)
22,Caju,Energisa Geração Rio Grande S.A.,Rio Grande,10.0,2011-03-17,PCH.PH.RJ.029726-7,operation,small_hydro,,,POINT (-4680842.679774037 -2437790.023962933)
23,Braço Norte III,Guarantã Energética Ltda.,Rio Braço Norte,14.16,2003-10-03,PCH.PH.MT.027176-4,operation,small_hydro,,,POINT (-6119617.564548273 -1072189.8302599154)
24,Salto Donner I,Cooperativa de Geração de Energia Elétrica Salto Donner,Rio Benedito,1.907,2007-05-10,PCH.PH.SC.028931-0,operation,small_hydro,,,POINT (-5505217.31637598 -2978625.1049069185)
25,Dourados,Chimay Empreendimentos e Participações Ltda,Rio Sapucaí Mirim,10.8,2002-07-27,PCH.PH.SP.027065-2,operation,small_hydro,,,POINT (-5304817.069956429 -2300625.3656539395)
26,Paranoá,CEB Geração S.A.,Rio Paranoá,30.0,1962-01-01,PCH.PH.DF.001975-5,operation,small_hydro,,,POINT (-5319285.909716553 -1758604.5977703782)
27,Pau Sangue,Mercantil Energia Ltda,Rio Serinhaém,1.224,1939-01-01,PCH.PH.PE.002008-7,operation,small_hydro,,,POINT (-3939672.571160573 -956775.6983478452)
28,Mata Cobra,"Libraga, Brandão e Cia. Ltda.",Rio da Várzea,2.88,1899-12-30,PCH.PH.RS.001433-8,operation,small_hydro,,,POINT (-5901597.564708284 -3128412.400724646)
29,Lambari,Mauê S.A. Geradora e Fornecedora de Insumos,Rio Pesqueiro,4.5,2020-03-03,PCH.PH.SC.035120-2,operation,small_hydro,,,POINT (-5889668.736501261 -2978604.4654940884)
30,Casca II,Apiacás Energia S.A.,Rio Casca,3.52,1899-12-30,PCH.PH.MT.027110-1,operation,small_hydro,,,POINT (-6171013.403755498 -1710368.3093914362)
31,Santa Maria,Cooperativa Geradora de Energia Elétrica e Desenvolvimento Santa Maria ? CEESAM,Rio Santa Maria,3.2,1999-01-01,PCH.PH.SC.030681-9,operation,small_hydro,,,POINT (-5501282.365293113 -2978190.8816370936)
32,Doido,São Sebastião Energia Ltda.,Rio Palmeiras,6.0,2015-10-10,PCH.PH.TO.031244-4,operation,small_hydro,,,POINT (-5204316.051220573 -1303649.8757202297)
33,Novo Horizonte,Companhia Energética Novo Horizonte,Rio Capivari,23.0,2011-06-04,PCH.PH.PR.028782-2,operation,small_hydro,,,POINT (-5412659.938393151 -2783049.748229999)
34,Pai Joaquim,Cemig PCH S.A.,Rio Araguari,23.0,2004-03-31,PCH.PH.MG.001934-8,operation,small_hydro,,,POINT (-5292322.298133637 -2169179.0744826407)
35,Pulo,Hidrelétrica Pulo Ltda. - ME,Rio Iapó,8.4,2019-05-22,PCH.PH.PR.034438-9,operation,small_hydro,,,POINT (-5580933.405484562 -2752023.7534676855)
36,Cachoeira da Lixa,ESPRA - Energética Serra da Prata S.A.,Rio Jucuruçu do Sul,14.8,2008-05-24,PCH.PH.BA.028999-0,operation,small_hydro,,,POINT (-4460499.27607251 -1900757.7972733423)
37,Baruíto,Global Energia Elétrica S.A.,Rio do Sangue,18.0,2003-04-29,PCH.PH.MT.000233-0,operation,small_hydro,,,POINT (-6411731.43073636 -1482812.5940276964)
38,Tigre,Tigre Produção de Energia Elétrica Ltda.,Rio Marrecas,9.0,2016-10-27,PCH.PH.PR.029222-2,operation,small_hydro,,,POINT (-5808617.952008198 -2899815.12899808)
39,Jataí,Jataí Energética S.A.,Rio Claro,30.0,2008-07-30,PCH.PH.GO.028834-9,operation,small_hydro,,,POINT (-5758137.928789568 -1997597.6513177506)
40,Madame Denise (Cachoeira do Furado),Arcelormittal Brasil S.A.,Rio Taquaruçu,2.88,1935-11-26,PCH.PH.MG.028218-9,operation,small_hydro,,,POINT (-4863753.237130352 -2187342.2311030854)
41,Lageado,Alvorada Energia S.A.,Rio Lageado Grande,1.8,1971-03-01,PCH.PH.TO.027013-0,operation,small_hydro,,,POINT (-5375966.69106373 -1095564.9841409703)
42,Rio Tigre,Centrais Elétricas Rio Tigre S.A.,Lajeado do Tigre,2.08,1964-04-01,PCH.PH.SC.002514-3,operation,small_hydro,,,POINT (-5873866.343454022 -3019321.963066059)
43,Indaiá Grande,Indaiá Grande Energia S.A.,Rio Indaiá Grande,20.0,2012-04-26,PCH.PH.MS.030078-0,operation,small_hydro,,,POINT (-5832956.430476175 -2146638.999457817)
44,Rio Fortuna,Geradora de Energia Rio Fortuna S.A.,Rio Braço do Norte,6.99,2012-10-30,PCH.PH.SC.029140-4,operation,small_hydro,,,POINT (-5469488.206377081 -3130785.628741233)
45,Alta Floresta,Eletricidade de Rondônia Ltda.,Rio Branco,5.0,1899-12-30,PCH.PH.RO.000058-2,operation,small_hydro,,,POINT (-6906316.858875289 -1328993.8291210835)
46,Paracambi,Lightger S.A.,Ribeirão das Lajes,25.0,2012-05-18,PCH.PH.RJ.001959-3,operation,small_hydro,,,POINT (-4870851.999015778 -2523730.2125189644)
47,Santa Cruz de Monte Negro,Canaã Geração de Energia S.A,Rio Jamari,17.01,2014-06-19,PCH.PH.RO.029434-9,operation,small_hydro,,,POINT (-7039056.7149235755 -1138773.6698732264)
48,Linha Emília,Linha Emília Energética S.A.,Rio Carreiro,19.5,2009-01-31,PCH.PH.RS.027876-9,operation,small_hydro,,,POINT (-5763383.757713231 -3221663.003693188)
49,Recanto,Recanto Energética SPE S.A.,Rio Água Limpa,9.11,2019-12-21,PCH.PH.MT.034865-1,operation,small_hydro,,,POINT (-6436353.706112289 -1605282.719099469)
50,Fruteiras,EDP Pequenas Centrais Hidrelétricas S.A.,Rio Fruteiras,8.736,1899-12-30,PCH.PH.ES.000999-7,operation,small_hydro,,,POINT (-4573161.117843573 -2303863.5495648948)
51,Lajes,Alvorada Energia S.A.,Rio Lajes,2.07,1899-12-30,PCH.PH.TO.001305-6,operation,small_hydro,,,POINT (-5360158.089060571 -755014.4241002976)
52,Passo Ferraz,Passo Ferraz Energia S.A,Rio Chapecozinho,4.0,2011-06-03,PCH.PH.SC.030183-3,operation,small_hydro,,,POINT (-5831603.8647105945 -2978852.1254236586)
53,Alto Irani,SPE Alto Irani Energia S.A.,Rio Irani,21.0,2008-09-27,PCH.PH.SC.028748-2,operation,small_hydro,,,POINT (-5836202.030046332 -3006946.0697727604)
54,Ilha Comprida,Ilha Comprida Energia S.A.,Rio Juruena,20.16,2013-07-04,PCH.PH.MT.028835-7,operation,small_hydro,,,POINT (-6566201.481678447 -1469227.5935097956)
55,Jacaré Pepira,Água Paulista Geração de Energia Ltda.,Jacaré Pepira,2.0,2010-06-26,PCH.PH.SP.029296-6,operation,small_hydro,,,POINT (-5345561.947670352 -2496339.581373116)
56,Ypê,Santa Helena Energia S.A.,Rio Verde ou Verdão,30.0,2017-12-30,PCH.PH.GO.031327-0,operation,small_hydro,,,POINT (-5616283.308755027 -1973444.5239207675)
57,Isamu Ikeda,Isamu Ikeda Energia S.A.,Rio Balsas Mineiro,27.6,1982-11-04,PCH.PH.TO.001149-5,operation,small_hydro,,,POINT (-5320394.151352424 -1190988.130129208)
58,Mata Velha,Mata Vermelha Energética S.A,Rio Preto,24.0,2016-05-07,PCH.PH.MG.028607-9,operation,small_hydro,,,POINT (-5251282.489781566 -1802700.1846987766)
59,Salto Donner II,Cooperativa de Geração de Energia Elétrica Salto Donner,Rio Benedito,2.89,2012-07-31,PCH.PH.SC.030353-4,operation,small_hydro,,,POINT (-5504463.712811653 -2978682.8954186863)
60,Mucuri,Mucuri Energética S.A,Rio Mucuri,19.1,2013-05-10,PCH.PH.MG.028842-0,operation,small_hydro,,,POINT (-4562554.202578471 -1958676.896636096)
61,Unaí Baixo,Unaí Baixo Energética S.A.,Rio Preto,26.0,2012-05-04,PCH.PH.MG.028673-7,operation,small_hydro,,,POINT (-5235242.101785582 -1802032.5835674102)
62,Coronel Américo Teixeira,Horizonte Têxtil Ltda.,Ribeirão Riachinho,5.6,1899-12-30,PCH.PH.MG.000836-2,operation,small_hydro,,,POINT (-4861522.886233048 -2133311.6514635826)
63,Fagundes,Quanta Geração S.A.,Rio Fagundes,4.8,1899-12-30,PCH.PH.RJ.000928-8,operation,small_hydro,,,POINT (-4805155.698014013 -2473373.480868411)
64,Salto Curuá,Curuá Energia S.A.,Rio Curuá,30.0,2008-10-15,PCH.PH.PA.028672-9,operation,small_hydro,,,POINT (-6118192.330198335 -973185.9344426788)
65,Guary,Brookfield Energia Renovável Minas Gerais S/A,Rio do Pinho,5.4,1914-01-01,PCH.PH.MG.001078-2,operation,small_hydro,,,POINT (-4837410.976213357 -2392136.459980442)
66,Franca Amaral,Quanta Geração S.A.,Rio Itabapoana,4.5,1899-12-30,PCH.PH.RJ.000992-0,operation,small_hydro,,,POINT (-4644449.811726552 -2345779.385313928)
