,region,state,grid_mode,agent,type,plant_name,plant_id,ons_name,ons_id,operation,primary,auction_start_time,start_time,end_time,capacity
0,NE,AL,type I,CHESF,hydro,XINGÓ,UHE.PH.SE.027053-9,UG  527 MW USINA XINGO               1 AL,ALUXG-0UG1,1,Hydraulic,1997-08-22,1997-08-22,,527.0
1,NE,AL,type I,CHESF,hydro,XINGÓ,UHE.PH.SE.027053-9,UG  527 MW USINA XINGO               2 AL,ALUXG-0UG2,2,Hydraulic,1996-12-20,1996-12-20,,527.0
2,NE,AL,type I,CHESF,hydro,XINGÓ,UHE.PH.SE.027053-9,UG  527 MW USINA XINGO               3 AL,ALUXG-0UG3,3,Hydraulic,1996-07-31,1996-07-31,,527.0
3,NE,AL,type I,CHESF,hydro,XINGÓ,UHE.PH.SE.027053-9,UG  527 MW USINA XINGO               4 AL,ALUXG-0UG4,4,Hydraulic,1995-10-26,1995-10-26,,527.0
4,NE,AL,type I,CHESF,hydro,XINGÓ,UHE.PH.SE.027053-9,UG  527 MW USINA XINGO               5 AL,ALUXG-0UG5,5,Hydraulic,1995-01-31,1995-01-31,,527.0
5,NE,AL,type I,CHESF,hydro,XINGÓ,UHE.PH.SE.027053-9,UG  527 MW USINA XINGO               6 AL,ALUXG-0UG6,6,Hydraulic,1994-04-30,1994-04-30,,527.0
6,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO              G100 AL,ALBERL0G100,G100,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
7,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO              G101 AL,ALBERL0G101,G101,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
8,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO              G102 AL,ALBERL0G102,G102,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
9,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO              G103 AL,ALBERL0G103,G103,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
10,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO              G104 AL,ALBERL0G104,G104,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
11,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO              G105 AL,ALBERL0G105,G105,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
12,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO              G106 AL,ALBERL0G106,G106,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
13,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO              G107 AL,ALBERL0G107,G107,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
14,NE,AL,type I,BRASYMPE,thermal,RIO LARGO BRASYMPE,UTE.PE.AL.028505-6,UG 1P64 MW RIO LARGO              G108 AL,ALBERL0G108,G108,Diesel oil,2002-07-30,2002-08-05,2006-01-01,1.64
