id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
N;NORTE;2023-01-01;17715.67578125;114.15740204;16312.74902344;105.11710358
NE;NORDESTE;2023-01-01;12355.78808594;91.99790192;12147.72265625;90.44879913
S;SUL;2023-01-01;6388.17285156;84.05660248;6047.41210938;79.57289886
SE;SUDESTE;2023-01-01;57324.42187500;87.38030243;53329.94531250;81.29139709
N;NORTE;2023-01-02;18558.99609375;119.59169769;17971.69531250;115.80719757
NE;NORDESTE;2023-01-02;12451.31347656;92.70919800;12444.87792969;92.66130066
S;SUL;2023-01-02;6385.57519531;84.02249908;6179.91992188;81.31639862
SE;SUDESTE;2023-01-02;58877.57812500;89.74780273;57179.31640625;87.15910339
N;NORTE;2023-01-03;19259.52734375;124.10579681;18968.13476563;122.22810364
NE;NORDESTE;2023-01-03;12510.53027344;93.15010071;12509.09960938;93.13950348
S;SUL;2023-01-03;6520.93017578;85.80349731;6426.07324219;84.55529785
SE;SUDESTE;2023-01-03;60214.53515625;91.78569794;58629.55078125;89.36969757
N;NORTE;2023-01-04;19620.53515625;126.43209839;19361.27343750;124.76139832
NE;NORDESTE;2023-01-04;12873.42480469;95.85209656;12803.25097656;95.32959747
S;SUL;2023-01-04;7090.10302734;93.29280090;6933.71679688;91.23500061
SE;SUDESTE;2023-01-04;62584.91015625;95.39890289;59917.01171875;91.33219910
N;NORTE;2023-01-05;20016.91210938;128.98629761;19711.14648438;127.01599884
NE;NORDESTE;2023-01-05;13321.31152344;99.18699646;13014.76562500;96.90450287
S;SUL;2023-01-05;7427.95410156;97.73829651;6943.94824219;91.36959839
SE;SUDESTE;2023-01-05;64683.58593750;98.59790039;61586.81250000;93.87750244
N;NORTE;2023-01-06;20256.84570313;130.53239441;19984.77539063;128.77920532
NE;NORDESTE;2023-01-06;13800.11328125;102.75199890;12924.81152344;96.23480225
S;SUL;2023-01-06;6982.51416016;91.87709808;6566.42480469;86.40209961
SE;SUDESTE;2023-01-06;67557.39062500;102.97850037;63764.18359375;97.19650269
N;NORTE;2023-01-07;20274.05664063;130.64329529;20086.10742188;129.43220520
NE;NORDESTE;2023-01-07;13847.54785156;103.10520172;13468.80371094;100.28520203
S;SUL;2023-01-07;6340.25976563;83.42620087;5098.06689453;67.08119965
SE;SUDESTE;2023-01-07;71263.87500000;108.62830353;65960.92968750;100.54499817
N;NORTE;2023-01-08;20164.83007813;129.93940735;19103.27539063;123.09889984
NE;NORDESTE;2023-01-08;13962.93066406;103.96430206;13594.70898438;101.22260284
