time,region,value
2018-01-01,N,140640.66796872002
2018-01-02,N,139751.22656256
2018-01-03,N,139865.56640616
2018-01-04,N,139517.40234384
2018-01-05,N,139730.63671872002
2018-01-06,N,140064.33984384
2018-01-07,N,140536.24218744
2018-01-08,N,141630.09375
2018-01-09,N,143586.79687512002
2018-01-10,N,146009.78906256
2018-01-11,N,149105.40234384
2018-01-12,N,153830.26171872002
2018-01-13,N,158291.92968744
2018-01-14,N,163291.48828127998
2018-01-15,N,166509.0
2018-01-16,N,168557.42578127998
2018-01-17,N,166767.52734384
2018-01-18,N,164076.86718744
2018-01-19,N,161587.55859384
2018-01-20,N,159607.58203127998
2018-01-21,N,156824.17968744
2018-01-22,N,154515.86718744
2018-01-23,N,152098.80468744
2018-01-24,N,150929.70703127998
2018-01-25,N,151135.39453127998
2018-01-26,N,154115.35546872002
2018-01-27,N,159609.14062512002
2018-01-28,N,167748.86718744
2018-01-29,N,176010.07031256
2018-01-30,N,183917.73046872002
2018-01-31,N,189534.9375
2018-02-01,N,194493.04687512002
2018-02-02,N,200505.89062512002
2018-02-03,N,208496.20312512002
2018-02-04,N,220239.86718744002
2018-02-05,N,234903.23437512002
2018-02-06,N,251395.07812512002
2018-02-07,N,271695.07031255995
2018-02-08,N,294535.10156255995
2018-02-09,N,320900.83593744005
2018-02-10,N,348844.875
2018-02-11,N,377586.04687512
2018-02-12,N,403325.15625
2018-02-13,N,421213.07812511997
2018-02-14,N,435964.82812511997
2018-02-15,N,448649.95312511997
2018-02-16,N,452144.4375
2018-02-17,N,449191.64062511997
2018-02-18,N,442475.15625
2018-02-19,N,434377.64062511997
2018-02-20,N,426907.54687511997
2018-02-21,N,419842.64062511997
2018-02-22,N,414571.45312511997
2018-02-23,N,410318.67187511997
2018-02-24,N,653169.09375
2018-02-25,N,648215.2968751199
2018-02-26,N,647822.25
2018-02-27,N,651519.375
2018-02-28,N,652578.8906251199
2018-03-01,N,648004.21875
2018-03-02,N,632520.1875
2018-03-03,N,613321.78125
2018-03-04,N,599729.8593751199
2018-03-05,N,586661.5781251199
2018-03-06,N,579841.5
2018-03-07,N,574294.3125
2018-03-08,N,568007.8125
2018-03-09,N,556858.59375
2018-03-10,N,551419.59375
2018-03-11,N,549642.9375
2018-03-12,N,555402.09375
2018-03-13,N,558094.1718751199
2018-03-14,N,566866.1718751199
2018-03-15,N,568587.9375
2018-03-16,N,577364.34375
2018-03-17,N,580030.4531251199
2018-03-18,N,581612.8125
2018-03-19,N,580390.21875
2018-03-20,N,583643.5781251199
2018-03-21,N,589742.53125
2018-03-22,N,595303.3125
2018-03-23,N,596822.0625
2018-03-24,N,607956.46875
2018-03-25,N,615898.78125
2018-03-26,N,629440.9218751199
2018-03-27,N,646764.6093751199
2018-03-28,N,666704.90625
2018-03-29,N,674892.9375
2018-03-30,N,667908.6093751199
2018-03-31,N,650174.53125
2018-04-01,N,634009.6875
2018-04-02,N,634033.125
2018-04-03,N,636412.78125
2018-04-04,N,635718.75
2018-04-05,N,635215.59375
2018-04-06,N,646875.0
2018-04-07,N,658459.8281251199
2018-04-08,N,674592.5625
2018-04-09,N,688462.4531251199
2018-04-10,N,699804.0468751199
2018-04-11,N,713020.6875
2018-04-12,N,731033.71875
2018-04-13,N,742385.2031251199
2018-04-14,N,743364.0468751199
2018-04-15,N,733819.7343751199
2018-04-16,N,722183.15625
2018-04-17,N,711829.1718751199
2018-04-18,N,699054.9843751199
