,state,time,value,sector
2,AC,2013,18911,Commercial
1,AC,2013,716,Industrial
5,AC,2013,256,Public Lighting
4,AC,2013,3020,Public Sector
6,AC,2013,145,Public Service
0,AC,2013,181295,Residential
3,AC,2013,26782,Rural
1,AC,2013,231151,Total
9,AC,2014,19625,Commercial
8,AC,2014,716,Industrial
12,AC,2014,259,Public Lighting
11,AC,2014,3152,Public Sector
13,AC,2014,158,Public Service
7,AC,2014,188572,Residential
10,AC,2014,27533,Rural
28,AC,2014,240042,Total
16,AC,2015,20016,Commercial
15,AC,2015,712,Industrial
19,AC,2015,258,Public Lighting
18,AC,2015,3153,Public Sector
20,AC,2015,159,Public Service
14,AC,2015,193461,Residential
17,AC,2015,27487,Rural
55,AC,2015,245271,Total
23,AC,2016,20750,Commercial
22,AC,2016,677,Industrial
26,AC,2016,273,Public Lighting
25,AC,2016,3177,Public Sector
27,AC,2016,160,Public Service
21,AC,2016,201728,Residential
24,AC,2016,27425,Rural
82,AC,2016,254216,Total
30,AC,2017,21462,Commercial
29,AC,2017,650,Industrial
33,AC,2017,260,Public Lighting
32,AC,2017,3347,Public Sector
34,AC,2017,214,Public Service
28,AC,2017,208733,Residential
31,AC,2017,28433,Rural
109,AC,2017,263125,Total
37,AC,2018,22640,Commercial
36,AC,2018,572,Industrial
40,AC,2018,293,Public Lighting
39,AC,2018,3326,Public Sector
41,AC,2018,212,Public Service
35,AC,2018,211790,Residential
38,AC,2018,28089,Rural
136,AC,2018,266964,Total
44,AC,2019,21880,Commercial
43,AC,2019,271,Industrial
47,AC,2019,285,Public Lighting
46,AC,2019,3274,Public Sector
48,AC,2019,200,Public Service
42,AC,2019,212010,Residential
45,AC,2019,26487,Rural
163,AC,2019,264456,Total
51,AC,2020,22200,Commercial
50,AC,2020,270,Industrial
54,AC,2020,287,Public Lighting
53,AC,2020,3360,Public Sector
55,AC,2020,207,Public Service
49,AC,2020,225720,Residential
52,AC,2020,26506,Rural
190,AC,2020,278603,Total
58,AC,2021,22768,Commercial
57,AC,2021,278,Industrial
61,AC,2021,454,Public Lighting
60,AC,2021,2999,Public Sector
62,AC,2021,240,Public Service
56,AC,2021,226127,Residential
59,AC,2021,26236,Rural
217,AC,2021,279154,Total
65,AC,2022,23069,Commercial
64,AC,2022,295,Industrial
68,AC,2022,497,Public Lighting
67,AC,2022,3149,Public Sector
69,AC,2022,223,Public Service
63,AC,2022,239858,Residential
66,AC,2022,19320,Rural
244,AC,2022,286469,Total
2,AL,2013,57735,Commercial
1,AL,2013,2653,Industrial
5,AL,2013,198,Public Lighting
4,AL,2013,8588,Public Sector
6,AL,2013,1142,Public Service
0,AL,2013,901768,Residential
3,AL,2013,10434,Rural
13,AL,2013,982646,Total
9,AL,2014,59215,Commercial
8,AL,2014,2597,Industrial
12,AL,2014,204,Public Lighting
11,AL,2014,8680,Public Sector
13,AL,2014,1202,Public Service
7,AL,2014,931604,Residential
10,AL,2014,11600,Rural
40,AL,2014,1015206,Total
16,AL,2015,60405,Commercial
15,AL,2015,2510,Industrial
19,AL,2015,204,Public Lighting
18,AL,2015,8625,Public Sector
20,AL,2015,1312,Public Service
14,AL,2015,961346,Residential
17,AL,2015,12025,Rural
67,AL,2015,1046528,Total
23,AL,2016,64840,Commercial
22,AL,2016,2609,Industrial
26,AL,2016,205,Public Lighting
25,AL,2016,8801,Public Sector
27,AL,2016,1341,Public Service
21,AL,2016,1028041,Residential
24,AL,2016,12422,Rural
94,AL,2016,1118372,Total
30,AL,2017,67240,Commercial
29,AL,2017,2350,Industrial
33,AL,2017,226,Public Lighting
32,AL,2017,8695,Public Sector
34,AL,2017,1447,Public Service
28,AL,2017,1065789,Residential
31,AL,2017,12827,Rural
121,AL,2017,1158679,Total
37,AL,2018,67287,Commercial
36,AL,2018,2335,Industrial
40,AL,2018,267,Public Lighting
39,AL,2018,8923,Public Sector
41,AL,2018,1717,Public Service
35,AL,2018,1065986,Residential
38,AL,2018,12707,Rural
148,AL,2018,1159333,Total
44,AL,2019,68056,Commercial
43,AL,2019,2192,Industrial
47,AL,2019,278,Public Lighting
46,AL,2019,9003,Public Sector
48,AL,2019,1731,Public Service
42,AL,2019,1052601,Residential
45,AL,2019,25415,Rural
175,AL,2019,1159393,Total
51,AL,2020,66033,Commercial
50,AL,2020,2088,Industrial
54,AL,2020,304,Public Lighting
53,AL,2020,8978,Public Sector
55,AL,2020,1771,Public Service
49,AL,2020,1049793,Residential
52,AL,2020,32977,Rural
202,AL,2020,1162055,Total
58,AL,2021,65694,Commercial
57,AL,2021,1887,Industrial
61,AL,2021,291,Public Lighting
60,AL,2021,9122,Public Sector
62,AL,2021,1868,Public Service
56,AL,2021,1086611,Residential
59,AL,2021,33734,Rural
229,AL,2021,1199324,Total
65,AL,2022,72786,Commercial
64,AL,2022,2121,Industrial
68,AL,2022,892,Public Lighting
67,AL,2022,9393,Public Sector
69,AL,2022,2070,Public Service
63,AL,2022,1207371,Residential
66,AL,2022,31793,Rural
256,AL,2022,1326532,Total
2,AM,2013,70185,Commercial
1,AM,2013,3158,Industrial
5,AM,2013,661,Public Lighting
4,AM,2013,8578,Public Sector
6,AM,2013,932,Public Service
0,AM,2013,702376,Residential
3,AM,2013,40947,Rural
2,AM,2013,827235,Total
9,AM,2014,71750,Commercial
8,AM,2014,3082,Industrial
12,AM,2014,663,Public Lighting
11,AM,2014,8970,Public Sector
13,AM,2014,953,Public Service
7,AM,2014,733766,Residential
10,AM,2014,41154,Rural
29,AM,2014,860736,Total
16,AM,2015,73475,Commercial
15,AM,2015,3028,Industrial
19,AM,2015,664,Public Lighting
18,AM,2015,9394,Public Sector
20,AM,2015,880,Public Service
14,AM,2015,769171,Residential
17,AM,2015,41391,Rural
56,AM,2015,898365,Total
23,AM,2016,74915,Commercial
22,AM,2016,3012,Industrial
26,AM,2016,664,Public Lighting
25,AM,2016,9452,Public Sector
27,AM,2016,894,Public Service
21,AM,2016,813576,Residential
24,AM,2016,42444,Rural
83,AM,2016,945231,Total
30,AM,2017,76271,Commercial
29,AM,2017,2834,Industrial
33,AM,2017,666,Public Lighting
32,AM,2017,9525,Public Sector
34,AM,2017,913,Public Service
28,AM,2017,843242,Residential
31,AM,2017,43156,Rural
110,AM,2017,976874,Total
37,AM,2018,76969,Commercial
36,AM,2018,2720,Industrial
40,AM,2018,663,Public Lighting
39,AM,2018,9599,Public Sector
41,AM,2018,911,Public Service
35,AM,2018,866661,Residential
38,AM,2018,43758,Rural
137,AM,2018,1001550,Total
44,AM,2019,78634,Commercial
43,AM,2019,2704,Industrial
47,AM,2019,611,Public Lighting
46,AM,2019,9702,Public Sector
48,AM,2019,926,Public Service
42,AM,2019,883561,Residential
45,AM,2019,43686,Rural
164,AM,2019,1020088,Total
51,AM,2020,80400,Commercial
50,AM,2020,2642,Industrial
54,AM,2020,666,Public Lighting
53,AM,2020,9795,Public Sector
55,AM,2020,948,Public Service
49,AM,2020,906760,Residential
52,AM,2020,44070,Rural
191,AM,2020,1045536,Total
58,AM,2021,76708,Commercial
57,AM,2021,2300,Industrial
61,AM,2021,717,Public Lighting
60,AM,2021,9068,Public Sector
62,AM,2021,1721,Public Service
56,AM,2021,822538,Residential
59,AM,2021,40609,Rural
218,AM,2021,953900,Total
65,AM,2022,81105,Commercial
64,AM,2022,2254,Industrial
68,AM,2022,229,Public Lighting
67,AM,2022,9161,Public Sector
69,AM,2022,1837,Public Service
63,AM,2022,855613,Residential
66,AM,2022,38448,Rural
245,AM,2022,988880,Total
2,AP,2013,16771,Commercial
1,AP,2013,455,Industrial
5,AP,2013,95,Public Lighting
4,AP,2013,1859,Public Sector
6,AP,2013,171,Public Service
0,AP,2013,161344,Residential
3,AP,2013,1359,Rural
5,AP,2013,182091,Total
9,AP,2014,17100,Commercial
8,AP,2014,441,Industrial
12,AP,2014,93,Public Lighting
11,AP,2014,2112,Public Sector
13,AP,2014,130,Public Service
7,AP,2014,168849,Residential
10,AP,2014,1508,Rural
32,AP,2014,190271,Total
16,AP,2015,18258,Commercial
15,AP,2015,424,Industrial
19,AP,2015,57,Public Lighting
18,AP,2015,2107,Public Sector
20,AP,2015,122,Public Service
14,AP,2015,173284,Residential
17,AP,2015,1726,Rural
59,AP,2015,196012,Total
23,AP,2016,18006,Commercial
22,AP,2016,407,Industrial
26,AP,2016,27,Public Lighting
25,AP,2016,2015,Public Sector
27,AP,2016,119,Public Service
21,AP,2016,177310,Residential
24,AP,2016,2144,Rural
86,AP,2016,200066,Total
30,AP,2017,17904,Commercial
29,AP,2017,404,Industrial
33,AP,2017,27,Public Lighting
32,AP,2017,2126,Public Sector
34,AP,2017,112,Public Service
28,AP,2017,180918,Residential
31,AP,2017,2216,Rural
113,AP,2017,203747,Total
37,AP,2018,17839,Commercial
36,AP,2018,370,Industrial
40,AP,2018,30,Public Lighting
39,AP,2018,2155,Public Sector
41,AP,2018,105,Public Service
35,AP,2018,182254,Residential
38,AP,2018,2171,Rural
140,AP,2018,204965,Total
44,AP,2019,18436,Commercial
43,AP,2019,348,Industrial
47,AP,2019,85,Public Lighting
46,AP,2019,2148,Public Sector
48,AP,2019,99,Public Service
42,AP,2019,183418,Residential
45,AP,2019,2322,Rural
167,AP,2019,206897,Total
51,AP,2020,18471,Commercial
