,state,time,value,sector
2,AC,2013,193330.0,Commercial
1,AC,2013,37300.0,Industrial
7,AC,2013,3950.0,Own Use
5,AC,2013,46300.0,Public Lighting
4,AC,2013,116910.0,Public Sector
6,AC,2013,27180.0,Public Service
0,AC,2013,373120.0,Residential
3,AC,2013,46040.0,Rural
1,AC,2013,844110.0,Total
10,AC,2014,224450.0,Commercial
9,AC,2014,36910.0,Industrial
15,AC,2014,3950.0,Own Use
13,AC,2014,46100.0,Public Lighting
12,AC,2014,92090.0,Public Sector
14,AC,2014,33750.0,Public Service
8,AC,2014,400240.0,Residential
11,AC,2014,49080.0,Rural
28,AC,2014,886560.0,Total
18,AC,2015,234620.0,Commercial
17,AC,2015,39090.0,Industrial
23,AC,2015,970.0,Own Use
21,AC,2015,47310.0,Public Lighting
20,AC,2015,121310.0,Public Sector
22,AC,2015,43640.0,Public Service
16,AC,2015,431340.0,Residential
19,AC,2015,55470.0,Rural
55,AC,2015,973740.0,Total
26,AC,2016,247090.0,Commercial
25,AC,2016,39560.0,Industrial
31,AC,2016,660.0,Own Use
29,AC,2016,48180.0,Public Lighting
28,AC,2016,124140.0,Public Sector
30,AC,2016,48380.0,Public Service
24,AC,2016,447630.0,Residential
27,AC,2016,58590.0,Rural
82,AC,2016,1014250.0,Total
34,AC,2017,272430.0,Commercial
33,AC,2017,38420.0,Industrial
39,AC,2017,990.0,Own Use
37,AC,2017,53190.0,Public Lighting
36,AC,2017,129770.00000000001,Public Sector
38,AC,2017,53900.0,Public Service
32,AC,2017,466160.0,Residential
35,AC,2017,59440.0,Rural
109,AC,2017,1074280.0,Total
42,AC,2018,223100.0,Commercial
41,AC,2018,35450.0,Industrial
47,AC,2018,970.0,Own Use
45,AC,2018,53990.0,Public Lighting
44,AC,2018,110390.0,Public Sector
46,AC,2018,46630.0,Public Service
40,AC,2018,452740.0,Residential
43,AC,2018,55570.0,Rural
136,AC,2018,978830.0,Total
50,AC,2019,262370.0,Commercial
49,AC,2019,37320.0,Industrial
55,AC,2019,2170.0,Own Use
53,AC,2019,60930.0,Public Lighting
52,AC,2019,126730.0,Public Sector
54,AC,2019,47430.0,Public Service
48,AC,2019,491300.0,Residential
51,AC,2019,52730.0,Rural
163,AC,2019,1080990.0,Total
58,AC,2020,249820.0,Commercial
57,AC,2020,40910.0,Industrial
63,AC,2020,1760.0,Own Use
61,AC,2020,49180.0,Public Lighting
60,AC,2020,104480.0,Public Sector
62,AC,2020,49300.0,Public Service
56,AC,2020,549970.0,Residential
59,AC,2020,57150.0,Rural
190,AC,2020,1102570.0,Total
66,AC,2021,251220.0,Commercial
65,AC,2021,44530.0,Industrial
71,AC,2021,1840.0,Own Use
69,AC,2021,44110.0,Public Lighting
68,AC,2021,97640.0,Public Sector
70,AC,2021,51310.0,Public Service
64,AC,2021,548690.0,Residential
67,AC,2021,55800.0,Rural
217,AC,2021,1095150.0,Total
74,AC,2022,312220.0,Commercial
73,AC,2022,59850.0,Industrial
79,AC,2022,1810.0,Own Use
77,AC,2022,48920.0,Public Lighting
76,AC,2022,115950.0,Public Sector
78,AC,2022,51800.0,Public Service
72,AC,2022,566400.0,Residential
75,AC,2022,55390.0,Rural
244,AC,2022,1212350.0,Total
2,AL,2013,700370.0,Commercial
1,AL,2013,2072949.9999999998,Industrial
7,AL,2013,54790.0,Own Use
5,AL,2013,189970.0,Public Lighting
4,AL,2013,145380.0,Public Sector
6,AL,2013,179940.0,Public Service
0,AL,2013,1227060.0,Residential
3,AL,2013,216120.0,Rural
13,AL,2013,4786570.0,Total
10,AL,2014,752100.0,Commercial
9,AL,2014,2127650.0,Industrial
15,AL,2014,46280.0,Own Use
13,AL,2014,202740.0,Public Lighting
12,AL,2014,150660.0,Public Sector
14,AL,2014,184590.0,Public Service
8,AL,2014,1306650.0,Residential
11,AL,2014,178950.0,Rural
40,AL,2014,4949610.0,Total
18,AL,2015,754480.0,Commercial
17,AL,2015,2055739.9999999998,Industrial
23,AL,2015,37460.0,Own Use
21,AL,2015,201470.0,Public Lighting
20,AL,2015,159790.0,Public Sector
22,AL,2015,195540.0,Public Service
16,AL,2015,1325690.0,Residential
19,AL,2015,180320.0,Rural
67,AL,2015,4910480.0,Total
26,AL,2016,750060.0,Commercial
25,AL,2016,2041440.0,Industrial
31,AL,2016,33780.0,Own Use
29,AL,2016,215560.0,Public Lighting
28,AL,2016,161290.0,Public Sector
30,AL,2016,206690.0,Public Service
24,AL,2016,1306820.0,Residential
