state,type,phase,value,reference_year
AC,biomass,operation,1.5,2021
AL,biomass,operation,357.462,2021
AM,biomass,operation,17.027,2021
AP,biomass,operation,1.7,2021
BA,biomass,operation,531.8,2021
CE,biomass,operation,0.0,2021
DF,biomass,operation,2.85,2021
ES,biomass,operation,310.7,2021
GO,biomass,operation,1435.368,2021
MA,biomass,operation,281.795,2021
MG,biomass,operation,2088.91885,2021
MS,biomass,operation,1907.242,2021
MT,biomass,operation,507.198,2021
PA,biomass,operation,111.2514,2021
PB,biomass,operation,101.5,2021
PE,biomass,operation,317.575,2021
PI,biomass,operation,23.5,2021
PR,biomass,operation,1249.3996,2021
RJ,biomass,operation,75.92999999999999,2021
RN,biomass,operation,61.0,2021
RO,biomass,operation,27.567999999999998,2021
RR,biomass,operation,80.286,2021
RS,biomass,operation,395.80139999999994,2021
SC,biomass,operation,278.7656,2021
SE,biomass,operation,59.7,2021
SP,biomass,operation,6886.6412,2021
TO,biomass,operation,91.5,2021
AC,biomass,planning,0.0,2021
AL,biomass,planning,0.0,2021
AM,biomass,planning,27.6,2021
AP,biomass,planning,2.835,2021
BA,biomass,planning,132.5,2021
CE,biomass,planning,0.0,2021
DF,biomass,planning,0.0,2021
ES,biomass,planning,0.0,2021
GO,biomass,planning,138.45,2021
MA,biomass,planning,10.75,2021
MG,biomass,planning,213.0,2021
MS,biomass,planning,782.565,2021
MT,biomass,planning,333.573,2021
PA,biomass,planning,30.869999999999997,2021
PB,biomass,planning,0.0,2021
PE,biomass,planning,0.0,2021
PI,biomass,planning,0.0,2021
PR,biomass,planning,0.0,2021
RJ,biomass,planning,8.466,2021
RN,biomass,planning,0.0,2021
RO,biomass,planning,0.0,2021
RR,biomass,planning,56.952,2021
RS,biomass,planning,62.09,2021
SC,biomass,planning,0.0,2021
SE,biomass,planning,0.0,2021
SP,biomass,planning,654.168,2021
TO,biomass,planning,0.0,2021
AC,coal,operation,0.0,2021
AL,coal,operation,0.0,2021
AM,coal,operation,0.0,2021
AP,coal,operation,0.0,2021
BA,coal,operation,0.0,2021
CE,coal,operation,1303.274,2021
DF,coal,operation,0.0,2021
ES,coal,operation,0.0,2021
GO,coal,operation,0.0,2021
MA,coal,operation,435.337,2021
MG,coal,operation,113.065,2021
MS,coal,operation,0.0,2021
MT,coal,operation,0.0,2021
PA,coal,operation,103.854,2021
PB,coal,operation,0.0,2021
PE,coal,operation,0.0,2021
PI,coal,operation,0.0,2021
PR,coal,operation,20.0,2021
RJ,coal,operation,21.0,2021
RN,coal,operation,0.0,2021
RO,coal,operation,0.0,2021
RR,coal,operation,0.0,2021
RS,coal,operation,695.0,2021
SC,coal,operation,745.0,2021
SE,coal,operation,0.0,2021
SP,coal,operation,24.4,2021
TO,coal,operation,0.0,2021
AC,gas,operation,0.0,2021
AL,gas,operation,6.8774999999999995,2021
AM,gas,operation,1069.519,2021
AP,gas,operation,0.0,2021
BA,gas,operation,459.71799999999996,2021
CE,gas,operation,238.374,2021
DF,gas,operation,0.0,2021
ES,gas,operation,706.0060000000001,2021
GO,gas,operation,0.0,2021
MA,gas,operation,1210.864,2021
MG,gas,operation,506.6182,2021
MS,gas,operation,568.89,2021
MT,gas,operation,529.2,2021
PA,gas,operation,0.0,2021
PB,gas,operation,0.0,2021
PE,gas,operation,608.325,2021
PI,gas,operation,0.0,2021
PR,gas,operation,515.0079999999999,2021
RJ,gas,operation,7358.05594,2021
RN,gas,operation,328.66715,2021
RO,gas,operation,349.0,2021
RR,gas,operation,140.834,2021
RS,gas,operation,903.259,2021
SC,gas,operation,340.6052,2021
SE,gas,operation,1601.5990000000002,2021
SP,gas,operation,1113.7264,2021
TO,gas,operation,0.0,2021
AC,gas,planning,0.0,2021
AL,gas,planning,0.0,2021
AM,gas,planning,1059.012,2021
AP,gas,planning,0.0,2021
BA,gas,planning,0.0,2021
CE,gas,planning,0.0,2021
DF,gas,planning,0.0,2021
ES,gas,planning,0.0,2021
GO,gas,planning,0.0,2021
MA,gas,planning,0.0,2021
MG,gas,planning,0.0,2021
MS,gas,planning,0.0,2021
MT,gas,planning,354.57,2021
PA,gas,planning,2176.408,2021
PB,gas,planning,0.0,2021
PE,gas,planning,0.0,2021
PI,gas,planning,0.0,2021
PR,gas,planning,0.0,2021
RJ,gas,planning,1929.6999999999998,2021
RN,gas,planning,0.0,2021
RO,gas,planning,0.0,2021
RR,gas,planning,0.0,2021
RS,gas,planning,0.0,2021
SC,gas,planning,128.223,2021
SE,gas,planning,0.0,2021
SP,gas,planning,0.0,2021
TO,gas,planning,0.0,2021
AC,hydro,operation,0.0,2021
AL,hydro,operation,0.0,2021
AM,hydro,operation,274.71,2021
AP,hydro,operation,471.0,2021
BA,hydro,operation,692.6610000000001,2021
CE,hydro,operation,0.0,2021
DF,hydro,operation,30.0,2021
ES,hydro,operation,313.337,2021
GO,hydro,operation,4781.127,2021
MA,hydro,operation,0.0,2021
MG,hydro,operation,8655.241,2021
MS,hydro,operation,6612.7,2021
MT,hydro,operation,4313.45,2021
PA,hydro,operation,11626.050000000001,2021
PB,hydro,operation,0.0,2021
PE,hydro,operation,0.0,2021
PI,hydro,operation,0.0,2021
PR,hydro,operation,15930.271,2021
RJ,hydro,operation,799.087,2021
RN,hydro,operation,0.0,2021
RO,hydro,operation,7608.25,2021
RR,hydro,operation,10.0,2021
RS,hydro,operation,1609.2,2021
SC,hydro,operation,5063.892,2021
SE,hydro,operation,0.0,2021
SP,hydro,operation,6015.869,2021
TO,hydro,operation,2731.45,2021
AC,hydro,planning,0.0,2021
AL,hydro,planning,0.0,2021
AM,hydro,planning,0.0,2021
AP,hydro,planning,0.0,2021
BA,hydro,planning,0.0,2021
CE,hydro,planning,0.0,2021
DF,hydro,planning,0.0,2021
ES,hydro,planning,0.0,2021
GO,hydro,planning,99.5,2021
MA,hydro,planning,0.0,2021
MG,hydro,planning,0.0,2021
MS,hydro,planning,0.0,2021
MT,hydro,planning,92.99799999999999,2021
PA,hydro,planning,0.0,2021
PB,hydro,planning,0.0,2021
PE,hydro,planning,0.0,2021
PI,hydro,planning,0.0,2021
PR,hydro,planning,62.0,2021
RJ,hydro,planning,150.0,2021
RN,hydro,planning,0.0,2021
RO,hydro,planning,0.0,2021
RR,hydro,planning,0.0,2021
RS,hydro,planning,0.0,2021
SC,hydro,planning,0.0,2021
SE,hydro,planning,0.0,2021
SP,hydro,planning,0.0,2021
TO,hydro,planning,0.0,2021
AC,mini_hydro,operation,0.0,2021
AL,mini_hydro,operation,3.0543,2021
AM,mini_hydro,operation,0.0,2021
AP,mini_hydro,operation,0.0,2021
BA,mini_hydro,operation,10.155100000000001,2021
CE,mini_hydro,operation,0.0,2021
DF,mini_hydro,operation,0.0,2021
ES,mini_hydro,operation,3.3715,2021
GO,mini_hydro,operation,11.75094,2021
MA,mini_hydro,operation,0.072,2021
MG,mini_hydro,operation,162.42913,2021
MS,mini_hydro,operation,17.31201,2021
MT,mini_hydro,operation,74.2362,2021
PA,mini_hydro,operation,3.05,2021
PB,mini_hydro,operation,0.0,2021
PE,mini_hydro,operation,12.19234,2021
PI,mini_hydro,operation,0.0,2021
PR,mini_hydro,operation,97.70447,2021
RJ,mini_hydro,operation,16.79554,2021
RN,mini_hydro,operation,0.0,2021
RO,mini_hydro,operation,30.09462,2021
RR,mini_hydro,operation,0.0,2021
