state,type,phase,year,capacity
AC,oil,operation,2045,63.4264
AC,oil,operation,2056,69.46640000000001
AL,biomass,operation,2031,14.312
AL,biomass,operation,2032,83.1
AL,biomass,operation,2034,41.5
AL,biomass,operation,2036,14.0
AL,biomass,operation,2037,19.9
AL,biomass,operation,2044,115.5
AL,biomass,operation,2056,40.0
AL,gas,operation,2036,0.79
AL,hydro,operation,2052,3562.0
AM,biomass,construction not started,2033,8.0
AM,biomass,construction not started,2040,9.8
AM,biomass,construction not started,2041,9.8
AM,biomass,operation,2032,9.0
AM,gas,construction not started,2056,9.82
AM,gas,construction not started,2057,295.429
AM,gas,construction not started,2058,753.7629999999999
AM,gas,operation,2030,166.0
AM,gas,operation,2035,75.477
AM,gas,operation,2036,146.8
AM,gas,operation,2046,590.75
AM,gas,operation,2052,38.772
AM,gas,operation,2055,29.45
AM,hydro,operation,2016,24.96
AM,hydro,operation,2027,249.75
AM,oil,construction,2052,12.876
AM,oil,construction not started,2052,2.275
AM,oil,operation,2023,8.836
AM,oil,operation,2026,14.692
AM,oil,operation,2030,6.4
AM,oil,operation,2032,7.59
AM,oil,operation,2035,99.5968
AM,oil,operation,2036,85.38
AM,oil,operation,2045,0.077
AM,oil,operation,2051,21.683999999999997
AM,oil,operation,2052,139.9085
AM,oil,operation,2053,270.361
AM,oil,operation,2054,31.6235
AM,oil,operation,2055,32.289
AP,biomass,construction not started,2056,2.835
AP,hydro,operation,2047,252.0
AP,hydro,operation,2048,219.0
AP,hydro,operation,2052,78.0
AP,oil,operation,2024,8.25
AP,oil,operation,2045,12.51
AP,small_hydro,construction,2033,7.5
BA,biomass,construction,2054,22.5
BA,biomass,construction,2058,60.0
BA,biomass,construction not started,2058,50.0
BA,biomass,operation,2026,108.6
BA,biomass,operation,2033,126.6
BA,biomass,operation,2034,16.0
BA,biomass,operation,2037,30.0
BA,biomass,operation,2039,19.73
BA,biomass,operation,2041,214.08
BA,biomass,operation,2042,16.79
BA,biomass,operation,2057,6.0
BA,gas,operation,2026,130.71
BA,gas,operation,2029,185.891
BA,gas,operation,2031,8.316
BA,gas,operation,2050,55.986
BA,gas,operation,2051,28.022
BA,gas,operation,2055,37.44
BA,gas,operation,2057,9.36
BA,hydro,operation,2028,10.65
BA,hydro,operation,2033,60.0
BA,hydro,operation,2039,462.011
BA,hydro,operation,2044,160.0
BA,hydro,operation,2052,4979.908
BA,mini_hydro,operation,2023,0.45
BA,oil,operation,2028,62.5
BA,oil,operation,2032,12.895
BA,oil,operation,2037,7.5
BA,oil,operation,2042,297.6
BA,on_wind,construction,2055,397.4
BA,on_wind,construction,2056,1153.0
BA,on_wind,construction,2057,664.8
BA,on_wind,construction,2058,27.0
BA,on_wind,construction not started,2055,159.60000000000002
BA,on_wind,construction not started,2056,288.0
BA,on_wind,construction not started,2057,2176.0
BA,on_wind,construction not started,2058,5690.7
BA,on_wind,operation,2015,13.5
BA,on_wind,operation,2035,27.0
BA,on_wind,operation,2042,30.0
BA,on_wind,operation,2045,587.89
BA,on_wind,operation,2046,353.365
BA,on_wind,operation,2047,780.6999999999999
BA,on_wind,operation,2048,106.9
BA,on_wind,operation,2049,1051.45
BA,on_wind,operation,2050,910.4
BA,on_wind,operation,2051,496.35
BA,on_wind,operation,2052,148.5
BA,on_wind,operation,2053,449.4
BA,on_wind,operation,2054,1440.055
BA,on_wind,operation,2055,1888.06
BA,on_wind,operation,2056,694.5
BA,on_wind,operation,2057,369.6
BA,small_hydro,construction,2054,17.001
BA,small_hydro,operation,2022,3.97
BA,small_hydro,operation,2029,8.0
BA,small_hydro,operation,2042,25.8
BA,small_hydro,operation,2044,16.0
BA,small_hydro,operation,2047,35.980000000000004
BA,solar_pv,construction,2056,350.0
BA,solar_pv,operation,2040,56.0
BA,solar_pv,operation,2050,112.0
BA,solar_pv,operation,2051,516.62
BA,solar_pv,operation,2053,94.64
BA,solar_pv,operation,2054,572.07695
BA,solar_pv,operation,2055,692.4456
CE,coal,operation,2043,218.0
CE,coal,operation,2044,720.274
CE,coal,operation,2045,365.0
CE,gas,operation,2031,220.0
CE,gas,operation,2037,5.25
CE,oil,operation,2042,168.0
CE,oil,operation,2052,5.65
CE,on_wind,construction,2057,112.5
CE,on_wind,construction not started,2055,45.0
CE,on_wind,construction not started,2057,1322.0
CE,on_wind,construction not started,2058,1396.3
CE,on_wind,operation,2022,27.75
CE,on_wind,operation,2031,96.4
CE,on_wind,operation,2032,290.63
CE,on_wind,operation,2033,50.0
CE,on_wind,operation,2038,41.7
CE,on_wind,operation,2039,25.2
CE,on_wind,operation,2041,115.4
CE,on_wind,operation,2044,75.6
CE,on_wind,operation,2045,535.2
CE,on_wind,operation,2047,308.8
CE,on_wind,operation,2049,299.4
CE,on_wind,operation,2050,174.16
CE,on_wind,operation,2051,126.7
CE,on_wind,operation,2054,327.6
CE,on_wind,operation,2055,71.4
CE,solar_pv,construction,2054,343.77
CE,solar_pv,construction,2056,223.244
CE,solar_pv,operation,2051,213.0
CE,solar_pv,operation,2053,413.397
CE,solar_pv,operation,2054,163.70000000000002
CE,solar_pv,operation,2055,214.74
CE,solar_pv,operation,2056,230.0
DF,hydro,operation,2050,30.0
ES,biomass,operation,2032,238.0
ES,biomass,operation,2034,33.0
ES,biomass,operation,2051,33.0
ES,gas,operation,2044,587.82
ES,gas,operation,2056,112.44
ES,hydro,operation,2025,25.0
ES,hydro,operation,2027,233.337
ES,hydro,operation,2035,55.0
ES,mini_hydro,operation,2053,1.512
ES,oil,operation,2011,225.1
ES,oil,operation,2035,147.3
ES,oil,operation,2043,174.6
ES,small_hydro,construction not started,2055,8.0
ES,small_hydro,operation,2026,36.076
ES,small_hydro,operation,2027,2.056
ES,small_hydro,operation,2029,34.0
ES,small_hydro,operation,2031,29.0
ES,small_hydro,operation,2040,3.8
ES,small_hydro,operation,2041,21.0
ES,small_hydro,operation,2042,46.528
ES,small_hydro,operation,2043,30.0
ES,small_hydro,operation,2044,19.0
ES,small_hydro,operation,2051,10.5
GO,biomass,construction,2039,25.0
GO,biomass,construction,2044,38.25
GO,biomass,construction,2057,65.0
GO,biomass,construction not started,2053,10.2
GO,biomass,operation,2031,65.0
GO,biomass,operation,2032,15.0
GO,biomass,operation,2033,46.52
GO,biomass,operation,2034,63.5
GO,biomass,operation,2037,24.0
GO,biomass,operation,2039,141.5
GO,biomass,operation,2041,80.0
GO,biomass,operation,2042,50.0
GO,biomass,operation,2043,63.0
GO,biomass,operation,2044,619.528
GO,biomass,operation,2045,78.0
GO,biomass,operation,2050,40.0
GO,biomass,operation,2051,28.5
GO,biomass,operation,2056,94.5
GO,biomass,operation,2057,21.7
GO,hydro,construction not started,2035,50.0
GO,hydro,construction not started,2058,49.5
GO,hydro,operation,2011,12.0
GO,hydro,operation,2035,450.0
GO,hydro,operation,2040,470.227
GO,hydro,operation,2043,427.5
GO,hydro,operation,2044,248.0
GO,hydro,operation,2046,1463.4
GO,hydro,operation,2048,1710.0
GO,mini_hydro,operation,2054,3.0
GO,oil,operation,2032,134.016
GO,oil,operation,2035,14.8
GO,oil,operation,2042,175.56
GO,oil,operation,2045,9.26
GO,small_hydro,construction,2044,22.5
GO,small_hydro,construction not started,2032,36.99
GO,small_hydro,construction not started,2037,30.0
GO,small_hydro,construction not started,2053,40.0
GO,small_hydro,construction not started,2058,29.8
GO,small_hydro,operation,2034,12.0
GO,small_hydro,operation,2037,29.328
GO,small_hydro,operation,2038,16.0
GO,small_hydro,operation,2039,18.0
GO,small_hydro,operation,2040,30.0
GO,small_hydro,operation,2041,29.41
GO,small_hydro,operation,2042,60.0
GO,small_hydro,operation,2043,18.0
GO,small_hydro,operation,2044,30.0
GO,small_hydro,operation,2045,48.0
GO,small_hydro,operation,2046,36.26
GO,small_hydro,operation,2048,30.0
GO,small_hydro,operation,2049,85.834
GO,small_hydro,operation,2051,16.5
GO,small_hydro,operation,2052,41.8
MA,biomass,construction not started,2059,10.75
MA,biomass,operation,2033,12.2
MA,biomass,operation,2044,254.84
MA,coal,operation,2037,75.2
MA,coal,operation,2044,360.137
MA,gas,operation,2043,56.277
MA,gas,operation,2044,270.467
MA,gas,operation,2047,518.8
MA,gas,operation,2054,365.32
MA,oil,operation,2043,331.74
MA,on_wind,construction not started,2058,130.2
MA,on_wind,operation,2051,220.8
MA,on_wind,operation,2053,108.0
MA,on_wind,operation,2054,97.2
MG,biomass,construction,2055,35.0
MG,biomass,construction,2056,40.0
MG,biomass,construction not started,2056,48.0
MG,biomass,construction not started,2057,70.0
MG,biomass,construction not started,2058,20.0
MG,biomass,operation,2021,8.0
MG,biomass,operation,2030,100.0
MG,biomass,operation,2031,15.0
MG,biomass,operation,2032,229.623
MG,biomass,operation,2034,132.0
MG,biomass,operation,2037,30.0
MG,biomass,operation,2038,193.09199999999998
MG,biomass,operation,2039,231.245
MG,biomass,operation,2040,77.8
MG,biomass,operation,2041,96.4
MG,biomass,operation,2042,30.0
MG,biomass,operation,2043,176.4
MG,biomass,operation,2044,190.0
MG,biomass,operation,2045,51.6
MG,biomass,operation,2052,16.08
MG,biomass,operation,2053,100.0
