id_subsistema,id_estado,nom_tipousina,din_instante,FC
N,MA,Eólica,2023-01-01 00:00:00,0.4971173708920187
N,MA,Eólica,2023-01-01 01:00:00,0.5139718309859154
N,MA,Eólica,2023-01-01 02:00:00,0.6235352112676056
N,MA,Eólica,2023-01-01 03:00:00,0.4529178403755868
N,MA,Eólica,2023-01-01 04:00:00,0.1084671361502347
N,MA,Eólica,2023-01-01 05:00:00,0.025640845070422504
N,MA,Eólica,2023-01-01 06:00:00,0.0845422535211267
N,MA,Eólica,2023-01-01 07:00:00,0.1239014084507042
N,MA,Eólica,2023-01-01 08:00:00,0.2769201877934272
N,MA,Eólica,2023-01-01 09:00:00,0.5611220657276995
N,MA,Eólica,2023-01-01 10:00:00,0.6452230046948356
N,MA,Eólica,2023-01-01 11:00:00,0.6309483568075117
N,MA,Eólica,2023-01-01 12:00:00,0.8145164319248825
N,MA,Eólica,2023-01-01 13:00:00,0.8925845070422534
N,MA,Eólica,2023-01-01 14:00:00,0.8406760563380281
N,MA,Eólica,2023-01-01 15:00:00,0.8146830985915492
N,MA,Eólica,2023-01-01 16:00:00,0.7888403755868545
N,MA,Eólica,2023-01-01 17:00:00,0.5817981220657276
N,MA,Eólica,2023-01-01 18:00:00,0.1485117370892018
N,MA,Eólica,2023-01-01 19:00:00,0.0160727699530516
N,MA,Eólica,2023-01-01 20:00:00,0.2026361502347417
N,MA,Eólica,2023-01-01 21:00:00,0.5788920187793427
N,MA,Eólica,2023-01-01 22:00:00,0.6638802816901408
N,MA,Eólica,2023-01-01 23:00:00,0.6916784037558685
N,MA,Eólica,2023-01-02 00:00:00,0.733056338028169
N,MA,Eólica,2023-01-02 01:00:00,0.6286056338028169
N,MA,Eólica,2023-01-02 02:00:00,0.5346455399061032
N,MA,Eólica,2023-01-02 03:00:00,0.4866901408450704
N,MA,Eólica,2023-01-02 04:00:00,0.4534929577464788
N,MA,Eólica,2023-01-02 05:00:00,0.3887183098591549
N,MA,Eólica,2023-01-02 06:00:00,0.2815305164319248
N,MA,Eólica,2023-01-02 07:00:00,0.266356807511737
N,MA,Eólica,2023-01-02 08:00:00,0.2820469483568075
N,MA,Eólica,2023-01-02 09:00:00,0.3316173708920187
N,MA,Eólica,2023-01-02 10:00:00,0.31726291079812197
N,MA,Eólica,2023-01-02 11:00:00,0.31003755868544597
N,MA,Eólica,2023-01-02 12:00:00,0.4299577464788732
N,MA,Eólica,2023-01-02 13:00:00,0.3727981220657276
N,MA,Eólica,2023-01-02 14:00:00,0.3189413145539906
N,MA,Eólica,2023-01-02 15:00:00,0.3524295774647887
N,MA,Eólica,2023-01-02 16:00:00,0.3354272300469483
N,MA,Eólica,2023-01-02 17:00:00,0.4136643192488262
N,MA,Eólica,2023-01-02 18:00:00,0.5542910798122065
