;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
2013-01-01 00:00:00;0.0409;0.347;0.0072;0.1225;0.3402;0.2779;0.0;0.2562;0.014;0.0318;0.1255;0.0863;0.0078;0.0283;0.6107;0.7046;0.0755;0.0702;0.2723;0.7228;0.005;0.0589;0.2032;0.1187;0.2217;0.0137;0.0141
2013-01-01 01:00:00;0.0495;0.2854;0.0056;0.1242;0.3349;0.3085;0.0;0.1926;0.0125;0.0295;0.1241;0.1006;0.0068;0.0292;0.6456;0.6876;0.0738;0.0723;0.2422;0.7358;0.0047;0.0765;0.2633;0.1206;0.1896;0.0166;0.0135
2013-01-01 02:00:00;0.0616;0.223;0.0052;0.1348;0.3097;0.3135;0.0;0.1207;0.013;0.0267;0.1093;0.1019;0.0061;0.0291;0.6475;0.6328;0.0882;0.0746;0.2248;0.7254;0.0052;0.0835;0.2706;0.188;0.1443;0.0217;0.0157
2013-01-01 03:00:00;0.0549;0.1916;0.0047;0.1294;0.2759;0.3169;0.0;0.092;0.0119;0.0258;0.0957;0.0885;0.0065;0.0254;0.611;0.5599;0.1191;0.0972;0.2236;0.7078;0.0055;0.0773;0.3253;0.2037;0.1346;0.0207;0.0187
2013-01-01 04:00:00;0.0458;0.1928;0.0046;0.1121;0.2386;0.3251;0.0;0.0725;0.0107;0.0307;0.0858;0.0775;0.0055;0.0239;0.5222;0.4833;0.1493;0.0874;0.2134;0.6416;0.0058;0.0716;0.3897;0.2037;0.1073;0.016;0.0221
2013-01-01 05:00:00;0.04;0.1279;0.0047;0.0674;0.2151;0.3097;0.0;0.055;0.0097;0.0313;0.078;0.0741;0.0059;0.0205;0.4696;0.4189;0.1638;0.0762;0.1793;0.597;0.0054;0.0738;0.4372;0.2348;0.077;0.0123;0.0215
2013-01-01 06:00:00;0.0352;0.0937;0.0044;0.0358;0.1955;0.285;0.0;0.0457;0.0092;0.0285;0.0696;0.082;0.0061;0.0209;0.3982;0.3588;0.1636;0.0762;0.1442;0.5417;0.0053;0.0747;0.4675;0.2517;0.0515;0.0115;0.0211
2013-01-01 07:00:00;0.0324;0.1065;0.004;0.0205;0.1749;0.253;0.0;0.0388;0.0092;0.0262;0.0609;0.0829;0.0061;0.0214;0.3734;0.3357;0.1641;0.0664;0.1276;0.4976;0.0043;0.0761;0.4837;0.2788;0.0485;0.0112;0.0195
2013-01-01 08:00:00;0.0272;0.1173;0.0035;0.0147;0.1686;0.2067;0.0;0.0325;0.0126;0.0231;0.0489;0.0742;0.0074;0.0202;0.3324;0.3328;0.1642;0.0591;0.1233;0.4769;0.0053;0.0764;0.5113;0.2871;0.0599;0.0114;0.0147
2013-01-01 09:00:00;0.0243;0.2215;0.0039;0.0111;0.1894;0.2061;0.0;0.0463;0.0188;0.0158;0.0551;0.06;0.009;0.018;0.4474;0.4805;0.1636;0.0642;0.1405;0.5163;0.0062;0.0736;0.5195;0.2949;0.128;0.0192;0.0135
2013-01-01 10:00:00;0.0241;0.2934;0.0052;0.0055;0.308;0.2652;0.0;0.0844;0.0371;0.122;0.107;0.0341;0.0181;0.0376;0.5546;0.6185;0.2362;0.0303;0.1662;0.6835;0.0182;0.0771;0.4944;0.2052;0.3057;0.0193;0.0534
2013-01-01 11:00:00;0.0288;0.3746;0.0048;0.0314;0.3468;0.3467;0.0;0.1596;0.0439;0.1612;0.172;0.0413;0.0153;0.058;0.6252;0.6472;0.2757;0.0527;0.2105;0.7911;0.0103;0.0786;0.633;0.3171;0.3177;0.0371;0.0906
2013-01-01 12:00:00;0.0253;0.4117;0.004;0.1;0.3333;0.3844;0.0;0.1938;0.08;0.133;0.2016;0.0517;0.0209;0.0876;0.6329;0.636;0.2576;0.0767;0.2595;0.7848;0.0084;0.1299;0.7298;0.4702;0.3618;0.0758;0.0902
2013-01-01 13:00:00;0.0248;0.4028;0.0075;0.168;0.2761;0.3602;0.0;0.2105;0.0857;0.0843;0.1845;0.0638;0.0292;0.1006;0.6225;0.5854;0.234;0.1197;0.2955;0.7214;0.0105;0.1971;0.7705;0.6128;0.3513;0.1212;0.0709
2013-01-01 14:00:00;0.0222;0.4014;0.0092;0.1776;0.1878;0.3205;0.0;0.1996;0.0705;0.0509;0.1333;0.0777;0.0263;0.081;0.5721;0.5075;0.1693;0.1427;0.2825;0.64;0.0118;0.2426;0.7695;0.6133;0.3498;0.1512;0.054
