;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
2018-01-01 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-01 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-01 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-01 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-01 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-01 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-01 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-01 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-01 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-01 09:00:00;0.0;0.0256;0.0;0.0;0.0134;0.0088;0.0009;0.024;0.0005;0.0004;0.0103;0.0;0.0;0.0;0.0259;0.0227;0.0038;0.0017;0.0324;0.025;0.0;0.0;0.0029;0.0054;0.0238;0.003;0.0002
2018-01-01 10:00:00;0.0;0.1453;0.0002;0.0081;0.1256;0.1099;0.0542;0.1322;0.0494;0.0653;0.0981;0.0496;0.0166;0.0282;0.1723;0.1552;0.0985;0.0613;0.1694;0.1757;0.0005;0.0;0.0715;0.0864;0.132;0.0728;0.0586
2018-01-01 11:00:00;0.0092;0.3249;0.0376;0.0771;0.2895;0.2575;0.0912;0.269;0.179;0.2176;0.2416;0.2044;0.1197;0.1533;0.3303;0.3348;0.2596;0.1725;0.3168;0.3238;0.0424;0.0189;0.2002;0.2301;0.3087;0.1914;0.1975
2018-01-01 12:00:00;0.0797;0.4645;0.1604;0.2077;0.4501;0.4153;0.21;0.3945;0.3247;0.3631;0.3974;0.3523;0.2848;0.3031;0.4812;0.5093;0.4064;0.3018;0.4566;0.4537;0.1238;0.092;0.3279;0.3613;0.4456;0.3447;0.3422
2018-01-01 13:00:00;0.2125;0.5661;0.3;0.3209;0.5872;0.5574;0.3836;0.5064;0.4537;0.4838;0.529;0.4602;0.4338;0.4455;0.6347;0.6321;0.5308;0.4302;0.5959;0.6059;0.2423;0.1783;0.4319;0.4773;0.5696;0.4419;0.4666
2018-01-01 14:00:00;0.3358;0.662;0.4249;0.4167;0.6665;0.6542;0.4471;0.5837;0.5662;0.5763;0.6146;0.5235;0.5701;0.5508;0.7044;0.6994;0.6104;0.5171;0.6653;0.6797;0.2987;0.2335;0.5294;0.5516;0.6689;0.535;0.5478
2018-01-01 15:00:00;0.4565;0.7057;0.5136;0.4113;0.6613;0.6475;0.4437;0.6541;0.6269;0.6001;0.6536;0.5702;0.6363;0.571;0.6626;0.683;0.5941;0.5534;0.7031;0.6293;0.4031;0.33;0.5794;0.6119;0.7259;0.577;0.5887
2018-01-01 16:00:00;0.4551;0.7065;0.5365;0.5258;0.6376;0.6281;0.4499;0.6522;0.6337;0.5678;0.5999;0.5678;0.6443;0.5499;0.6402;0.6763;0.5935;0.5709;0.6318;0.5552;0.4444;0.4033;0.5676;0.5817;0.725;0.5704;0.5663
2018-01-01 17:00:00;0.3662;0.6293;0.5078;0.4902;0.6096;0.5683;0.3866;0.5935;0.5931;0.5529;0.5482;0.5395;0.6012;0.5324;0.5966;0.6107;0.5352;0.5205;0.5638;0.5397;0.4828;0.4965;0.5218;0.5261;0.6392;0.5678;0.5725
2018-01-01 18:00:00;0.2864;0.5441;0.5032;0.4222;0.5279;0.4671;0.3904;0.5053;0.5421;0.4292;0.4936;0.5371;0.5598;0.4863;0.4719;0.5061;0.4497;0.4796;0.4791;0.4346;0.4974;0.5139;0.4509;0.4591;0.5239;0.5105;0.4933
2018-01-01 19:00:00;0.3102;0.389;0.4201;0.3338;0.3914;0.3414;0.4324;0.3909;0.442;0.3687;0.3982;0.3943;0.4592;0.4016;0.3265;0.3676;0.3623;0.2791;0.4243;0.301;0.4395;0.4115;0.3171;0.3515;0.3996;0.4193;0.3596
2018-01-01 20:00:00;0.302;0.2085;0.3431;0.2177;0.2379;0.2053;0.3863;0.2336;0.3062;0.2322;0.2529;0.3394;0.3454;0.2621;0.1803;0.21;0.2318;0.201;0.2719;0.1511;0.4151;0.3163;0.2139;0.2493;0.2159;0.2997;0.2352
2018-01-01 21:00:00;0.2448;0.0;0.2189;0.085;0.0696;0.0;0.2774;0.0915;0.1699;0.0846;0.1245;0.2052;0.1972;0.1238;0.0;0.0042;0.0642;0.093;0.1277;0.0;0.2752;0.1864;0.1291;0.1337;0.0;0.167;0.1017
2018-01-01 22:00:00;0.131;0.0;0.0942;0.0;0.0;0.0;0.0;0.0;0.0047;0.0;0.0001;0.0835;0.0581;0.0012;0.0;0.0;0.0;0.0349;0.0;0.0;0.1327;0.0298;0.056;0.0573;0.0;0.0149;0.0
